Created as New Dataset,11. Acrylic Bayer
cm-1,%T
3204.00,99.76
3203.00,99.77
3202.00,99.79
3201.00,99.81
3200.00,99.82
3199.00,99.82
3198.00,99.82
3197.00,99.81
3196.00,99.81
3195.00,99.82
3194.00,99.82
3193.00,99.83
3192.00,99.82
3191.00,99.81
3190.00,99.80
3189.00,99.78
3188.00,99.77
3187.00,99.76
3186.00,99.77
3185.00,99.78
3184.00,99.78
3183.00,99.78
3182.00,99.77
3181.00,99.77
3180.00,99.77
3179.00,99.78
3178.00,99.78
3177.00,99.79
3176.00,99.79
3175.00,99.80
3174.00,99.81
3173.00,99.82
3172.00,99.82
3171.00,99.80
3170.00,99.78
3169.00,99.77
3168.00,99.76
3167.00,99.78
3166.00,99.81
3165.00,99.83
3164.00,99.83
3163.00,99.80
3162.00,99.76
3161.00,99.74
3160.00,99.73
3159.00,99.73
3158.00,99.74
3157.00,99.76
3156.00,99.77
3155.00,99.79
3154.00,99.79
3153.00,99.78
3152.00,99.78
3151.00,99.78
3150.00,99.80
3149.00,99.81
3148.00,99.83
3147.00,99.83
3146.00,99.84
3145.00,99.85
3144.00,99.85
3143.00,99.84
3142.00,99.82
3141.00,99.80
3140.00,99.79
3139.00,99.79
3138.00,99.79
3137.00,99.79
3136.00,99.80
3135.00,99.80
3134.00,99.81
3133.00,99.81
3132.00,99.81
3131.00,99.82
3130.00,99.82
3129.00,99.83
3128.00,99.83
3127.00,99.83
3126.00,99.82
3125.00,99.81
3124.00,99.82
3123.00,99.83
3122.00,99.84
3121.00,99.85
3120.00,99.84
3119.00,99.83
3118.00,99.81
3117.00,99.80
3116.00,99.80
3115.00,99.80
3114.00,99.81
3113.00,99.82
3112.00,99.82
3111.00,99.80
3110.00,99.79
3109.00,99.78
3108.00,99.79
3107.00,99.81
3106.00,99.82
3105.00,99.83
3104.00,99.83
3103.00,99.82
3102.00,99.80
3101.00,99.79
3100.00,99.78
3099.00,99.78
3098.00,99.79
3097.00,99.80
3096.00,99.80
3095.00,99.81
3094.00,99.80
3093.00,99.80
3092.00,99.78
3091.00,99.76
3090.00,99.74
3089.00,99.74
3088.00,99.75
3087.00,99.78
3086.00,99.80
3085.00,99.81
3084.00,99.81
3083.00,99.82
3082.00,99.82
3081.00,99.82
3080.00,99.80
3079.00,99.78
3078.00,99.77
3077.00,99.77
3076.00,99.78
3075.00,99.78
3074.00,99.78
3073.00,99.77
3072.00,99.76
3071.00,99.75
3070.00,99.74
3069.00,99.73
3068.00,99.74
3067.00,99.75
3066.00,99.76
3065.00,99.76
3064.00,99.77
3063.00,99.78
3062.00,99.79
3061.00,99.79
3060.00,99.78
3059.00,99.76
3058.00,99.74
3057.00,99.75
3056.00,99.76
3055.00,99.77
3054.00,99.77
3053.00,99.77
3052.00,99.76
3051.00,99.76
3050.00,99.76
3049.00,99.75
3048.00,99.75
3047.00,99.74
3046.00,99.73
3045.00,99.72
3044.00,99.72
3043.00,99.74
3042.00,99.77
3041.00,99.79
3040.00,99.80
3039.00,99.79
3038.00,99.78
3037.00,99.76
3036.00,99.75
3035.00,99.74
3034.00,99.74
3033.00,99.74
3032.00,99.74
3031.00,99.74
3030.00,99.74
3029.00,99.73
3028.00,99.72
3027.00,99.72
3026.00,99.72
3025.00,99.71
3024.00,99.71
3023.00,99.71
3022.00,99.72
3021.00,99.73
3020.00,99.74
3019.00,99.74
3018.00,99.74
3017.00,99.73
3016.00,99.73
3015.00,99.72
3014.00,99.71
3013.00,99.69
3012.00,99.68
3011.00,99.68
3010.00,99.68
3009.00,99.69
3008.00,99.69
3007.00,99.68
3006.00,99.68
3005.00,99.68
3004.00,99.67
3003.00,99.66
3002.00,99.64
3001.00,99.63
3000.00,99.62
2999.00,99.62
2998.00,99.62
2997.00,99.61
2996.00,99.60
2995.00,99.58
2994.00,99.58
2993.00,99.58
2992.00,99.59
2991.00,99.60
2990.00,99.61
2989.00,99.61
2988.00,99.61
2987.00,99.60
2986.00,99.59
2985.00,99.57
2984.00,99.57
2983.00,99.57
2982.00,99.58
2981.00,99.58
2980.00,99.58
2979.00,99.59
2978.00,99.60
2977.00,99.61
2976.00,99.60
2975.00,99.58
2974.00,99.55
2973.00,99.52
2972.00,99.49
2971.00,99.47
2970.00,99.46
2969.00,99.46
2968.00,99.46
2967.00,99.47
2966.00,99.47
2965.00,99.47
2964.00,99.46
2963.00,99.44
2962.00,99.43
2961.00,99.43
2960.00,99.43
2959.00,99.44
2958.00,99.44
2957.00,99.43
2956.00,99.42
2955.00,99.40
2954.00,99.36
2953.00,99.32
2952.00,99.29
2951.00,99.27
2950.00,99.27
2949.00,99.26
2948.00,99.24
2947.00,99.22
2946.00,99.20
2945.00,99.18
2944.00,99.17
2943.00,99.18
2942.00,99.18
2941.00,99.18
2940.00,99.17
2939.00,99.15
2938.00,99.13
2937.00,99.10
2936.00,99.08
2935.00,99.05
2934.00,99.05
2933.00,99.05
2932.00,99.06
2931.00,99.06
2930.00,99.06
2929.00,99.03
2928.00,99.01
2927.00,98.99
2926.00,98.98
2925.00,98.98
2924.00,98.97
2923.00,98.97
2922.00,98.98
2921.00,99.00
2920.00,99.01
