Created as New Dataset,12.2 Red Icelandic sheep
cm-1,%T
3189.00,90.24
3188.00,90.28
3187.00,90.31
3186.00,90.34
3185.00,90.38
3184.00,90.43
3183.00,90.49
3182.00,90.57
3181.00,90.64
3180.00,90.72
3179.00,90.78
3178.00,90.82
3177.00,90.85
3176.00,90.88
3175.00,90.90
3174.00,90.94
3173.00,90.99
3172.00,91.03
3171.00,91.08
3170.00,91.12
3169.00,91.16
3168.00,91.21
3167.00,91.26
3166.00,91.32
3165.00,91.39
3164.00,91.46
3163.00,91.52
3162.00,91.56
3161.00,91.60
3160.00,91.64
3159.00,91.68
3158.00,91.73
3157.00,91.79
3156.00,91.84
3155.00,91.89
3154.00,91.94
3153.00,91.99
3152.00,92.02
3151.00,92.05
3150.00,92.07
3149.00,92.10
3148.00,92.14
3147.00,92.19
3146.00,92.24
3145.00,92.29
3144.00,92.35
3143.00,92.41
3142.00,92.46
3141.00,92.50
3140.00,92.55
3139.00,92.59
3138.00,92.64
3137.00,92.69
3136.00,92.72
3135.00,92.74
3134.00,92.76
3133.00,92.78
3132.00,92.82
3131.00,92.86
3130.00,92.90
3129.00,92.94
3128.00,92.98
3127.00,93.01
3126.00,93.04
3125.00,93.06
3124.00,93.08
3123.00,93.12
3122.00,93.17
3121.00,93.21
3120.00,93.25
3119.00,93.28
3118.00,93.31
3117.00,93.33
3116.00,93.34
3115.00,93.35
3114.00,93.35
3113.00,93.35
3112.00,93.36
3111.00,93.38
3110.00,93.41
3109.00,93.43
3108.00,93.45
3107.00,93.46
3106.00,93.47
3105.00,93.48
3104.00,93.49
3103.00,93.52
3102.00,93.54
3101.00,93.56
3100.00,93.58
3099.00,93.58
3098.00,93.57
3097.00,93.56
3096.00,93.56
3095.00,93.58
3094.00,93.60
3093.00,93.63
3092.00,93.64
3091.00,93.64
3090.00,93.63
3089.00,93.61
3088.00,93.60
3087.00,93.60
3086.00,93.60
3085.00,93.60
3084.00,93.61
3083.00,93.62
3082.00,93.64
3081.00,93.65
3080.00,93.65
3079.00,93.65
3078.00,93.65
3077.00,93.65
3076.00,93.64
3075.00,93.64
3074.00,93.64
3073.00,93.64
3072.00,93.65
3071.00,93.67
3070.00,93.69
3069.00,93.71
3068.00,93.72
3067.00,93.73
3066.00,93.73
3065.00,93.75
3064.00,93.78
3063.00,93.81
3062.00,93.82
3061.00,93.83
3060.00,93.85
3059.00,93.88
3058.00,93.92
3057.00,93.96
3056.00,94.00
3055.00,94.03
3054.00,94.05
3053.00,94.07
3052.00,94.10
3051.00,94.12
3050.00,94.16
3049.00,94.21
3048.00,94.25
3047.00,94.29
3046.00,94.32
3045.00,94.36
3044.00,94.40
3043.00,94.43
3042.00,94.45
3041.00,94.47
3040.00,94.51
3039.00,94.55
3038.00,94.60
3037.00,94.65
3036.00,94.70
3035.00,94.74
3034.00,94.78
3033.00,94.80
3032.00,94.82
3031.00,94.84
3030.00,94.87
3029.00,94.90
3028.00,94.94
3027.00,94.98
3026.00,95.02
3025.00,95.05
3024.00,95.06
3023.00,95.08
3022.00,95.11
3021.00,95.15
3020.00,95.20
3019.00,95.25
3018.00,95.29
3017.00,95.32
3016.00,95.34
3015.00,95.35
3014.00,95.37
3013.00,95.39
3012.00,95.42
3011.00,95.46
3010.00,95.48
3009.00,95.50
3008.00,95.52
3007.00,95.53
3006.00,95.55
3005.00,95.56
3004.00,95.57
3003.00,95.57
3002.00,95.56
3001.00,95.56
3000.00,95.56
2999.00,95.56
2998.00,95.56
2997.00,95.55
2996.00,95.54
2995.00,95.52
2994.00,95.49
2993.00,95.46
2992.00,95.43
2991.00,95.39
2990.00,95.35
2989.00,95.31
2988.00,95.27
2987.00,95.24
2986.00,95.19
2985.00,95.13
2984.00,95.07
2983.00,95.01
2982.00,94.95
2981.00,94.88
2980.00,94.81
2979.00,94.73
2978.00,94.66
2977.00,94.59
2976.00,94.52
2975.00,94.45
2974.00,94.37
2973.00,94.28
2972.00,94.19
2971.00,94.09
2970.00,94.00
2969.00,93.92
2968.00,93.84
2967.00,93.76
2966.00,93.68
2965.00,93.60
2964.00,93.52
2963.00,93.45
2962.00,93.39
2961.00,93.33
2960.00,93.28
2959.00,93.24
2958.00,93.21
2957.00,93.19
2956.00,93.20
2955.00,93.22
2954.00,93.25
2953.00,93.28
2952.00,93.32
2951.00,93.36
2950.00,93.41
2949.00,93.45
2948.00,93.47
2947.00,93.46
2946.00,93.42
2945.00,93.37
2944.00,93.31
2943.00,93.24
2942.00,93.15
2941.00,93.06
2940.00,92.94
2939.00,92.82
2938.00,92.68
2937.00,92.54
2936.00,92.41
2935.00,92.26
2934.00,92.11
2933.00,91.96
2932.00,91.82
2931.00,91.68
2930.00,91.53
2929.00,91.38
2928.00,91.23
2927.00,91.09
2926.00,90.95
2925.00,90.82
2924.00,90.68
2923.00,90.53
2922.00,90.39
2921.00,90.25
2920.00,90.13
2919.00,90.04
2918.00,90.03
2917.00,90.11
2916.00,90.32
2915.00,90.64
2914.00,91.05
2913.00,91.48
2912.00,91.90
2911.00,92.29
2910.00,92.61
2909.00,92.89
2908.00,93.12
2907.00,93.31
2906.00,93.47
2905.00,93.60
2904.00,93.71
2903.00,93.82
2902.00,93.94
2901.00,94.05
2900.00,94.17
2899.00,94.27
2898.00,94.37
2897.00,94.46
2896.00,94.54
2895.00,94.62
2894.00,94.69
2893.00,94.77
2892.00,94.84
2891.00,94.90
2890.00,94.97
2889.00,95.04
2888.00,95.10
2887.00,95.15
2886.00,95.20
2885.00,95.24
2884.00,95.27
2883.00,95.29
2882.00,95.30
2881.00,95.31
2880.00,95.32
2879.00,95.32
2878.00,95.34
2877.00,95.34
2876.00,95.33
2875.00,95.30
2874.00,95.28
2873.00,95.26
2872.00,95.27
2871.00,95.29
2870.00,95.33
2869.00,95.37
2868.00,95.40
2867.00,95.44
2866.00,95.46
2865.00,95.46
2864.00,95.46
2863.00,95.43
2862.00,95.40
2861.00,95.33
2860.00,95.23
2859.00,95.10
2858.00,94.95
2857.00,94.78
2856.00,94.59
2855.00,94.40
2854.00,94.19
2853.00,93.98
2852.00,93.80
2851.00,93.67
2850.00,93.65
2849.00,93.77
2848.00,94.03
2847.00,94.40
2846.00,94.81
2845.00,95.23
2844.00,95.60
2843.00,95.93
2842.00,96.21
2841.00,96.45
2840.00,96.65
2839.00,96.81
2838.00,96.94
2837.00,97.04
2836.00,97.13
2835.00,97.20
2834.00,97.28
2833.00,97.34
2832.00,97.40
2831.00,97.44
2830.00,97.48
2829.00,97.52
2828.00,97.56
2827.00,97.62
2826.00,97.67
2825.00,97.72
2824.00,97.76
2823.00,97.79
2822.00,97.81
2821.00,97.83
2820.00,97.84
2819.00,97.86
2818.00,97.88
2817.00,97.90
2816.00,97.92
2815.00,97.95
2814.00,97.98
2813.00,98.01
2812.00,98.04
2811.00,98.06
2810.00,98.09
2809.00,98.12
2808.00,98.16
2807.00,98.18
2806.00,98.20
2805.00,98.21
