Created as New Dataset,Bio-Couture 16/2 Mercerized Cotton
cm-1,%T
3229.00,87.94
3228.00,87.99
3227.00,88.03
3226.00,88.07
3225.00,88.11
3224.00,88.13
3223.00,88.15
3222.00,88.17
3221.00,88.19
3220.00,88.22
3219.00,88.25
3218.00,88.29
3217.00,88.35
3216.00,88.40
3215.00,88.44
3214.00,88.48
3213.00,88.51
3212.00,88.55
3211.00,88.60
3210.00,88.64
3209.00,88.69
3208.00,88.73
3207.00,88.77
3206.00,88.80
3205.00,88.83
3204.00,88.87
3203.00,88.91
3202.00,88.94
3201.00,88.98
3200.00,89.01
3199.00,89.04
3198.00,89.07
3197.00,89.09
3196.00,89.11
3195.00,89.14
3194.00,89.17
3193.00,89.19
3192.00,89.21
3191.00,89.24
3190.00,89.28
3189.00,89.32
3188.00,89.37
3187.00,89.40
3186.00,89.43
3185.00,89.45
3184.00,89.46
3183.00,89.48
3182.00,89.50
3181.00,89.52
3180.00,89.54
3179.00,89.56
3178.00,89.59
3177.00,89.62
3176.00,89.65
3175.00,89.68
3174.00,89.71
3173.00,89.74
3172.00,89.76
3171.00,89.78
3170.00,89.80
3169.00,89.81
3168.00,89.83
3167.00,89.88
3166.00,89.94
3165.00,90.00
3164.00,90.04
3163.00,90.05
3162.00,90.06
3161.00,90.08
3160.00,90.11
3159.00,90.14
3158.00,90.18
3157.00,90.22
3156.00,90.26
3155.00,90.30
3154.00,90.33
3153.00,90.35
3152.00,90.37
3151.00,90.40
3150.00,90.43
3149.00,90.47
3148.00,90.52
3147.00,90.55
3146.00,90.58
3145.00,90.62
3144.00,90.65
3143.00,90.69
3142.00,90.72
3141.00,90.75
3140.00,90.78
3139.00,90.81
3138.00,90.83
3137.00,90.85
3136.00,90.89
3135.00,90.93
3134.00,90.98
3133.00,91.04
3132.00,91.09
3131.00,91.13
3130.00,91.18
3129.00,91.23
3128.00,91.28
3127.00,91.32
3126.00,91.35
3125.00,91.38
3124.00,91.42
3123.00,91.46
3122.00,91.51
3121.00,91.56
3120.00,91.62
3119.00,91.67
3118.00,91.72
3117.00,91.75
3116.00,91.78
3115.00,91.81
3114.00,91.85
3113.00,91.91
3112.00,91.96
3111.00,92.01
3110.00,92.07
3109.00,92.11
3108.00,92.16
3107.00,92.20
3106.00,92.25
3105.00,92.29
3104.00,92.34
3103.00,92.38
3102.00,92.42
3101.00,92.45
3100.00,92.49
3099.00,92.53
3098.00,92.58
3097.00,92.63
3096.00,92.69
3095.00,92.73
3094.00,92.77
3093.00,92.80
3092.00,92.84
3091.00,92.88
3090.00,92.91
3089.00,92.94
3088.00,92.97
3087.00,93.02
3086.00,93.07
3085.00,93.12
3084.00,93.17
3083.00,93.22
3082.00,93.26
3081.00,93.28
3080.00,93.30
3079.00,93.32
3078.00,93.35
3077.00,93.39
3076.00,93.43
3075.00,93.46
3074.00,93.49
3073.00,93.53
3072.00,93.58
3071.00,93.64
3070.00,93.70
3069.00,93.73
3068.00,93.76
3067.00,93.79
3066.00,93.82
3065.00,93.85
3064.00,93.88
3063.00,93.91
3062.00,93.95
3061.00,93.98
3060.00,94.01
3059.00,94.04
3058.00,94.07
3057.00,94.10
3056.00,94.13
3055.00,94.14
3054.00,94.17
3053.00,94.20
3052.00,94.24
3051.00,94.28
3050.00,94.31
3049.00,94.34
3048.00,94.36
3047.00,94.39
3046.00,94.42
3045.00,94.45
3044.00,94.47
3043.00,94.50
3042.00,94.53
3041.00,94.56
3040.00,94.60
3039.00,94.63
3038.00,94.66
3037.00,94.67
3036.00,94.68
3035.00,94.70
3034.00,94.72
3033.00,94.75
3032.00,94.78
3031.00,94.81
3030.00,94.85
3029.00,94.88
3028.00,94.91
3027.00,94.93
3026.00,94.96
3025.00,94.98
3024.00,94.99
3023.00,95.00
3022.00,95.01
3021.00,95.03
3020.00,95.05
3019.00,95.08
3018.00,95.10
3017.00,95.12
3016.00,95.13
3015.00,95.15
3014.00,95.17
3013.00,95.20
3012.00,95.23
3011.00,95.25
3010.00,95.26
3009.00,95.27
3008.00,95.28
3007.00,95.30
3006.00,95.32
3005.00,95.34
3004.00,95.36
3003.00,95.38
3002.00,95.39
3001.00,95.40
3000.00,95.40
2999.00,95.39
2998.00,95.39
2997.00,95.40
2996.00,95.42
2995.00,95.44
2994.00,95.44
2993.00,95.43
2992.00,95.42
2991.00,95.41
2990.00,95.40
2989.00,95.39
2988.00,95.36
2987.00,95.33
2986.00,95.31
2985.00,95.30
2984.00,95.30
2983.00,95.29
2982.00,95.28
2981.00,95.27
2980.00,95.26
2979.00,95.24
2978.00,95.23
2977.00,95.20
2976.00,95.18
2975.00,95.15
2974.00,95.12
2973.00,95.08
2972.00,95.03
2971.00,94.97
2970.00,94.91
2969.00,94.85
2968.00,94.81
2967.00,94.79
2966.00,94.76
2965.00,94.74
2964.00,94.71
2963.00,94.67
2962.00,94.63
2961.00,94.58
2960.00,94.53
2959.00,94.49
2958.00,94.45
2957.00,94.42
2956.00,94.38
2955.00,94.34
2954.00,94.30
2953.00,94.26
2952.00,94.21
2951.00,94.17
2950.00,94.13
2949.00,94.09
2948.00,94.03
2947.00,93.97
2946.00,93.90
2945.00,93.84
2944.00,93.78
2943.00,93.72
2942.00,93.65
2941.00,93.58
2940.00,93.50
2939.00,93.42
2938.00,93.34
2937.00,93.25
2936.00,93.17
2935.00,93.09
2934.00,93.01
2933.00,92.94
2932.00,92.87
2931.00,92.79
2930.00,92.71
2929.00,92.61
2928.00,92.52
2927.00,92.42
2926.00,92.31
2925.00,92.18
2924.00,92.06
2923.00,91.93
2922.00,91.80
2921.00,91.68
2920.00,91.57
2919.00,91.48
2918.00,91.41
2917.00,91.37
2916.00,91.36
2915.00,91.37
2914.00,91.39
2913.00,91.41
2912.00,91.42
2911.00,91.40
2910.00,91.36
2909.00,91.32
2908.00,91.29
2907.00,91.26
2906.00,91.23
2905.00,91.21
2904.00,91.18
2903.00,91.14
2902.00,91.11
2901.00,91.08
2900.00,91.05
2899.00,91.04
2898.00,91.03
2897.00,91.01
2896.00,90.99
2895.00,90.98
2894.00,90.97
2893.00,90.96
2892.00,90.97
2891.00,91.00
2890.00,91.06
2889.00,91.13
2888.00,91.20
2887.00,91.27
2886.00,91.33
2885.00,91.39
2884.00,91.45
2883.00,91.51
2882.00,91.55
2881.00,91.57
2880.00,91.59
2879.00,91.61
2878.00,91.63
2877.00,91.65
2876.00,91.68
2875.00,91.71
2874.00,91.74
2873.00,91.78
2872.00,91.82
2871.00,91.88
2870.00,91.94
2869.00,92.00
2868.00,92.06
2867.00,92.12
2866.00,92.17
2865.00,92.22
2864.00,92.27
2863.00,92.31
2862.00,92.35
2861.00,92.39
2860.00,92.43
2859.00,92.46
2858.00,92.48
2857.00,92.48
2856.00,92.47
2855.00,92.44
2854.00,92.40
2853.00,92.37
2852.00,92.38
2851.00,92.43
2850.00,92.53
2849.00,92.65
2848.00,92.80
2847.00,92.94
2846.00,93.08
2845.00,93.21
2844.00,93.33
2843.00,93.43
2842.00,93.52
2841.00,93.60
2840.00,93.68
2839.00,93.75
2838.00,93.81
2837.00,93.86
2836.00,93.90
2835.00,93.95
2834.00,93.99
2833.00,94.04
2832.00,94.07
2831.00,94.11
2830.00,94.15
2829.00,94.18
2828.00,94.21
2827.00,94.23
2826.00,94.27
2825.00,94.31
2824.00,94.35
2823.00,94.38
2822.00,94.40
2821.00,94.42
2820.00,94.44
2819.00,94.47
2818.00,94.49
2817.00,94.52
2816.00,94.54
2815.00,94.56
2814.00,94.59
2813.00,94.62
2812.00,94.64
2811.00,94.65
2810.00,94.66
2809.00,94.68
2808.00,94.70
2807.00,94.73
2806.00,94.76
2805.00,94.79
2804.00,94.81
2803.00,94.82
2802.00,94.84
2801.00,94.86
2800.00,94.89
2799.00,94.90
2798.00,94.92
2797.00,94.94
2796.00,94.97
2795.00,95.01
2794.00,95.04
2793.00,95.06
2792.00,95.07
2791.00,95.07
2790.00,95.07
2789.00,95.08
2788.00,95.09
2787.00,95.11
2786.00,95.14
2785.00,95.16
2784.00,95.17
2783.00,95.18
2782.00,95.20
2781.00,95.22
2780.00,95.23
2779.00,95.24
2778.00,95.25
2777.00,95.26
2776.00,95.28
2775.00,95.30
2774.00,95.33
2773.00,95.35
2772.00,95.37
2771.00,95.38
2770.00,95.39
2769.00,95.39
2768.00,95.39
2767.00,95.38
2766.00,95.39
2765.00,95.39
2764.00,95.40
2763.00,95.41
2762.00,95.41
2761.00,95.41
2760.00,95.42
2759.00,95.44
2758.00,95.46
2757.00,95.46
2756.00,95.45
2755.00,95.45
2754.00,95.45
2753.00,95.46
2752.00,95.47
2751.00,95.48
2750.00,95.47
2749.00,95.47
2748.00,95.45
2747.00,95.44
2746.00,95.43
2745.00,95.43
2744.00,95.44
2743.00,95.46
2742.00,95.47
2741.00,95.48
2740.00,95.48
2739.00,95.47
2738.00,95.46
2737.00,95.46
2736.00,95.47
2735.00,95.48
2734.00,95.49
2733.00,95.51
2732.00,95.51
2731.00,95.51
2730.00,95.50
2729.00,95.49
2728.00,95.49
2727.00,95.50
2726.00,95.51
2725.00,95.53
2724.00,95.53
2723.00,95.53
2722.00,95.53
2721.00,95.53
2720.00,95.54
2719.00,95.56
2718.00,95.58
2717.00,95.60
2716.00,95.60
2715.00,95.60
2714.00,95.60
2713.00,95.61
2712.00,95.64
2711.00,95.66
2710.00,95.68
2709.00,95.68
2708.00,95.67
2707.00,95.67
2706.00,95.66
2705.00,95.66
2704.00,95.66
2703.00,95.68
2702.00,95.69
2701.00,95.71
2700.00,95.71
