Created as New Dataset,176. Shaw industries (Beige)
cm-1,%T
3132.00,97.64
3131.00,97.62
3130.00,97.61
3129.00,97.61
3128.00,97.62
3127.00,97.64
3126.00,97.66
3125.00,97.66
3124.00,97.66
3123.00,97.66
3122.00,97.65
3121.00,97.65
3120.00,97.64
3119.00,97.62
3118.00,97.60
3117.00,97.60
3116.00,97.62
3115.00,97.63
3114.00,97.62
3113.00,97.58
3112.00,97.53
3111.00,97.48
3110.00,97.43
3109.00,97.41
3108.00,97.41
3107.00,97.41
3106.00,97.42
3105.00,97.42
3104.00,97.41
3103.00,97.40
3102.00,97.40
3101.00,97.41
3100.00,97.42
3099.00,97.44
3098.00,97.47
3097.00,97.50
3096.00,97.52
3095.00,97.51
3094.00,97.50
3093.00,97.48
3092.00,97.47
3091.00,97.46
3090.00,97.45
3089.00,97.44
3088.00,97.44
3087.00,97.43
3086.00,97.42
3085.00,97.41
3084.00,97.39
3083.00,97.38
3082.00,97.37
3081.00,97.35
3080.00,97.33
3079.00,97.31
3078.00,97.30
3077.00,97.31
3076.00,97.32
3075.00,97.33
3074.00,97.33
3073.00,97.32
3072.00,97.31
3071.00,97.31
3070.00,97.31
3069.00,97.30
3068.00,97.30
3067.00,97.31
3066.00,97.30
3065.00,97.29
3064.00,97.27
3063.00,97.26
3062.00,97.27
3061.00,97.28
3060.00,97.29
3059.00,97.29
3058.00,97.28
3057.00,97.26
3056.00,97.25
3055.00,97.24
3054.00,97.23
3053.00,97.24
3052.00,97.26
3051.00,97.30
3050.00,97.36
3049.00,97.42
3048.00,97.46
3047.00,97.49
3046.00,97.50
3045.00,97.51
3044.00,97.53
3043.00,97.56
3042.00,97.58
3041.00,97.61
3040.00,97.62
3039.00,97.63
3038.00,97.63
3037.00,97.63
3036.00,97.62
3035.00,97.61
3034.00,97.60
3033.00,97.59
3032.00,97.59
3031.00,97.57
3030.00,97.56
3029.00,97.55
3028.00,97.54
3027.00,97.52
3026.00,97.49
3025.00,97.45
3024.00,97.40
3023.00,97.35
3022.00,97.31
3021.00,97.30
3020.00,97.29
3019.00,97.28
3018.00,97.25
3017.00,97.20
3016.00,97.15
3015.00,97.12
3014.00,97.09
3013.00,97.08
3012.00,97.07
3011.00,97.06
3010.00,97.05
3009.00,97.03
3008.00,96.99
3007.00,96.94
3006.00,96.89
3005.00,96.85
3004.00,96.81
3003.00,96.78
3002.00,96.76
3001.00,96.74
3000.00,96.73
2999.00,96.72
2998.00,96.70
2997.00,96.69
2996.00,96.68
2995.00,96.67
2994.00,96.65
2993.00,96.62
2992.00,96.58
2991.00,96.54
2990.00,96.49
2989.00,96.45
2988.00,96.41
2987.00,96.37
2986.00,96.33
2985.00,96.28
2984.00,96.21
2983.00,96.13
2982.00,96.05
2981.00,95.98
2980.00,95.91
2979.00,95.83
2978.00,95.75
2977.00,95.66
2976.00,95.56
2975.00,95.47
2974.00,95.39
2973.00,95.31
2972.00,95.24
2971.00,95.17
2970.00,95.12
2969.00,95.08
2968.00,95.07
2967.00,95.07
2966.00,95.09
2965.00,95.11
2964.00,95.13
2963.00,95.15
2962.00,95.17
2961.00,95.19
2960.00,95.21
2959.00,95.23
2958.00,95.25
2957.00,95.28
2956.00,95.33
2955.00,95.41
2954.00,95.49
2953.00,95.58
2952.00,95.66
2951.00,95.73
2950.00,95.81
2949.00,95.88
2948.00,95.94
2947.00,95.98
2946.00,96.02
2945.00,96.06
2944.00,96.11
2943.00,96.16
2942.00,96.20
2941.00,96.22
2940.00,96.24
2939.00,96.24
2938.00,96.24
2937.00,96.24
2936.00,96.24
2935.00,96.24
2934.00,96.23
2933.00,96.20
2932.00,96.16
2931.00,96.11
2930.00,96.06
2929.00,96.02
2928.00,95.98
2927.00,95.93
2926.00,95.87
2925.00,95.77
2924.00,95.66
2923.00,95.55
2922.00,95.46
2921.00,95.37
2920.00,95.31
2919.00,95.27
2918.00,95.24
2917.00,95.22
2916.00,95.22
2915.00,95.25
2914.00,95.29
2913.00,95.34
2912.00,95.38
2911.00,95.42
2910.00,95.45
2909.00,95.47
2908.00,95.48
2907.00,95.49
2906.00,95.52
2905.00,95.56
2904.00,95.61
2903.00,95.67
2902.00,95.72
2901.00,95.77
2900.00,95.82
2899.00,95.86
2898.00,95.88
2897.00,95.89
2896.00,95.89
2895.00,95.89
2894.00,95.90
2893.00,95.90
2892.00,95.91
2891.00,95.92
2890.00,95.93
2889.00,95.96
2888.00,96.00
2887.00,96.03
2886.00,96.07
2885.00,96.09
2884.00,96.11
2883.00,96.11
2882.00,96.11
2881.00,96.13
2880.00,96.15
2879.00,96.18
2878.00,96.21
2877.00,96.24
2876.00,96.27
2875.00,96.30
2874.00,96.32
2873.00,96.33
2872.00,96.33
2871.00,96.33
2870.00,96.33
2869.00,96.35
2868.00,96.36
2867.00,96.36
2866.00,96.35
2865.00,96.34
2864.00,96.33
2863.00,96.32
2862.00,96.32
2861.00,96.31
2860.00,96.29
2859.00,96.27
2858.00,96.26
2857.00,96.25
2856.00,96.23
2855.00,96.19
2854.00,96.15
2853.00,96.10
2852.00,96.07
2851.00,96.06
2850.00,96.08
2849.00,96.15
2848.00,96.26
2847.00,96.40
2846.00,96.55
2845.00,96.70
2844.00,96.83
2843.00,96.93
2842.00,97.01
2841.00,97.07
2840.00,97.11
2839.00,97.14
2838.00,97.16
2837.00,97.18
2836.00,97.19
2835.00,97.22
2834.00,97.24
2833.00,97.27
2832.00,97.30
2831.00,97.32
2830.00,97.33
2829.00,97.35
2828.00,97.36
2827.00,97.37
2826.00,97.39
2825.00,97.40
2824.00,97.41
2823.00,97.41
2822.00,97.41
2821.00,97.42
2820.00,97.43
2819.00,97.44
2818.00,97.43
2817.00,97.43
2816.00,97.42
2815.00,97.43
2814.00,97.43
2813.00,97.43
2812.00,97.43
2811.00,97.42
2810.00,97.42
2809.00,97.41
2808.00,97.41
2807.00,97.41
2806.00,97.42
2805.00,97.43
2804.00,97.45
2803.00,97.47
2802.00,97.48
2801.00,97.49
2800.00,97.50
2799.00,97.51
2798.00,97.53
2797.00,97.54
2796.00,97.54
2795.00,97.55
2794.00,97.55
2793.00,97.57
2792.00,97.60
2791.00,97.62
2790.00,97.63
2789.00,97.62
2788.00,97.62
2787.00,97.62
2786.00,97.62
2785.00,97.62
2784.00,97.63
2783.00,97.63
2782.00,97.63
2781.00,97.64
2780.00,97.65
2779.00,97.66
2778.00,97.68
2777.00,97.68
2776.00,97.69
2775.00,97.68
2774.00,97.69
2773.00,97.69
2772.00,97.70
2771.00,97.70
2770.00,97.71
2769.00,97.71
2768.00,97.71
2767.00,97.71
2766.00,97.72
2765.00,97.73
2764.00,97.74
2763.00,97.76
2762.00,97.76
2761.00,97.76
2760.00,97.75
2759.00,97.75
2758.00,97.75
2757.00,97.76
2756.00,97.76
2755.00,97.76
2754.00,97.76
2753.00,97.76
2752.00,97.75
2751.00,97.75
2750.00,97.73
2749.00,97.72
2748.00,97.71
2747.00,97.70
2746.00,97.71
2745.00,97.73
2744.00,97.74
2743.00,97.74
2742.00,97.73
2741.00,97.72
2740.00,97.71
2739.00,97.70
2738.00,97.70
2737.00,97.70
2736.00,97.72
2735.00,97.73
2734.00,97.75
2733.00,97.76
2732.00,97.76
2731.00,97.77
2730.00,97.77
2729.00,97.77
2728.00,97.78
2727.00,97.78
2726.00,97.78
2725.00,97.78
2724.00,97.78
2723.00,97.79
2722.00,97.81
2721.00,97.83
2720.00,97.84
2719.00,97.84
2718.00,97.83
2717.00,97.82
2716.00,97.82
2715.00,97.84
2714.00,97.85
2713.00,97.86
2712.00,97.85
2711.00,97.84
2710.00,97.83
2709.00,97.83
2708.00,97.84
2707.00,97.85
2706.00,97.86
2705.00,97.87
2704.00,97.87
2703.00,97.87
2702.00,97.87
2701.00,97.86
2700.00,97.86
2699.00,97.85
2698.00,97.85
2697.00,97.85
2696.00,97.86
2695.00,97.86
2694.00,97.86
2693.00,97.86
2692.00,97.87
2691.00,97.87
2690.00,97.87
2689.00,97.87
2688.00,97.86
2687.00,97.86
2686.00,97.87
2685.00,97.87
2684.00,97.88
2683.00,97.87
2682.00,97.86
2681.00,97.85
2680.00,97.85
2679.00,97.86
2678.00,97.87
2677.00,97.87
2676.00,97.86
2675.00,97.85
2674.00,97.84
2673.00,97.84
2672.00,97.84
2671.00,97.84
2670.00,97.85
2669.00,97.86
2668.00,97.88
2667.00,97.89
2666.00,97.91
2665.00,97.91
2664.00,97.91
2663.00,97.89
2662.00,97.86
2661.00,97.84
2660.00,97.81
2659.00,97.79
2658.00,97.79
2657.00,97.79
2656.00,97.78
2655.00,97.77
2654.00,97.76
2653.00,97.75
2652.00,97.74
2651.00,97.74
2650.00,97.73
2649.00,97.73
2648.00,97.72
2647.00,97.71
2646.00,97.70
2645.00,97.69
