Created as New Dataset,12.3 Red Wool Lincoln sheep
cm-1,%T
2753.00,99.69
2752.00,99.69
2751.00,99.70
2750.00,99.71
2749.00,99.73
2748.00,99.74
2747.00,99.75
2746.00,99.76
2745.00,99.78
2744.00,99.80
2743.00,99.81
2742.00,99.83
2741.00,99.84
2740.00,99.84
2739.00,99.85
2738.00,99.85
2737.00,99.86
2736.00,99.86
2735.00,99.87
2734.00,99.88
2733.00,99.88
2732.00,99.88
2731.00,99.89
2730.00,99.89
2729.00,99.90
2728.00,99.90
2727.00,99.92
2726.00,99.94
2725.00,99.96
2724.00,99.98
2723.00,99.99
2722.00,100.00
2721.00,100.00
2720.00,100.01
2719.00,100.02
2718.00,100.03
2717.00,100.03
2716.00,100.03
2715.00,100.04
2714.00,100.06
2713.00,100.08
2712.00,100.10
2711.00,100.11
2710.00,100.10
2709.00,100.09
2708.00,100.09
2707.00,100.11
2706.00,100.12
2705.00,100.13
2704.00,100.13
2703.00,100.12
2702.00,100.12
2701.00,100.13
2700.00,100.14
2699.00,100.15
2698.00,100.15
2697.00,100.14
2696.00,100.14
2695.00,100.14
2694.00,100.16
2693.00,100.19
2692.00,100.21
2691.00,100.22
2690.00,100.21
2689.00,100.19
2688.00,100.18
2687.00,100.18
2686.00,100.19
2685.00,100.20
2684.00,100.21
2683.00,100.22
2682.00,100.22
2681.00,100.22
2680.00,100.22
2679.00,100.22
2678.00,100.22
2677.00,100.22
2676.00,100.23
2675.00,100.24
2674.00,100.25
2673.00,100.26
2672.00,100.28
2671.00,100.30
2670.00,100.30
2669.00,100.30
2668.00,100.29
2667.00,100.28
2666.00,100.27
2665.00,100.27
2664.00,100.27
2663.00,100.27
2662.00,100.27
2661.00,100.27
2660.00,100.28
2659.00,100.28
2658.00,100.28
2657.00,100.29
2656.00,100.29
2655.00,100.29
2654.00,100.29
2653.00,100.29
2652.00,100.29
2651.00,100.29
2650.00,100.27
2649.00,100.26
2648.00,100.25
2647.00,100.24
2646.00,100.24
2645.00,100.25
2644.00,100.25
2643.00,100.25
2642.00,100.26
2641.00,100.27
