Created as New Dataset,63. Modacrylic Solutia Dyed
cm-1,%T
2922.00,95.79
2921.00,95.77
2920.00,95.76
2919.00,95.75
2918.00,95.77
2917.00,95.81
2916.00,95.87
2915.00,95.93
2914.00,96.01
2913.00,96.08
2912.00,96.15
2911.00,96.21
2910.00,96.27
2909.00,96.32
2908.00,96.36
2907.00,96.38
2906.00,96.41
2905.00,96.44
2904.00,96.47
2903.00,96.50
2902.00,96.53
2901.00,96.55
2900.00,96.58
2899.00,96.60
2898.00,96.62
2897.00,96.63
2896.00,96.64
2895.00,96.65
2894.00,96.67
2893.00,96.69
2892.00,96.70
2891.00,96.71
2890.00,96.72
2889.00,96.73
2888.00,96.76
2887.00,96.78
2886.00,96.80
2885.00,96.80
2884.00,96.80
2883.00,96.79
2882.00,96.79
2881.00,96.79
2880.00,96.79
2879.00,96.81
2878.00,96.82
2877.00,96.83
2876.00,96.83
2875.00,96.81
2874.00,96.79
2873.00,96.77
2872.00,96.76
2871.00,96.76
2870.00,96.75
2869.00,96.74
2868.00,96.74
2867.00,96.75
2866.00,96.76
2865.00,96.77
2864.00,96.76
2863.00,96.75
2862.00,96.74
2861.00,96.74
2860.00,96.74
2859.00,96.73
2858.00,96.71
2857.00,96.69
2856.00,96.66
2855.00,96.63
2854.00,96.60
2853.00,96.58
2852.00,96.56
2851.00,96.56
2850.00,96.58
2849.00,96.61
2848.00,96.65
2847.00,96.70
2846.00,96.76
2845.00,96.82
2844.00,96.87
2843.00,96.89
2842.00,96.91
2841.00,96.92
2840.00,96.94
2839.00,96.96
2838.00,96.98
2837.00,96.99
2836.00,96.99
2835.00,97.00
2834.00,97.00
2833.00,97.00
2832.00,97.01
2831.00,97.02
2830.00,97.04
2829.00,97.06
2828.00,97.07
2827.00,97.08
2826.00,97.08
2825.00,97.10
2824.00,97.11
2823.00,97.11
2822.00,97.10
2821.00,97.09
2820.00,97.08
2819.00,97.08
2818.00,97.08
2817.00,97.10
2816.00,97.12
2815.00,97.13
2814.00,97.12
2813.00,97.11
2812.00,97.10
2811.00,97.09
2810.00,97.10
2809.00,97.10
2808.00,97.10
2807.00,97.10
2806.00,97.11
2805.00,97.13
2804.00,97.13
2803.00,97.14
2802.00,97.14
2801.00,97.14
2800.00,97.13
2799.00,97.13
2798.00,97.13
2797.00,97.12
2796.00,97.12
2795.00,97.13
2794.00,97.13
2793.00,97.13
2792.00,97.12
2791.00,97.11
2790.00,97.10
2789.00,97.10
2788.00,97.11
2787.00,97.12
2786.00,97.13
2785.00,97.13
2784.00,97.13
2783.00,97.12
2782.00,97.12
2781.00,97.12
2780.00,97.14
2779.00,97.15
2778.00,97.16
2777.00,97.18
2776.00,97.18
2775.00,97.18
2774.00,97.17
2773.00,97.18
2772.00,97.18
2771.00,97.18
2770.00,97.18
2769.00,97.19
2768.00,97.20
2767.00,97.21
2766.00,97.22
2765.00,97.22
2764.00,97.21
2763.00,97.19
2762.00,97.18
2761.00,97.17
2760.00,97.17
2759.00,97.18
2758.00,97.19
2757.00,97.20
2756.00,97.21
2755.00,97.22
2754.00,97.21
2753.00,97.20
2752.00,97.19
2751.00,97.17
2750.00,97.15
2749.00,97.14
2748.00,97.14
2747.00,97.14
2746.00,97.16
2745.00,97.16
2744.00,97.16
2743.00,97.15
2742.00,97.15
2741.00,97.15
2740.00,97.15
2739.00,97.15
2738.00,97.14
2737.00,97.13
2736.00,97.13
2735.00,97.14
2734.00,97.14
2733.00,97.14
2732.00,97.15
2731.00,97.15
2730.00,97.14
2729.00,97.13
2728.00,97.12
2727.00,97.12
2726.00,97.12
2725.00,97.13
2724.00,97.13
2723.00,97.14
2722.00,97.15
2721.00,97.16
2720.00,97.16
2719.00,97.15
2718.00,97.14
2717.00,97.14
2716.00,97.15
2715.00,97.17
2714.00,97.17
2713.00,97.16
2712.00,97.14
2711.00,97.13
2710.00,97.13
2709.00,97.14
2708.00,97.16
2707.00,97.16
2706.00,97.16
2705.00,97.16
2704.00,97.17
2703.00,97.18
2702.00,97.19
2701.00,97.19
2700.00,97.18
2699.00,97.16
2698.00,97.15
2697.00,97.14
2696.00,97.14
2695.00,97.14
2694.00,97.14
2693.00,97.15
2692.00,97.15
2691.00,97.15
2690.00,97.15
2689.00,97.15
2688.00,97.15
2687.00,97.15
2686.00,97.15
2685.00,97.15
2684.00,97.15
2683.00,97.14
2682.00,97.13
2681.00,97.13
2680.00,97.14
2679.00,97.15
2678.00,97.16
2677.00,97.16
2676.00,97.16
2675.00,97.15
2674.00,97.14
2673.00,97.14
2672.00,97.16
2671.00,97.17
2670.00,97.18
2669.00,97.18
2668.00,97.18
2667.00,97.18
2666.00,97.16
2665.00,97.15
2664.00,97.14
2663.00,97.13
2662.00,97.12
2661.00,97.10
2660.00,97.08
2659.00,97.07
2658.00,97.06
2657.00,97.06
2656.00,97.05
2655.00,97.06
2654.00,97.07
2653.00,97.08
2652.00,97.07
2651.00,97.05
2650.00,97.03
2649.00,97.01
2648.00,97.00
2647.00,96.99
2646.00,96.98
2645.00,96.98
2644.00,96.98
2643.00,96.98
2642.00,96.97
2641.00,96.97
2640.00,96.95
2639.00,96.94
2638.00,96.93
2637.00,96.92
2636.00,96.92
2635.00,96.92
2634.00,96.92
2633.00,96.91
2632.00,96.91
2631.00,96.91
2630.00,96.92
2629.00,96.94
2628.00,96.94
2627.00,96.93
2626.00,96.90
2625.00,96.87
2624.00,96.85
2623.00,96.85
2622.00,96.86
2621.00,96.86
2620.00,96.85
2619.00,96.83
2618.00,96.82
2617.00,96.82
2616.00,96.83
2615.00,96.84
2614.00,96.85
2613.00,96.86
2612.00,96.86
2611.00,96.87
2610.00,96.86
2609.00,96.86
2608.00,96.86
2607.00,96.85
2606.00,96.84
2605.00,96.84
2604.00,96.83
2603.00,96.83
2602.00,96.83
2601.00,96.81
2600.00,96.78
2599.00,96.76
2598.00,96.75
2597.00,96.74
2596.00,96.73
2595.00,96.72
2594.00,96.71
2593.00,96.70
2592.00,96.69
2591.00,96.68
2590.00,96.67
2589.00,96.67
2588.00,96.68
2587.00,96.71
2586.00,96.73
2585.00,96.74
2584.00,96.74
2583.00,96.73
2582.00,96.72
2581.00,96.70
2580.00,96.69
2579.00,96.68
2578.00,96.69
2577.00,96.69
2576.00,96.68
2575.00,96.66
2574.00,96.65
2573.00,96.65
2572.00,96.66
2571.00,96.67
2570.00,96.66
2569.00,96.64
2568.00,96.63
2567.00,96.63
2566.00,96.63
2565.00,96.64
2564.00,96.65
2563.00,96.66
2562.00,96.66
2561.00,96.65
2560.00,96.63
2559.00,96.61
2558.00,96.61
2557.00,96.62
2556.00,96.62
2555.00,96.61
2554.00,96.59
2553.00,96.58
2552.00,96.59
2551.00,96.60
2550.00,96.61
2549.00,96.61
2548.00,96.62
2547.00,96.62
2546.00,96.62
2545.00,96.62
2544.00,96.61
2543.00,96.61
2542.00,96.62
2541.00,96.62
2540.00,96.62
2539.00,96.60
2538.00,96.58
2537.00,96.57
2536.00,96.57
2535.00,96.59
2534.00,96.61
2533.00,96.61
2532.00,96.61
2531.00,96.60
2530.00,96.60
2529.00,96.61
2528.00,96.62
2527.00,96.62
2526.00,96.60
2525.00,96.59
2524.00,96.58
2523.00,96.58
2522.00,96.58
2521.00,96.58
2520.00,96.58
2519.00,96.58
2518.00,96.57
2517.00,96.57
2516.00,96.58
2515.00,96.60
2514.00,96.62
2513.00,96.62
2512.00,96.60
2511.00,96.57
2510.00,96.53
2509.00,96.51
2508.00,96.51
2507.00,96.53
2506.00,96.56
2505.00,96.59
2504.00,96.60
2503.00,96.59
2502.00,96.59
2501.00,96.58
2500.00,96.58
2499.00,96.58
2498.00,96.58
2497.00,96.57
2496.00,96.57
2495.00,96.56
2494.00,96.55
2493.00,96.56
2492.00,96.56
2491.00,96.56
2490.00,96.55
2489.00,96.54
2488.00,96.53
2487.00,96.53
2486.00,96.54
2485.00,96.55
2484.00,96.54
2483.00,96.54
2482.00,96.55
2481.00,96.57
2480.00,96.59
2479.00,96.60
2478.00,96.61
2477.00,96.61
2476.00,96.60
2475.00,96.58
2474.00,96.56
2473.00,96.55
2472.00,96.56
2471.00,96.57
2470.00,96.58
2469.00,96.59
2468.00,96.60
2467.00,96.60
2466.00,96.59
2465.00,96.58
2464.00,96.56
2463.00,96.56
2462.00,96.57
2461.00,96.59
