Created as New Dataset,17. Cyanenka SA
cm-1,%T
3026.00,99.89
3025.00,99.89
3024.00,99.90
3023.00,99.91
3022.00,99.91
3021.00,99.91
3020.00,99.90
3019.00,99.88
3018.00,99.86
3017.00,99.85
3016.00,99.85
3015.00,99.87
3014.00,99.89
3013.00,99.90
3012.00,99.91
3011.00,99.90
3010.00,99.89
3009.00,99.88
3008.00,99.88
3007.00,99.87
3006.00,99.87
3005.00,99.87
3004.00,99.86
3003.00,99.85
3002.00,99.84
3001.00,99.84
3000.00,99.84
2999.00,99.84
2998.00,99.85
2997.00,99.86
2996.00,99.87
2995.00,99.87
2994.00,99.86
2993.00,99.85
2992.00,99.84
2991.00,99.82
2990.00,99.81
2989.00,99.81
2988.00,99.81
2987.00,99.83
2986.00,99.84
2985.00,99.84
2984.00,99.83
2983.00,99.81
2982.00,99.79
2981.00,99.79
2980.00,99.80
2979.00,99.83
2978.00,99.84
2977.00,99.83
2976.00,99.81
2975.00,99.77
2974.00,99.75
2973.00,99.74
2972.00,99.75
2971.00,99.76
2970.00,99.76
2969.00,99.76
2968.00,99.76
2967.00,99.76
2966.00,99.76
2965.00,99.75
2964.00,99.74
2963.00,99.72
2962.00,99.71
2961.00,99.70
2960.00,99.68
2959.00,99.67
2958.00,99.66
2957.00,99.66
2956.00,99.67
2955.00,99.67
2954.00,99.68
2953.00,99.68
2952.00,99.69
2951.00,99.70
2950.00,99.70
2949.00,99.69
2948.00,99.68
2947.00,99.66
2946.00,99.65
2945.00,99.64
2944.00,99.63
2943.00,99.62
2942.00,99.61
2941.00,99.59
2940.00,99.58
2939.00,99.57
2938.00,99.55
2937.00,99.54
2936.00,99.53
2935.00,99.53
2934.00,99.53
2933.00,99.54
2932.00,99.55
2931.00,99.55
2930.00,99.54
2929.00,99.53
2928.00,99.51
2927.00,99.51
2926.00,99.52
2925.00,99.54
2924.00,99.56
2923.00,99.56
2922.00,99.54
2921.00,99.51
2920.00,99.49
2919.00,99.49
2918.00,99.51
2917.00,99.52
2916.00,99.52
2915.00,99.53
2914.00,99.53
2913.00,99.54
2912.00,99.56
2911.00,99.58
2910.00,99.60
2909.00,99.63
2908.00,99.65
2907.00,99.68
2906.00,99.69
2905.00,99.70
2904.00,99.70
2903.00,99.70
2902.00,99.70
2901.00,99.70
2900.00,99.71
2899.00,99.73
2898.00,99.74
2897.00,99.75
2896.00,99.75
2895.00,99.76
2894.00,99.75
2893.00,99.75
2892.00,99.75
2891.00,99.75
2890.00,99.75
2889.00,99.75
2888.00,99.74
2887.00,99.74
2886.00,99.74
2885.00,99.74
2884.00,99.74
2883.00,99.74
2882.00,99.73
2881.00,99.73
2880.00,99.74
2879.00,99.75
2878.00,99.76
2877.00,99.77
2876.00,99.77
2875.00,99.77
2874.00,99.77
2873.00,99.77
2872.00,99.78
2871.00,99.77
2870.00,99.76
2869.00,99.74
2868.00,99.74
2867.00,99.76
2866.00,99.78
2865.00,99.79
2864.00,99.79
2863.00,99.78
2862.00,99.77
2861.00,99.76
2860.00,99.76
2859.00,99.76
2858.00,99.76
2857.00,99.76
2856.00,99.76
2855.00,99.76
2854.00,99.75
2853.00,99.73
2852.00,99.71
2851.00,99.70
2850.00,99.71
2849.00,99.72
2848.00,99.75
2847.00,99.77
2846.00,99.78
2845.00,99.79
2844.00,99.80
2843.00,99.80
2842.00,99.80
2841.00,99.80
2840.00,99.82
2839.00,99.83
2838.00,99.85
2837.00,99.86
2836.00,99.86
2835.00,99.86
2834.00,99.86
2833.00,99.87
2832.00,99.88
2831.00,99.88
2830.00,99.88
2829.00,99.88
2828.00,99.89
2827.00,99.90
2826.00,99.91
2825.00,99.91
2824.00,99.90
2823.00,99.90
2822.00,99.90
2821.00,99.89
2820.00,99.87
2819.00,99.86
2818.00,99.84
2817.00,99.84
2816.00,99.84
2815.00,99.85
2814.00,99.86
2813.00,99.87
2812.00,99.89
2811.00,99.90
2810.00,99.91
2809.00,99.91
2808.00,99.92
2807.00,99.93
2806.00,99.92
2805.00,99.91
2804.00,99.88
2803.00,99.87
2802.00,99.87
2801.00,99.88
2800.00,99.89
2799.00,99.89
2798.00,99.88
2797.00,99.89
2796.00,99.90
2795.00,99.91
2794.00,99.93
2793.00,99.93
2792.00,99.93
2791.00,99.92
2790.00,99.91
2789.00,99.91
2788.00,99.90
2787.00,99.90
2786.00,99.89
2785.00,99.88
2784.00,99.88
2783.00,99.89
2782.00,99.90
2781.00,99.91
2780.00,99.92
2779.00,99.92
2778.00,99.92
2777.00,99.92
2776.00,99.93
2775.00,99.94
2774.00,99.95
2773.00,99.96
2772.00,99.96
2771.00,99.95
2770.00,99.95
2769.00,99.94
2768.00,99.93
2767.00,99.93
2766.00,99.93
2765.00,99.93
2764.00,99.93
2763.00,99.93
2762.00,99.93
2761.00,99.93
2760.00,99.93
2759.00,99.93
2758.00,99.92
2757.00,99.91
2756.00,99.90
2755.00,99.90
2754.00,99.92
2753.00,99.93
2752.00,99.94
2751.00,99.92
2750.00,99.91
2749.00,99.90
2748.00,99.89
2747.00,99.90
2746.00,99.90
2745.00,99.91
2744.00,99.91
2743.00,99.92
2742.00,99.92
2741.00,99.91
2740.00,99.91
2739.00,99.91
2738.00,99.91
2737.00,99.91
2736.00,99.90
2735.00,99.91
2734.00,99.91
2733.00,99.91
2732.00,99.92
2731.00,99.92
2730.00,99.92
2729.00,99.93
2728.00,99.94
2727.00,99.94
2726.00,99.93
2725.00,99.92
2724.00,99.91
2723.00,99.90
2722.00,99.89
2721.00,99.89
2720.00,99.89
2719.00,99.91
2718.00,99.93
2717.00,99.93
2716.00,99.93
2715.00,99.92
2714.00,99.91
2713.00,99.92
2712.00,99.94
2711.00,99.95
2710.00,99.95
2709.00,99.94
2708.00,99.92
2707.00,99.91
2706.00,99.91
2705.00,99.92
2704.00,99.92
2703.00,99.93
2702.00,99.94
2701.00,99.95
2700.00,99.96
2699.00,99.96
2698.00,99.96
2697.00,99.96
2696.00,99.95
2695.00,99.95
2694.00,99.95
2693.00,99.94
2692.00,99.93
2691.00,99.92
2690.00,99.92
2689.00,99.92
2688.00,99.93
2687.00,99.94
2686.00,99.94
2685.00,99.93
2684.00,99.92
2683.00,99.90
2682.00,99.90
2681.00,99.90
2680.00,99.90
2679.00,99.91
2678.00,99.91
2677.00,99.90
2676.00,99.89
2675.00,99.89
2674.00,99.89
2673.00,99.90
2672.00,99.90
2671.00,99.90
2670.00,99.90
2669.00,99.91
2668.00,99.92
2667.00,99.94
2666.00,99.95
2665.00,99.95
2664.00,99.94
2663.00,99.92
2662.00,99.91
2661.00,99.89
2660.00,99.88
2659.00,99.88
