Created as New Dataset,59 Modacrylic Hoechst Dolan 88 
cm-1,%T
3083.00,98.09
3082.00,98.10
3081.00,98.10
3080.00,98.10
3079.00,98.09
3078.00,98.08
3077.00,98.06
3076.00,98.05
3075.00,98.05
3074.00,98.05
3073.00,98.06
3072.00,98.05
3071.00,98.03
3070.00,98.01
3069.00,98.01
3068.00,98.02
3067.00,98.03
3066.00,98.03
3065.00,98.03
3064.00,98.02
3063.00,98.01
3062.00,98.00
3061.00,97.98
3060.00,97.98
3059.00,97.99
3058.00,98.00
3057.00,98.02
3056.00,98.03
3055.00,98.04
3054.00,98.04
3053.00,98.03
3052.00,98.02
3051.00,98.02
3050.00,98.03
3049.00,98.05
3048.00,98.06
3047.00,98.07
3046.00,98.07
3045.00,98.07
3044.00,98.07
3043.00,98.07
3042.00,98.08
3041.00,98.09
3040.00,98.08
3039.00,98.07
3038.00,98.05
3037.00,98.03
3036.00,98.02
3035.00,98.02
3034.00,98.03
3033.00,98.05
3032.00,98.04
3031.00,98.04
3030.00,98.02
3029.00,98.01
3028.00,98.01
3027.00,98.00
3026.00,98.01
3025.00,98.01
3024.00,98.02
3023.00,98.03
3022.00,98.03
3021.00,98.02
3020.00,98.01
3019.00,98.00
3018.00,97.99
3017.00,97.99
3016.00,97.99
3015.00,97.99
3014.00,97.98
3013.00,97.98
3012.00,97.97
3011.00,97.96
3010.00,97.94
3009.00,97.92
3008.00,97.90
3007.00,97.89
3006.00,97.90
3005.00,97.90
3004.00,97.91
3003.00,97.92
3002.00,97.92
3001.00,97.90
3000.00,97.89
2999.00,97.87
2998.00,97.86
2997.00,97.86
2996.00,97.86
2995.00,97.85
2994.00,97.83
2993.00,97.80
2992.00,97.77
2991.00,97.76
2990.00,97.77
2989.00,97.77
2988.00,97.78
2987.00,97.76
2986.00,97.74
2985.00,97.72
2984.00,97.69
2983.00,97.68
2982.00,97.68
2981.00,97.68
2980.00,97.68
2979.00,97.68
2978.00,97.67
2977.00,97.66
2976.00,97.66
2975.00,97.65
2974.00,97.63
2973.00,97.61
2972.00,97.59
2971.00,97.58
2970.00,97.59
2969.00,97.61
2968.00,97.62
2967.00,97.63
2966.00,97.62
2965.00,97.60
2964.00,97.58
2963.00,97.56
2962.00,97.54
2961.00,97.52
2960.00,97.50
2959.00,97.49
2958.00,97.48
2957.00,97.46
2956.00,97.44
2955.00,97.41
2954.00,97.39
2953.00,97.37
2952.00,97.35
2951.00,97.32
2950.00,97.29
2949.00,97.26
2948.00,97.23
2947.00,97.22
2946.00,97.22
2945.00,97.22
2944.00,97.21
2943.00,97.19
2942.00,97.17
2941.00,97.14
2940.00,97.11
2939.00,97.09
2938.00,97.07
2937.00,97.06
2936.00,97.06
2935.00,97.07
2934.00,97.06
2933.00,97.04
2932.00,97.02
2931.00,97.02
2930.00,97.01
2929.00,97.01
2928.00,97.01
2927.00,97.01
2926.00,97.01
2925.00,97.03
2924.00,97.04
2923.00,97.05
2922.00,97.06
2921.00,97.06
2920.00,97.07
2919.00,97.10
2918.00,97.14
2917.00,97.19
2916.00,97.23
2915.00,97.26
2914.00,97.29
2913.00,97.32
2912.00,97.35
2911.00,97.39
2910.00,97.43
2909.00,97.46
2908.00,97.49
2907.00,97.52
2906.00,97.55
2905.00,97.58
2904.00,97.59
2903.00,97.60
2902.00,97.61
2901.00,97.62
2900.00,97.65
2899.00,97.67
2898.00,97.67
2897.00,97.67
2896.00,97.67
2895.00,97.68
2894.00,97.70
2893.00,97.72
2892.00,97.72
2891.00,97.73
2890.00,97.73
2889.00,97.75
2888.00,97.76
2887.00,97.75
2886.00,97.72
2885.00,97.70
2884.00,97.69
