Created as New Dataset,80. Nylon Allied Signal Fibers Dyed
cm-1,%T
2855.00,93.78
2854.00,93.89
2853.00,94.02
2852.00,94.18
2851.00,94.37
2850.00,94.60
2849.00,94.85
2848.00,95.13
2847.00,95.43
2846.00,95.73
2845.00,96.01
2844.00,96.26
2843.00,96.49
2842.00,96.68
2841.00,96.85
2840.00,97.00
2839.00,97.14
2838.00,97.26
2837.00,97.36
2836.00,97.45
2835.00,97.53
2834.00,97.59
2833.00,97.63
2832.00,97.67
2831.00,97.70
2830.00,97.73
2829.00,97.76
2828.00,97.81
2827.00,97.86
2826.00,97.91
2825.00,97.94
2824.00,97.96
2823.00,97.96
2822.00,97.97
2821.00,97.97
2820.00,97.99
2819.00,98.01
2818.00,98.03
2817.00,98.07
2816.00,98.11
2815.00,98.15
2814.00,98.19
2813.00,98.21
2812.00,98.23
2811.00,98.25
2810.00,98.28
2809.00,98.31
2808.00,98.34
2807.00,98.36
2806.00,98.37
2805.00,98.37
2804.00,98.36
2803.00,98.36
2802.00,98.37
2801.00,98.39
2800.00,98.41
2799.00,98.44
2798.00,98.46
2797.00,98.49
2796.00,98.51
2795.00,98.54
2794.00,98.55
2793.00,98.57
2792.00,98.58
2791.00,98.58
2790.00,98.58
2789.00,98.58
2788.00,98.58
2787.00,98.59
2786.00,98.60
2785.00,98.61
2784.00,98.60
2783.00,98.60
2782.00,98.62
2781.00,98.64
2780.00,98.67
2779.00,98.69
2778.00,98.70
2777.00,98.70
2776.00,98.70
2775.00,98.71
2774.00,98.72
2773.00,98.73
2772.00,98.74
2771.00,98.75
2770.00,98.76
2769.00,98.77
2768.00,98.79
2767.00,98.80
2766.00,98.81
2765.00,98.81
2764.00,98.81
2763.00,98.82
2762.00,98.82
2761.00,98.82
2760.00,98.81
2759.00,98.80
2758.00,98.80
2757.00,98.79
2756.00,98.79
2755.00,98.79
2754.00,98.79
2753.00,98.80
2752.00,98.80
2751.00,98.80
2750.00,98.79
2749.00,98.79
2748.00,98.78
2747.00,98.78
2746.00,98.78
2745.00,98.79
2744.00,98.80
2743.00,98.81
2742.00,98.82
2741.00,98.82
2740.00,98.82
2739.00,98.82
2738.00,98.83
2737.00,98.84
2736.00,98.85
2735.00,98.85
2734.00,98.85
2733.00,98.85
2732.00,98.85
2731.00,98.87
2730.00,98.89
2729.00,98.91
2728.00,98.93
2727.00,98.95
2726.00,98.96
2725.00,98.97
2724.00,98.98
2723.00,99.00
2722.00,99.01
2721.00,99.00
2720.00,99.00
2719.00,98.99
2718.00,99.01
2717.00,99.03
2716.00,99.05
2715.00,99.06
2714.00,99.06
2713.00,99.06
2712.00,99.05
2711.00,99.05
2710.00,99.05
2709.00,99.05
2708.00,99.05
2707.00,99.05
2706.00,99.06
2705.00,99.07
2704.00,99.08
2703.00,99.10
2702.00,99.11
2701.00,99.12
2700.00,99.13
2699.00,99.14
2698.00,99.14
2697.00,99.13
2696.00,99.12
2695.00,99.12
2694.00,99.13
2693.00,99.14
2692.00,99.15
2691.00,99.15
2690.00,99.15
2689.00,99.15
2688.00,99.16
2687.00,99.17
2686.00,99.17
2685.00,99.18
2684.00,99.19
2683.00,99.19
2682.00,99.20
2681.00,99.19
2680.00,99.18
2679.00,99.17
2678.00,99.16
2677.00,99.16
2676.00,99.16
2675.00,99.17
2674.00,99.18
2673.00,99.20
2672.00,99.20
2671.00,99.21
2670.00,99.21
2669.00,99.22
2668.00,99.22
2667.00,99.21
2666.00,99.21
2665.00,99.20
2664.00,99.18
2663.00,99.17
2662.00,99.16
2661.00,99.16
2660.00,99.16
2659.00,99.16
2658.00,99.16
2657.00,99.15
2656.00,99.15
2655.00,99.16
2654.00,99.17
2653.00,99.18
2652.00,99.18
2651.00,99.16
2650.00,99.15
2649.00,99.14
2648.00,99.13
2647.00,99.13
2646.00,99.13
2645.00,99.13
2644.00,99.13
2643.00,99.14
2642.00,99.14
2641.00,99.13
2640.00,99.12
2639.00,99.11
2638.00,99.10
2637.00,99.11
2636.00,99.11
2635.00,99.11
2634.00,99.12
2633.00,99.12
2632.00,99.13
2631.00,99.13
2630.00,99.12
2629.00,99.11
2628.00,99.11
2627.00,99.11
2626.00,99.12
2625.00,99.12
2624.00,99.11
2623.00,99.10
2622.00,99.09
2621.00,99.09
2620.00,99.10
2619.00,99.11
2618.00,99.11
2617.00,99.10
2616.00,99.10
2615.00,99.10
2614.00,99.10
2613.00,99.10
2612.00,99.10
2611.00,99.09
2610.00,99.08
2609.00,99.07
2608.00,99.07
2607.00,99.07
2606.00,99.07
2605.00,99.06
2604.00,99.05
2603.00,99.05
2602.00,99.05
2601.00,99.04
2600.00,99.04
2599.00,99.04
2598.00,99.05
2597.00,99.07
2596.00,99.09
2595.00,99.09
2594.00,99.09
2593.00,99.09
2592.00,99.09
2591.00,99.09
2590.00,99.08
2589.00,99.06
2588.00,99.05
2587.00,99.06
2586.00,99.08
2585.00,99.10
2584.00,99.10
2583.00,99.09
2582.00,99.08
2581.00,99.08
2580.00,99.09
2579.00,99.10
2578.00,99.11
2577.00,99.10
2576.00,99.09
2575.00,99.10
2574.00,99.11
2573.00,99.12
2572.00,99.11
2571.00,99.09
2570.00,99.07
2569.00,99.06
2568.00,99.08
2567.00,99.11
2566.00,99.13
2565.00,99.13
2564.00,99.12
2563.00,99.12
2562.00,99.12
2561.00,99.12
2560.00,99.11
2559.00,99.10
2558.00,99.09
2557.00,99.08
2556.00,99.08
2555.00,99.07
2554.00,99.07
2553.00,99.07
2552.00,99.08
2551.00,99.09
2550.00,99.10
2549.00,99.11
2548.00,99.11
2547.00,99.12
2546.00,99.12
2545.00,99.11
2544.00,99.11
2543.00,99.10
2542.00,99.09
2541.00,99.09
2540.00,99.10
2539.00,99.11
2538.00,99.10
2537.00,99.08
2536.00,99.06
2535.00,99.05
2534.00,99.07
2533.00,99.08
2532.00,99.09
2531.00,99.11
2530.00,99.13
2529.00,99.15
2528.00,99.15
2527.00,99.15
2526.00,99.13
2525.00,99.12
2524.00,99.12
2523.00,99.13
2522.00,99.14
2521.00,99.13
2520.00,99.13
2519.00,99.12
2518.00,99.12
2517.00,99.12
2516.00,99.14
2515.00,99.16
2514.00,99.17
2513.00,99.19
2512.00,99.20
2511.00,99.20
2510.00,99.20
2509.00,99.20
2508.00,99.20
2507.00,99.19
2506.00,99.19
2505.00,99.19
2504.00,99.20
2503.00,99.22
2502.00,99.24
2501.00,99.24
2500.00,99.22
2499.00,99.20
2498.00,99.20
2497.00,99.21
2496.00,99.23
2495.00,99.24
2494.00,99.25
2493.00,99.25
2492.00,99.25
2491.00,99.25
2490.00,99.25
2489.00,99.25
2488.00,99.24
2487.00,99.24
2486.00,99.22
2485.00,99.20
2484.00,99.19
2483.00,99.19
2482.00,99.20
2481.00,99.21
2480.00,99.23
2479.00,99.22
2478.00,99.20
2477.00,99.19
2476.00,99.19
2475.00,99.19
2474.00,99.19
2473.00,99.20
2472.00,99.22
2471.00,99.24
2470.00,99.26
2469.00,99.26
2468.00,99.24
2467.00,99.23
2466.00,99.23
2465.00,99.24
2464.00,99.24
2463.00,99.24
