Created as New Dataset,12.1 Red Wool Corriedale sheep
cm-1,%T
2957.00,93.61
2956.00,93.63
2955.00,93.64
2954.00,93.63
2953.00,93.62
2952.00,93.61
2951.00,93.63
2950.00,93.66
2949.00,93.70
2948.00,93.72
2947.00,93.74
2946.00,93.73
2945.00,93.72
2944.00,93.68
2943.00,93.63
2942.00,93.58
2941.00,93.51
2940.00,93.45
2939.00,93.40
2938.00,93.34
2937.00,93.28
2936.00,93.21
2935.00,93.14
2934.00,93.06
2933.00,92.98
2932.00,92.91
2931.00,92.85
2930.00,92.80
2929.00,92.75
2928.00,92.70
2927.00,92.65
2926.00,92.58
2925.00,92.53
2924.00,92.48
2923.00,92.46
2922.00,92.45
2921.00,92.43
2920.00,92.41
2919.00,92.41
2918.00,92.44
2917.00,92.54
2916.00,92.70
2915.00,92.90
2914.00,93.12
2913.00,93.34
2912.00,93.54
2911.00,93.72
2910.00,93.89
2909.00,94.03
2908.00,94.17
2907.00,94.29
2906.00,94.39
2905.00,94.48
2904.00,94.56
2903.00,94.63
2902.00,94.70
2901.00,94.77
2900.00,94.83
2899.00,94.89
2898.00,94.95
2897.00,95.01
2896.00,95.07
2895.00,95.13
2894.00,95.18
2893.00,95.23
2892.00,95.27
2891.00,95.31
2890.00,95.34
2889.00,95.37
2888.00,95.39
2887.00,95.41
2886.00,95.43
2885.00,95.44
2884.00,95.45
2883.00,95.46
2882.00,95.47
2881.00,95.49
2880.00,95.51
2879.00,95.52
2878.00,95.52
2877.00,95.52
2876.00,95.52
2875.00,95.53
2874.00,95.53
2873.00,95.53
2872.00,95.53
2871.00,95.54
2870.00,95.56
2869.00,95.59
2868.00,95.64
2867.00,95.68
2866.00,95.72
2865.00,95.76
2864.00,95.78
2863.00,95.79
2862.00,95.78
2861.00,95.75
2860.00,95.70
2859.00,95.65
2858.00,95.58
2857.00,95.51
2856.00,95.43
2855.00,95.36
2854.00,95.27
2853.00,95.17
2852.00,95.08
2851.00,95.05
2850.00,95.08
2849.00,95.19
2848.00,95.37
2847.00,95.59
2846.00,95.83
2845.00,96.06
2844.00,96.27
2843.00,96.44
2842.00,96.58
2841.00,96.70
2840.00,96.80
2839.00,96.89
2838.00,96.96
2837.00,97.02
2836.00,97.08
2835.00,97.12
2834.00,97.17
2833.00,97.20
2832.00,97.24
2831.00,97.27
2830.00,97.30
2829.00,97.33
2828.00,97.36
2827.00,97.39
2826.00,97.42
2825.00,97.44
2824.00,97.45
2823.00,97.47
2822.00,97.48
2821.00,97.50
2820.00,97.52
2819.00,97.55
2818.00,97.58
2817.00,97.61
2816.00,97.64
2815.00,97.66
2814.00,97.68
2813.00,97.69
2812.00,97.70
2811.00,97.72
2810.00,97.74
2809.00,97.76
2808.00,97.78
2807.00,97.80
2806.00,97.81
2805.00,97.82
2804.00,97.84
2803.00,97.85
2802.00,97.86
2801.00,97.87
2800.00,97.88
2799.00,97.90
2798.00,97.92
2797.00,97.93
2796.00,97.95
2795.00,97.97
2794.00,98.00
2793.00,98.02
2792.00,98.05
2791.00,98.07
2790.00,98.07
2789.00,98.07
2788.00,98.07
2787.00,98.08
2786.00,98.10
2785.00,98.11
2784.00,98.12
2783.00,98.13
2782.00,98.14
2781.00,98.15
2780.00,98.17
2779.00,98.18
2778.00,98.20
2777.00,98.21
2776.00,98.23
2775.00,98.24
2774.00,98.26
2773.00,98.28
2772.00,98.30
2771.00,98.32
2770.00,98.33
2769.00,98.34
2768.00,98.35
2767.00,98.37
2766.00,98.38
2765.00,98.38
2764.00,98.38
2763.00,98.37
2762.00,98.37
2761.00,98.38
2760.00,98.39
2759.00,98.40
2758.00,98.42
2757.00,98.44
2756.00,98.47
2755.00,98.50
2754.00,98.51
2753.00,98.51
2752.00,98.51
2751.00,98.50
2750.00,98.49
2749.00,98.49
2748.00,98.49
2747.00,98.51
2746.00,98.53
2745.00,98.54
2744.00,98.55
2743.00,98.55
2742.00,98.56
2741.00,98.57
2740.00,98.58
2739.00,98.59
2738.00,98.61
2737.00,98.63
2736.00,98.65
2735.00,98.67
2734.00,98.67
2733.00,98.67
2732.00,98.67
2731.00,98.68
2730.00,98.68
2729.00,98.69
2728.00,98.70
2727.00,98.71
2726.00,98.72
2725.00,98.73
2724.00,98.76
2723.00,98.78
2722.00,98.78
2721.00,98.78
2720.00,98.78
2719.00,98.79
2718.00,98.80
2717.00,98.81
2716.00,98.81
2715.00,98.82
2714.00,98.82
2713.00,98.82
2712.00,98.83
2711.00,98.85
2710.00,98.86
2709.00,98.87
2708.00,98.87
2707.00,98.87
2706.00,98.88
2705.00,98.89
2704.00,98.91
2703.00,98.91
2702.00,98.91
2701.00,98.90
2700.00,98.89
2699.00,98.90
2698.00,98.92
2697.00,98.93
2696.00,98.94
2695.00,98.94
2694.00,98.95
2693.00,98.96
2692.00,98.98
2691.00,99.00
2690.00,99.02
2689.00,99.03
2688.00,99.03
2687.00,99.01
2686.00,99.01
2685.00,99.01
2684.00,99.02
2683.00,99.04
2682.00,99.05
2681.00,99.06
2680.00,99.06
2679.00,99.07
2678.00,99.06
2677.00,99.05
2676.00,99.05
2675.00,99.05
2674.00,99.07
2673.00,99.07
2672.00,99.08
2671.00,99.08
2670.00,99.08
2669.00,99.08
2668.00,99.09
2667.00,99.10
2666.00,99.11
2665.00,99.12
2664.00,99.12
2663.00,99.11
2662.00,99.10
2661.00,99.09
2660.00,99.09
2659.00,99.08
2658.00,99.08
2657.00,99.08
2656.00,99.08
2655.00,99.09
