Created as New Dataset,13.1 Red Wool Navajo-Churro sheep 
cm-1,%T
2820.00,92.14
2819.00,92.18
2818.00,92.22
2817.00,92.26
2816.00,92.29
2815.00,92.32
2814.00,92.34
2813.00,92.35
2812.00,92.35
2811.00,92.36
2810.00,92.36
2809.00,92.36
2808.00,92.36
2807.00,92.36
2806.00,92.38
2805.00,92.40
2804.00,92.43
2803.00,92.45
2802.00,92.47
2801.00,92.48
2800.00,92.49
2799.00,92.49
2798.00,92.50
2797.00,92.51
2796.00,92.51
2795.00,92.52
2794.00,92.54
2793.00,92.58
2792.00,92.62
2791.00,92.66
2790.00,92.67
2789.00,92.67
2788.00,92.65
2787.00,92.64
2786.00,92.65
2785.00,92.66
2784.00,92.68
2783.00,92.70
2782.00,92.71
2781.00,92.72
2780.00,92.73
2779.00,92.74
2778.00,92.77
2777.00,92.79
2776.00,92.80
2775.00,92.81
2774.00,92.83
2773.00,92.85
2772.00,92.87
2771.00,92.89
2770.00,92.89
2769.00,92.89
2768.00,92.90
2767.00,92.91
2766.00,92.92
2765.00,92.93
2764.00,92.94
2763.00,92.96
2762.00,92.97
2761.00,92.98
2760.00,92.98
2759.00,92.98
2758.00,92.99
2757.00,93.01
2756.00,93.04
2755.00,93.05
2754.00,93.04
2753.00,93.03
2752.00,93.02
2751.00,93.03
2750.00,93.04
2749.00,93.06
2748.00,93.07
2747.00,93.08
2746.00,93.09
2745.00,93.10
2744.00,93.11
2743.00,93.12
2742.00,93.12
2741.00,93.12
2740.00,93.12
2739.00,93.13
2738.00,93.14
2737.00,93.15
2736.00,93.17
2735.00,93.19
2734.00,93.20
2733.00,93.20
2732.00,93.20
2731.00,93.20
2730.00,93.20
2729.00,93.20
2728.00,93.21
2727.00,93.22
2726.00,93.24
2725.00,93.25
2724.00,93.27
2723.00,93.28
2722.00,93.30
2721.00,93.32
2720.00,93.33
2719.00,93.33
2718.00,93.32
2717.00,93.32
2716.00,93.31
2715.00,93.32
2714.00,93.33
2713.00,93.34
2712.00,93.35
2711.00,93.36
2710.00,93.37
2709.00,93.37
2708.00,93.37
2707.00,93.37
2706.00,93.38
2705.00,93.39
2704.00,93.40
2703.00,93.42
2702.00,93.43
2701.00,93.44
2700.00,93.44
2699.00,93.44
2698.00,93.44
2697.00,93.44
2696.00,93.44
2695.00,93.45
2694.00,93.46
2693.00,93.47
2692.00,93.48
2691.00,93.49
2690.00,93.50
2689.00,93.50
2688.00,93.51
2687.00,93.51
2686.00,93.52
2685.00,93.52
2684.00,93.52
2683.00,93.51
2682.00,93.51
2681.00,93.50
2680.00,93.50
2679.00,93.51
2678.00,93.52
2677.00,93.53
2676.00,93.54
2675.00,93.55
2674.00,93.56
2673.00,93.57
2672.00,93.59
2671.00,93.60
2670.00,93.61
2669.00,93.61
2668.00,93.60
2667.00,93.60
2666.00,93.59
2665.00,93.59
2664.00,93.58
2663.00,93.58
2662.00,93.58
2661.00,93.58
2660.00,93.57
2659.00,93.56
2658.00,93.55
2657.00,93.56
2656.00,93.57
2655.00,93.58
2654.00,93.59
2653.00,93.60
2652.00,93.61
2651.00,93.60
2650.00,93.58
2649.00,93.55
2648.00,93.52
2647.00,93.51
2646.00,93.52
2645.00,93.54
2644.00,93.56
2643.00,93.57
2642.00,93.58
2641.00,93.58
2640.00,93.56
2639.00,93.54
2638.00,93.52
2637.00,93.50
2636.00,93.49
2635.00,93.48
2634.00,93.48
2633.00,93.48
2632.00,93.48
2631.00,93.48
2630.00,93.48
2629.00,93.48
2628.00,93.48
2627.00,93.47
2626.00,93.46
2625.00,93.46
2624.00,93.46
2623.00,93.47
2622.00,93.48
2621.00,93.49
2620.00,93.50
2619.00,93.51
2618.00,93.51
2617.00,93.50
2616.00,93.47
2615.00,93.43
2614.00,93.41
2613.00,93.42
2612.00,93.43
2611.00,93.45
2610.00,93.45
2609.00,93.45
2608.00,93.45
2607.00,93.46
2606.00,93.48
2605.00,93.50
2604.00,93.50
2603.00,93.49
2602.00,93.48
2601.00,93.47
2600.00,93.46
2599.00,93.44
2598.00,93.43
2597.00,93.43
2596.00,93.42
2595.00,93.42
2594.00,93.43
2593.00,93.44
2592.00,93.46
2591.00,93.47
2590.00,93.48
2589.00,93.47
2588.00,93.45
2587.00,93.43
2586.00,93.41
2585.00,93.41
2584.00,93.42
2583.00,93.43
2582.00,93.44
2581.00,93.44
2580.00,93.44
2579.00,93.43
2578.00,93.42
2577.00,93.41
2576.00,93.41
2575.00,93.42
2574.00,93.44
2573.00,93.45
2572.00,93.46
2571.00,93.47
2570.00,93.46
2569.00,93.45
2568.00,93.44
2567.00,93.45
2566.00,93.46
2565.00,93.46
2564.00,93.45
2563.00,93.44
2562.00,93.43
2561.00,93.43
2560.00,93.43
2559.00,93.43
2558.00,93.44
2557.00,93.43
2556.00,93.43
2555.00,93.43
2554.00,93.45
2553.00,93.47
2552.00,93.48
2551.00,93.48
2550.00,93.47
