Created as New Dataset,8. Acrylic Bayed Dyed
cm-1,%T
2957.00,96.20
2956.00,96.19
2955.00,96.17
2954.00,96.14
2953.00,96.11
2952.00,96.07
2951.00,96.03
2950.00,95.99
2949.00,95.97
2948.00,95.95
2947.00,95.92
2946.00,95.88
2945.00,95.82
2944.00,95.76
2943.00,95.72
2942.00,95.69
2941.00,95.67
2940.00,95.66
2939.00,95.65
2938.00,95.64
2937.00,95.61
2936.00,95.57
2935.00,95.52
2934.00,95.47
2933.00,95.44
2932.00,95.42
2931.00,95.41
2930.00,95.39
2929.00,95.36
2928.00,95.34
2927.00,95.32
2926.00,95.30
2925.00,95.26
2924.00,95.21
2923.00,95.16
2922.00,95.12
2921.00,95.10
2920.00,95.10
2919.00,95.11
2918.00,95.15
2917.00,95.20
2916.00,95.28
2915.00,95.38
2914.00,95.49
2913.00,95.59
2912.00,95.67
2911.00,95.74
2910.00,95.81
2909.00,95.88
2908.00,95.94
2907.00,95.99
2906.00,96.03
2905.00,96.06
2904.00,96.10
2903.00,96.14
2902.00,96.16
2901.00,96.18
2900.00,96.19
2899.00,96.20
2898.00,96.22
2897.00,96.25
2896.00,96.28
2895.00,96.31
2894.00,96.34
2893.00,96.37
2892.00,96.38
2891.00,96.38
2890.00,96.38
2889.00,96.38
2888.00,96.38
2887.00,96.39
2886.00,96.40
2885.00,96.41
2884.00,96.41
2883.00,96.41
2882.00,96.41
2881.00,96.41
2880.00,96.41
2879.00,96.41
2878.00,96.40
2877.00,96.41
2876.00,96.41
2875.00,96.42
2874.00,96.42
2873.00,96.41
2872.00,96.39
2871.00,96.39
2870.00,96.39
2869.00,96.40
2868.00,96.40
2867.00,96.40
2866.00,96.40
2865.00,96.39
2864.00,96.39
2863.00,96.39
2862.00,96.40
2861.00,96.40
2860.00,96.40
2859.00,96.40
2858.00,96.38
2857.00,96.35
2856.00,96.32
2855.00,96.28
2854.00,96.25
2853.00,96.22
2852.00,96.20
2851.00,96.20
2850.00,96.21
2849.00,96.23
2848.00,96.28
2847.00,96.35
2846.00,96.43
2845.00,96.50
2844.00,96.54
2843.00,96.57
2842.00,96.59
2841.00,96.61
2840.00,96.64
2839.00,96.66
2838.00,96.68
2837.00,96.69
2836.00,96.70
2835.00,96.71
2834.00,96.71
2833.00,96.72
2832.00,96.72
2831.00,96.73
2830.00,96.73
2829.00,96.75
2828.00,96.76
2827.00,96.78
2826.00,96.78
2825.00,96.77
2824.00,96.75
2823.00,96.74
2822.00,96.74
2821.00,96.73
2820.00,96.72
2819.00,96.72
2818.00,96.72
2817.00,96.72
2816.00,96.72
2815.00,96.73
2814.00,96.74
2813.00,96.74
2812.00,96.75
2811.00,96.76
2810.00,96.76
2809.00,96.77
2808.00,96.78
2807.00,96.78
2806.00,96.79
2805.00,96.80
2804.00,96.80
2803.00,96.81
2802.00,96.81
2801.00,96.80
2800.00,96.80
2799.00,96.80
2798.00,96.80
2797.00,96.81
2796.00,96.81
2795.00,96.81
2794.00,96.81
2793.00,96.80
2792.00,96.79
2791.00,96.79
2790.00,96.79
2789.00,96.79
2788.00,96.80
2787.00,96.80
2786.00,96.81
2785.00,96.82
2784.00,96.83
2783.00,96.84
2782.00,96.84
2781.00,96.85
2780.00,96.85
2779.00,96.85
2778.00,96.85
2777.00,96.83
2776.00,96.82
2775.00,96.80
2774.00,96.79
2773.00,96.78
2772.00,96.78
2771.00,96.80
2770.00,96.81
2769.00,96.83
2768.00,96.84
2767.00,96.85
2766.00,96.86
2765.00,96.87
2764.00,96.87
2763.00,96.86
2762.00,96.85
2761.00,96.84
2760.00,96.84
2759.00,96.85
2758.00,96.86
2757.00,96.87
2756.00,96.87
2755.00,96.86
2754.00,96.85
2753.00,96.84
2752.00,96.84
2751.00,96.85
2750.00,96.85
2749.00,96.86
2748.00,96.86
2747.00,96.86
2746.00,96.85
2745.00,96.84
2744.00,96.83
2743.00,96.83
2742.00,96.84
2741.00,96.86
2740.00,96.88
2739.00,96.89
2738.00,96.89
2737.00,96.87
2736.00,96.84
2735.00,96.82
2734.00,96.80
2733.00,96.80
2732.00,96.81
2731.00,96.81
2730.00,96.82
2729.00,96.82
2728.00,96.82
2727.00,96.82
2726.00,96.82
2725.00,96.83
2724.00,96.83
2723.00,96.83
2722.00,96.82
2721.00,96.81
2720.00,96.80
2719.00,96.79
2718.00,96.78
2717.00,96.78
2716.00,96.78
2715.00,96.79
2714.00,96.79
2713.00,96.78
2712.00,96.77
2711.00,96.78
2710.00,96.80
2709.00,96.83
2708.00,96.85
2707.00,96.85
2706.00,96.84
2705.00,96.82
2704.00,96.82
2703.00,96.82
2702.00,96.82
2701.00,96.83
2700.00,96.83
2699.00,96.83
2698.00,96.83
2697.00,96.83
2696.00,96.82
2695.00,96.82
2694.00,96.83
2693.00,96.83
2692.00,96.83
2691.00,96.83
2690.00,96.83
2689.00,96.82
2688.00,96.81
2687.00,96.81
2686.00,96.82
2685.00,96.84
2684.00,96.86
2683.00,96.86
2682.00,96.85
2681.00,96.84
2680.00,96.83
2679.00,96.83
2678.00,96.83
2677.00,96.83
2676.00,96.82
2675.00,96.81
2674.00,96.81
2673.00,96.81
2672.00,96.81
2671.00,96.81
2670.00,96.80
2669.00,96.79
2668.00,96.77
2667.00,96.76
2666.00,96.76
2665.00,96.76
2664.00,96.77
2663.00,96.77
2662.00,96.77
2661.00,96.77
2660.00,96.77
2659.00,96.77
2658.00,96.78
2657.00,96.78
2656.00,96.76
2655.00,96.73
2654.00,96.70
2653.00,96.69
2652.00,96.69
