Created as New Dataset,6.3 Natural green fiber
cm-1,%T
2563.00,97.70
2562.00,97.69
2561.00,97.68
2560.00,97.68
2559.00,97.69
2558.00,97.71
2557.00,97.73
2556.00,97.73
2555.00,97.73
2554.00,97.73
2553.00,97.73
2552.00,97.73
2551.00,97.72
2550.00,97.71
2549.00,97.70
2548.00,97.70
2547.00,97.72
2546.00,97.73
2545.00,97.73
2544.00,97.73
2543.00,97.72
2542.00,97.72
2541.00,97.72
2540.00,97.73
2539.00,97.74
2538.00,97.74
2537.00,97.73
2536.00,97.71
2535.00,97.70
2534.00,97.70
2533.00,97.71
2532.00,97.73
2531.00,97.74
2530.00,97.74
2529.00,97.73
2528.00,97.71
2527.00,97.70
2526.00,97.69
2525.00,97.70
2524.00,97.73
2523.00,97.75
2522.00,97.76
2521.00,97.77
2520.00,97.77
2519.00,97.78
2518.00,97.78
2517.00,97.79
2516.00,97.80
2515.00,97.82
2514.00,97.81
2513.00,97.78
2512.00,97.75
2511.00,97.73
2510.00,97.75
2509.00,97.77
2508.00,97.78
2507.00,97.78
2506.00,97.80
2505.00,97.81
2504.00,97.83
2503.00,97.84
2502.00,97.84
2501.00,97.83
2500.00,97.84
2499.00,97.84
2498.00,97.85
2497.00,97.85
2496.00,97.84
2495.00,97.82
2494.00,97.81
2493.00,97.79
2492.00,97.78
2491.00,97.79
2490.00,97.82
2489.00,97.85
2488.00,97.87
2487.00,97.87
2486.00,97.87
2485.00,97.86
2484.00,97.85
2483.00,97.85
2482.00,97.87
2481.00,97.89
2480.00,97.89
2479.00,97.89
2478.00,97.88
2477.00,97.87
2476.00,97.86
2475.00,97.87
2474.00,97.88
2473.00,97.89
2472.00,97.90
2471.00,97.90
2470.00,97.89
2469.00,97.89
2468.00,97.89
2467.00,97.90
2466.00,97.92
2465.00,97.94
2464.00,97.94
2463.00,97.92
2462.00,97.90
2461.00,97.90
2460.00,97.91
2459.00,97.91
