Created as New Dataset,83. Allied Signal Fibers
cm-1,%T
3267.00,85.84
3266.00,86.01
3265.00,86.19
3264.00,86.37
3263.00,86.55
3262.00,86.73
3261.00,86.89
3260.00,87.06
3259.00,87.22
3258.00,87.38
3257.00,87.54
3256.00,87.70
3255.00,87.86
3254.00,88.00
3253.00,88.15
3252.00,88.30
3251.00,88.47
3250.00,88.64
3249.00,88.81
3248.00,88.96
3247.00,89.10
3246.00,89.24
3245.00,89.37
3244.00,89.50
3243.00,89.63
3242.00,89.75
3241.00,89.85
3240.00,89.96
3239.00,90.07
3238.00,90.19
3237.00,90.31
3236.00,90.43
3235.00,90.56
3234.00,90.68
3233.00,90.78
3232.00,90.87
3231.00,90.94
3230.00,91.01
3229.00,91.09
3228.00,91.18
3227.00,91.26
3226.00,91.34
3225.00,91.42
3224.00,91.47
3223.00,91.52
3222.00,91.57
3221.00,91.63
3220.00,91.71
3219.00,91.80
3218.00,91.88
3217.00,91.94
3216.00,91.98
3215.00,92.00
3214.00,92.01
3213.00,92.03
3212.00,92.05
3211.00,92.09
3210.00,92.13
3209.00,92.18
3208.00,92.23
3207.00,92.29
3206.00,92.34
3205.00,92.37
3204.00,92.39
3203.00,92.42
3202.00,92.47
3201.00,92.52
3200.00,92.57
3199.00,92.60
3198.00,92.63
3197.00,92.67
3196.00,92.70
3195.00,92.74
3194.00,92.78
3193.00,92.82
3192.00,92.87
3191.00,92.93
3190.00,93.00
3189.00,93.05
3188.00,93.09
3187.00,93.12
3186.00,93.17
3185.00,93.22
3184.00,93.29
3183.00,93.34
3182.00,93.39
3181.00,93.44
3180.00,93.49
3179.00,93.55
3178.00,93.59
3177.00,93.64
3176.00,93.69
3175.00,93.72
3174.00,93.76
3173.00,93.80
3172.00,93.83
3171.00,93.88
3170.00,93.93
3169.00,93.98
3168.00,94.04
3167.00,94.10
3166.00,94.16
3165.00,94.22
3164.00,94.27
3163.00,94.31
3162.00,94.34
3161.00,94.37
3160.00,94.39
3159.00,94.43
3158.00,94.46
3157.00,94.50
3156.00,94.54
3155.00,94.58
3154.00,94.61
3153.00,94.63
3152.00,94.65
3151.00,94.68
3150.00,94.71
3149.00,94.73
3148.00,94.75
3147.00,94.77
3146.00,94.78
3145.00,94.77
3144.00,94.76
3143.00,94.74
3142.00,94.73
3141.00,94.74
3140.00,94.76
3139.00,94.77
3138.00,94.78
3137.00,94.78
3136.00,94.78
3135.00,94.78
3134.00,94.78
3133.00,94.79
3132.00,94.80
3131.00,94.82
3130.00,94.84
3129.00,94.85
3128.00,94.84
3127.00,94.81
3126.00,94.77
3125.00,94.74
3124.00,94.70
3123.00,94.67
3122.00,94.64
3121.00,94.61
3120.00,94.58
3119.00,94.54
3118.00,94.50
3117.00,94.45
3116.00,94.41
3115.00,94.36
3114.00,94.31
3113.00,94.25
3112.00,94.19
3111.00,94.15
3110.00,94.11
3109.00,94.07
3108.00,94.00
3107.00,93.92
3106.00,93.82
3105.00,93.75
3104.00,93.69
3103.00,93.65
3102.00,93.61
3101.00,93.57
3100.00,93.51
3099.00,93.44
3098.00,93.37
3097.00,93.31
3096.00,93.27
3095.00,93.22
3094.00,93.19
3093.00,93.15
3092.00,93.12
3091.00,93.11
3090.00,93.11
3089.00,93.13
3088.00,93.14
3087.00,93.14
3086.00,93.12
3085.00,93.11
3084.00,93.11
3083.00,93.13
3082.00,93.17
3081.00,93.20
3080.00,93.22
3079.00,93.22
3078.00,93.22
