Created as New Dataset,2 Celanese
cm-1,%T
3335.00,96.72
3334.00,96.69
3333.00,96.65
3332.00,96.63
3331.00,96.62
3330.00,96.64
3329.00,96.67
3328.00,96.68
3327.00,96.68
3326.00,96.67
3325.00,96.66
3324.00,96.65
3323.00,96.67
3322.00,96.69
3321.00,96.71
3320.00,96.72
3319.00,96.71
3318.00,96.71
3317.00,96.71
3316.00,96.73
3315.00,96.74
3314.00,96.74
3313.00,96.73
3312.00,96.72
3311.00,96.71
3310.00,96.71
3309.00,96.71
3308.00,96.70
3307.00,96.69
3306.00,96.68
3305.00,96.68
3304.00,96.69
3303.00,96.72
3302.00,96.74
3301.00,96.76
3300.00,96.76
3299.00,96.75
3298.00,96.72
3297.00,96.71
3296.00,96.70
3295.00,96.70
3294.00,96.70
3293.00,96.70
3292.00,96.70
3291.00,96.69
3290.00,96.69
3289.00,96.68
3288.00,96.68
3287.00,96.70
3286.00,96.72
3285.00,96.74
3284.00,96.73
3283.00,96.71
3282.00,96.68
3281.00,96.65
3280.00,96.64
3279.00,96.64
3278.00,96.65
3277.00,96.65
3276.00,96.65
3275.00,96.65
3274.00,96.66
3273.00,96.68
3272.00,96.70
3271.00,96.72
3270.00,96.72
3269.00,96.72
3268.00,96.72
3267.00,96.73
3266.00,96.73
3265.00,96.73
3264.00,96.72
3263.00,96.70
3262.00,96.69
3261.00,96.68
3260.00,96.67
3259.00,96.68
3258.00,96.68
3257.00,96.68
3256.00,96.69
3255.00,96.71
3254.00,96.72
3253.00,96.71
3252.00,96.71
3251.00,96.69
3250.00,96.69
3249.00,96.68
3248.00,96.69
3247.00,96.70
3246.00,96.71
3245.00,96.70
3244.00,96.68
3243.00,96.66
3242.00,96.65
3241.00,96.64
3240.00,96.65
3239.00,96.67
3238.00,96.68
3237.00,96.69
3236.00,96.67
3235.00,96.65
3234.00,96.65
3233.00,96.67
3232.00,96.69
3231.00,96.71
3230.00,96.73
3229.00,96.73
3228.00,96.71
3227.00,96.70
3226.00,96.69
3225.00,96.70
3224.00,96.71
3223.00,96.71
3222.00,96.69
3221.00,96.68
3220.00,96.68
3219.00,96.69
3218.00,96.70
3217.00,96.72
3216.00,96.73
3215.00,96.75
3214.00,96.76
3213.00,96.76
3212.00,96.75
3211.00,96.75
3210.00,96.74
3209.00,96.73
3208.00,96.72
3207.00,96.71
3206.00,96.71
3205.00,96.72
3204.00,96.72
3203.00,96.72
3202.00,96.71
3201.00,96.70
3200.00,96.69
3199.00,96.69
3198.00,96.70
3197.00,96.71
3196.00,96.73
3195.00,96.75
3194.00,96.77
3193.00,96.79
3192.00,96.80
3191.00,96.78
3190.00,96.75
3189.00,96.74
3188.00,96.75
3187.00,96.78
3186.00,96.80
3185.00,96.81
3184.00,96.79
3183.00,96.77
3182.00,96.75
3181.00,96.76
3180.00,96.78
3179.00,96.79
3178.00,96.79
3177.00,96.77
3176.00,96.74
3175.00,96.73
3174.00,96.74
3173.00,96.75
3172.00,96.75
3171.00,96.75
3170.00,96.75
3169.00,96.75
3168.00,96.75
3167.00,96.75
3166.00,96.75
3165.00,96.75
3164.00,96.74
3163.00,96.72
3162.00,96.70
3161.00,96.69
3160.00,96.69
3159.00,96.69
3158.00,96.70
3157.00,96.70
3156.00,96.71
3155.00,96.72
3154.00,96.73
3153.00,96.73
3152.00,96.73
3151.00,96.73
3150.00,96.74
3149.00,96.76
3148.00,96.77
3147.00,96.78
3146.00,96.78
3145.00,96.77
3144.00,96.76
3143.00,96.76
3142.00,96.76
3141.00,96.76
3140.00,96.75
3139.00,96.74
3138.00,96.74
3137.00,96.75
3136.00,96.76
3135.00,96.76
3134.00,96.75
3133.00,96.75
3132.00,96.76
3131.00,96.78
3130.00,96.80
3129.00,96.81
3128.00,96.81
3127.00,96.80
3126.00,96.81
3125.00,96.81
3124.00,96.82
3123.00,96.83
3122.00,96.83
3121.00,96.83
3120.00,96.81
3119.00,96.79
3118.00,96.76
3117.00,96.75
3116.00,96.75
3115.00,96.76
3114.00,96.76
3113.00,96.76
3112.00,96.76
3111.00,96.76
3110.00,96.76
3109.00,96.77
3108.00,96.78
3107.00,96.78
3106.00,96.78
3105.00,96.78
3104.00,96.78
3103.00,96.79
3102.00,96.80
3101.00,96.81
3100.00,96.81
3099.00,96.81
3098.00,96.80
3097.00,96.80
3096.00,96.79
3095.00,96.77
3094.00,96.77
3093.00,96.77
3092.00,96.78
3091.00,96.78
3090.00,96.79
3089.00,96.78
3088.00,96.77
3087.00,96.76
3086.00,96.76
3085.00,96.75
3084.00,96.75
3083.00,96.74
3082.00,96.73
3081.00,96.75
3080.00,96.79
3079.00,96.82
3078.00,96.83
3077.00,96.82
3076.00,96.79
3075.00,96.77
3074.00,96.75
3073.00,96.75
3072.00,96.75
3071.00,96.75
3070.00,96.75
3069.00,96.76
3068.00,96.76
3067.00,96.76
3066.00,96.75
3065.00,96.74
3064.00,96.74
3063.00,96.74
3062.00,96.75
3061.00,96.76
3060.00,96.76
3059.00,96.77
3058.00,96.77
3057.00,96.77
3056.00,96.77
3055.00,96.77
3054.00,96.78
3053.00,96.79
3052.00,96.80
3051.00,96.80
3050.00,96.79
3049.00,96.77
3048.00,96.74
3047.00,96.72
3046.00,96.70
3045.00,96.69
3044.00,96.70
3043.00,96.72
3042.00,96.73
3041.00,96.74
3040.00,96.73
3039.00,96.71
3038.00,96.69
3037.00,96.67
3036.00,96.67
3035.00,96.66
3034.00,96.66
3033.00,96.65
3032.00,96.65
3031.00,96.65
3030.00,96.65
3029.00,96.63
3028.00,96.61
3027.00,96.59
3026.00,96.57
3025.00,96.57
3024.00,96.56
3023.00,96.56
3022.00,96.56
3021.00,96.56
3020.00,96.57
3019.00,96.58
3018.00,96.59
3017.00,96.59
3016.00,96.58
3015.00,96.56
3014.00,96.53
3013.00,96.52
3012.00,96.53
3011.00,96.54
3010.00,96.54
3009.00,96.52
3008.00,96.50
3007.00,96.49
3006.00,96.47
3005.00,96.47
3004.00,96.48
3003.00,96.48
3002.00,96.48
3001.00,96.46
3000.00,96.43
2999.00,96.42
2998.00,96.41
2997.00,96.41
2996.00,96.42
2995.00,96.42
2994.00,96.42
2993.00,96.41
2992.00,96.39
2991.00,96.37
2990.00,96.35
2989.00,96.34
2988.00,96.34
2987.00,96.34
2986.00,96.34
2985.00,96.34
2984.00,96.34
2983.00,96.33
2982.00,96.32
2981.00,96.30
2980.00,96.27
2979.00,96.25
2978.00,96.23
2977.00,96.21
2976.00,96.19
2975.00,96.16
2974.00,96.14
2973.00,96.12
2972.00,96.10
2971.00,96.06
2970.00,96.01
2969.00,95.96
2968.00,95.90
2967.00,95.86
2966.00,95.82
2965.00,95.78
2964.00,95.75
2963.00,95.71
2962.00,95.68
2961.00,95.66
2960.00,95.65
2959.00,95.66
2958.00,95.67
2957.00,95.68
2956.00,95.68
2955.00,95.67
2954.00,95.65
2953.00,95.63
2952.00,95.60
2951.00,95.59
2950.00,95.58
2949.00,95.58
2948.00,95.60
2947.00,95.62
2946.00,95.62
2945.00,95.59
2944.00,95.55
2943.00,95.52
2942.00,95.49
