Created as New Dataset,12.4 Red Wool Merino sheep and rayon
cm-1,%T
2981.00,95.03
2980.00,95.01
2979.00,94.98
2978.00,94.96
2977.00,94.94
2976.00,94.93
2975.00,94.93
2974.00,94.92
2973.00,94.92
2972.00,94.90
2971.00,94.87
2970.00,94.85
2969.00,94.82
2968.00,94.80
2967.00,94.76
2966.00,94.72
2965.00,94.69
2964.00,94.67
2963.00,94.65
2962.00,94.65
2961.00,94.63
2960.00,94.62
2959.00,94.59
2958.00,94.57
2957.00,94.55
2956.00,94.54
2955.00,94.54
2954.00,94.55
2953.00,94.55
2952.00,94.54
2951.00,94.52
2950.00,94.50
2949.00,94.48
2948.00,94.45
2947.00,94.42
2946.00,94.40
2945.00,94.37
2944.00,94.34
2943.00,94.30
2942.00,94.28
2941.00,94.24
2940.00,94.20
2939.00,94.14
2938.00,94.07
2937.00,94.01
2936.00,93.97
2935.00,93.94
2934.00,93.91
2933.00,93.87
2932.00,93.83
2931.00,93.79
2930.00,93.75
2929.00,93.73
2928.00,93.72
2927.00,93.70
2926.00,93.68
2925.00,93.66
2924.00,93.63
2923.00,93.60
2922.00,93.56
2921.00,93.51
2920.00,93.47
2919.00,93.44
2918.00,93.42
2917.00,93.43
2916.00,93.45
2915.00,93.48
2914.00,93.52
2913.00,93.55
2912.00,93.58
2911.00,93.61
2910.00,93.62
2909.00,93.64
2908.00,93.65
2907.00,93.66
2906.00,93.66
2905.00,93.66
2904.00,93.65
2903.00,93.64
2902.00,93.62
2901.00,93.61
2900.00,93.61
2899.00,93.61
2898.00,93.62
2897.00,93.62
2896.00,93.61
2895.00,93.61
2894.00,93.59
2893.00,93.59
2892.00,93.59
2891.00,93.60
2890.00,93.61
2889.00,93.63
2888.00,93.64
2887.00,93.64
2886.00,93.65
2885.00,93.65
2884.00,93.65
2883.00,93.65
2882.00,93.66
2881.00,93.67
2880.00,93.69
2879.00,93.71
2878.00,93.72
2877.00,93.73
2876.00,93.73
2875.00,93.72
2874.00,93.72
2873.00,93.72
2872.00,93.75
2871.00,93.79
2870.00,93.83
2869.00,93.86
2868.00,93.91
2867.00,93.96
2866.00,94.02
2865.00,94.06
2864.00,94.09
2863.00,94.12
2862.00,94.15
2861.00,94.19
2860.00,94.22
2859.00,94.26
2858.00,94.28
2857.00,94.30
2856.00,94.30
2855.00,94.29
2854.00,94.28
2853.00,94.28
2852.00,94.29
2851.00,94.32
2850.00,94.36
2849.00,94.43
2848.00,94.50
2847.00,94.57
2846.00,94.64
2845.00,94.70
2844.00,94.75
2843.00,94.80
2842.00,94.85
2841.00,94.90
2840.00,94.96
2839.00,95.01
2838.00,95.06
2837.00,95.09
2836.00,95.10
2835.00,95.12
2834.00,95.15
2833.00,95.18
2832.00,95.22
2831.00,95.25
2830.00,95.27
2829.00,95.28
2828.00,95.29
2827.00,95.29
2826.00,95.30
2825.00,95.31
2824.00,95.33
2823.00,95.35
2822.00,95.38
2821.00,95.39
2820.00,95.39
2819.00,95.40
2818.00,95.40
2817.00,95.42
2816.00,95.43
2815.00,95.44
2814.00,95.45
2813.00,95.46
2812.00,95.47
2811.00,95.48
2810.00,95.50
2809.00,95.52
2808.00,95.55
2807.00,95.57
2806.00,95.59
2805.00,95.60
2804.00,95.60
2803.00,95.61
2802.00,95.61
2801.00,95.62
2800.00,95.62
2799.00,95.63
2798.00,95.63
2797.00,95.64
2796.00,95.65
2795.00,95.67
2794.00,95.69
2793.00,95.71
2792.00,95.73
2791.00,95.75
2790.00,95.76
2789.00,95.76
2788.00,95.76
2787.00,95.77
2786.00,95.78
2785.00,95.80
2784.00,95.81
2783.00,95.83
2782.00,95.83
2781.00,95.84
2780.00,95.84
2779.00,95.84
2778.00,95.85
2777.00,95.87
2776.00,95.89
2775.00,95.90
2774.00,95.91
2773.00,95.92
2772.00,95.93
2771.00,95.94
2770.00,95.95
2769.00,95.97
2768.00,95.98
2767.00,96.00
2766.00,96.01
2765.00,96.01
2764.00,96.01
2763.00,96.00
2762.00,96.00
2761.00,96.00
2760.00,96.00
2759.00,96.01
2758.00,96.02
2757.00,96.03
2756.00,96.03
2755.00,96.04
2754.00,96.05
2753.00,96.06
2752.00,96.07
2751.00,96.08
2750.00,96.08
2749.00,96.08
2748.00,96.08
2747.00,96.09
2746.00,96.09
2745.00,96.10
2744.00,96.10
2743.00,96.10
2742.00,96.09
2741.00,96.09
2740.00,96.08
2739.00,96.08
2738.00,96.09
2737.00,96.09
2736.00,96.09
2735.00,96.09
2734.00,96.09
2733.00,96.10
2732.00,96.10
2731.00,96.12
2730.00,96.14
2729.00,96.15
2728.00,96.16
2727.00,96.16
2726.00,96.16
2725.00,96.17
2724.00,96.17
2723.00,96.17
2722.00,96.17
2721.00,96.16
2720.00,96.15
2719.00,96.16
2718.00,96.16
2717.00,96.18
2716.00,96.20
2715.00,96.22
2714.00,96.24
2713.00,96.24
2712.00,96.23
2711.00,96.22
2710.00,96.22
2709.00,96.22
2708.00,96.23
2707.00,96.24
