Created as New Dataset,135 Bayer
cm-1,%T
3236.00,100.97
3235.00,100.98
3234.00,101.00
3233.00,101.02
3232.00,101.04
3231.00,101.06
3230.00,101.06
3229.00,101.06
3228.00,101.04
3227.00,101.03
3226.00,101.03
3225.00,101.03
3224.00,101.03
3223.00,101.02
3222.00,101.01
3221.00,101.00
3220.00,100.99
3219.00,100.97
3218.00,100.96
3217.00,100.97
3216.00,100.98
3215.00,100.99
3214.00,101.00
3213.00,101.01
3212.00,101.03
3211.00,101.04
3210.00,101.04
3209.00,101.03
3208.00,101.03
3207.00,101.04
3206.00,101.04
3205.00,101.04
3204.00,101.02
3203.00,101.00
3202.00,100.99
3201.00,101.00
3200.00,101.01
3199.00,101.02
3198.00,101.03
3197.00,101.03
3196.00,101.03
3195.00,101.04
3194.00,101.06
3193.00,101.08
3192.00,101.08
3191.00,101.07
3190.00,101.05
3189.00,101.03
3188.00,101.03
3187.00,101.03
3186.00,101.03
3185.00,101.01
3184.00,100.99
3183.00,100.96
3182.00,100.95
3181.00,100.96
3180.00,100.98
3179.00,100.98
3178.00,100.98
3177.00,100.97
3176.00,100.97
3175.00,100.98
3174.00,100.99
3173.00,100.99
3172.00,100.99
3171.00,100.98
3170.00,100.97
3169.00,100.97
3168.00,100.97
3167.00,100.98
3166.00,100.97
3165.00,100.96
3164.00,100.95
3163.00,100.96
3162.00,100.96
3161.00,100.96
3160.00,100.96
3159.00,100.95
3158.00,100.96
3157.00,100.97
3156.00,100.99
3155.00,101.00
3154.00,100.99
3153.00,100.97
3152.00,100.96
3151.00,100.95
3150.00,100.96
3149.00,100.97
3148.00,100.97
3147.00,100.95
3146.00,100.94
3145.00,100.95
3144.00,100.96
3143.00,100.97
3142.00,100.99
3141.00,100.99
3140.00,100.99
3139.00,100.98
3138.00,100.97
3137.00,100.96
3136.00,100.94
3135.00,100.93
3134.00,100.94
3133.00,100.95
3132.00,100.96
3131.00,100.94
3130.00,100.91
3129.00,100.87
3128.00,100.85
3127.00,100.85
3126.00,100.87
3125.00,100.89
3124.00,100.91
3123.00,100.91
3122.00,100.91
3121.00,100.90
3120.00,100.90
3119.00,100.92
3118.00,100.93
3117.00,100.92
3116.00,100.91
3115.00,100.90
3114.00,100.90
