Created as New Dataset,Natural Brown fiber
cm-1,%T
2769.00,96.67
2768.00,96.68
2767.00,96.69
2766.00,96.69
2765.00,96.70
2764.00,96.70
2763.00,96.70
2762.00,96.70
2761.00,96.71
2760.00,96.71
2759.00,96.72
2758.00,96.73
2757.00,96.74
2756.00,96.74
2755.00,96.74
2754.00,96.74
2753.00,96.73
2752.00,96.72
2751.00,96.72
2750.00,96.73
2749.00,96.74
2748.00,96.75
2747.00,96.75
2746.00,96.75
2745.00,96.75
2744.00,96.75
2743.00,96.74
2742.00,96.74
2741.00,96.74
2740.00,96.73
2739.00,96.74
2738.00,96.74
2737.00,96.75
2736.00,96.75
2735.00,96.75
2734.00,96.76
2733.00,96.76
2732.00,96.77
2731.00,96.77
2730.00,96.78
2729.00,96.78
2728.00,96.79
2727.00,96.79
2726.00,96.79
2725.00,96.79
2724.00,96.80
2723.00,96.81
2722.00,96.82
2721.00,96.83
2720.00,96.83
2719.00,96.83
2718.00,96.84
2717.00,96.84
2716.00,96.84
2715.00,96.83
2714.00,96.82
2713.00,96.82
2712.00,96.83
2711.00,96.85
2710.00,96.87
2709.00,96.89
2708.00,96.91
2707.00,96.92
2706.00,96.92
2705.00,96.92
2704.00,96.92
2703.00,96.93
2702.00,96.94
2701.00,96.95
2700.00,96.94
2699.00,96.94
2698.00,96.94
2697.00,96.94
2696.00,96.94
2695.00,96.95
2694.00,96.95
2693.00,96.96
2692.00,96.97
2691.00,96.97
2690.00,96.98
2689.00,96.98
2688.00,96.98
2687.00,96.98
2686.00,96.97
2685.00,96.97
2684.00,96.97
2683.00,96.98
2682.00,96.99
2681.00,97.00
2680.00,97.00
2679.00,97.01
2678.00,97.01
2677.00,97.01
2676.00,97.01
2675.00,97.01
2674.00,97.03
2673.00,97.05
2672.00,97.06
2671.00,97.07
2670.00,97.08
2669.00,97.08
2668.00,97.07
2667.00,97.06
2666.00,97.05
2665.00,97.06
2664.00,97.07
2663.00,97.07
2662.00,97.07
2661.00,97.06
2660.00,97.05
2659.00,97.03
2658.00,97.02
2657.00,97.02
2656.00,97.02
2655.00,97.02
2654.00,97.02
2653.00,97.02
2652.00,97.02
2651.00,97.02
2650.00,97.02
2649.00,97.02
2648.00,97.01
2647.00,97.00
2646.00,96.99
2645.00,96.98
2644.00,96.97
2643.00,96.96
2642.00,96.95
2641.00,96.93
2640.00,96.93
2639.00,96.92
2638.00,96.92
2637.00,96.92
2636.00,96.92
2635.00,96.93
2634.00,96.93
2633.00,96.93
2632.00,96.92
2631.00,96.91
2630.00,96.90
2629.00,96.90
2628.00,96.90
2627.00,96.90
2626.00,96.90
2625.00,96.89
2624.00,96.89
2623.00,96.89
2622.00,96.90
2621.00,96.91
2620.00,96.92
2619.00,96.93
2618.00,96.93
2617.00,96.93
2616.00,96.92
2615.00,96.91
2614.00,96.90
2613.00,96.90
2612.00,96.90
2611.00,96.91
2610.00,96.91
2609.00,96.91
2608.00,96.90
2607.00,96.90
2606.00,96.90
2605.00,96.89
2604.00,96.89
2603.00,96.88
2602.00,96.88
2601.00,96.89
2600.00,96.89
2599.00,96.89
2598.00,96.88
2597.00,96.87
2596.00,96.87
2595.00,96.87
2594.00,96.87
2593.00,96.86
2592.00,96.86
2591.00,96.86
2590.00,96.86
2589.00,96.86
2588.00,96.85
2587.00,96.84
2586.00,96.83
2585.00,96.81
2584.00,96.81
2583.00,96.80
2582.00,96.81
2581.00,96.82
2580.00,96.83
2579.00,96.85
2578.00,96.85
2577.00,96.85
2576.00,96.83
2575.00,96.81
2574.00,96.80
2573.00,96.80
2572.00,96.81
2571.00,96.81
2570.00,96.81
2569.00,96.80
2568.00,96.79
2567.00,96.79
2566.00,96.79
2565.00,96.79
2564.00,96.78
2563.00,96.78
2562.00,96.78
2561.00,96.79
2560.00,96.80
2559.00,96.82
2558.00,96.82
2557.00,96.81
2556.00,96.80
2555.00,96.79
2554.00,96.79
2553.00,96.80
2552.00,96.80
2551.00,96.80
2550.00,96.80
2549.00,96.80
2548.00,96.79
2547.00,96.79
2546.00,96.78
2545.00,96.79
2544.00,96.79
2543.00,96.80
2542.00,96.79
2541.00,96.79
2540.00,96.78
2539.00,96.78
2538.00,96.79
2537.00,96.79
2536.00,96.79
2535.00,96.78
2534.00,96.76
2533.00,96.73
2532.00,96.72
2531.00,96.71
2530.00,96.73
2529.00,96.75
2528.00,96.77
2527.00,96.79
2526.00,96.80
2525.00,96.80
2524.00,96.80
2523.00,96.80
2522.00,96.81
2521.00,96.82
2520.00,96.82
2519.00,96.80
2518.00,96.79
2517.00,96.79
2516.00,96.79
2515.00,96.79
2514.00,96.79
2513.00,96.80
2512.00,96.80
2511.00,96.81
2510.00,96.82
2509.00,96.83
2508.00,96.83
2507.00,96.83
2506.00,96.83
2505.00,96.84
2504.00,96.86
2503.00,96.88
2502.00,96.89
2501.00,96.89
2500.00,96.89
2499.00,96.89
2498.00,96.89
2497.00,96.90
2496.00,96.91
2495.00,96.92
2494.00,96.93
2493.00,96.92
