Created as New Dataset,157. Hoechst (Red cloth)
cm-1,%T
2909.00,96.97
2908.00,97.01
2907.00,97.05
2906.00,97.09
2905.00,97.13
2904.00,97.19
2903.00,97.25
2902.00,97.31
2901.00,97.36
2900.00,97.39
2899.00,97.41
2898.00,97.43
2897.00,97.46
2896.00,97.48
2895.00,97.50
2894.00,97.52
2893.00,97.54
2892.00,97.55
2891.00,97.56
2890.00,97.56
2889.00,97.56
2888.00,97.57
2887.00,97.58
2886.00,97.59
2885.00,97.62
2884.00,97.65
2883.00,97.67
2882.00,97.68
2881.00,97.69
2880.00,97.71
2879.00,97.73
2878.00,97.74
2877.00,97.75
2876.00,97.75
2875.00,97.75
2874.00,97.76
2873.00,97.76
2872.00,97.77
2871.00,97.77
2870.00,97.77
2869.00,97.77
2868.00,97.77
2867.00,97.77
2866.00,97.77
2865.00,97.77
2864.00,97.77
2863.00,97.76
2862.00,97.74
2861.00,97.73
2860.00,97.73
2859.00,97.73
2858.00,97.71
2857.00,97.68
2856.00,97.62
2855.00,97.55
2854.00,97.47
2853.00,97.39
2852.00,97.34
2851.00,97.32
2850.00,97.34
2849.00,97.39
2848.00,97.47
2847.00,97.57
2846.00,97.67
2845.00,97.78
2844.00,97.89
2843.00,97.98
2842.00,98.05
2841.00,98.09
2840.00,98.12
2839.00,98.13
2838.00,98.15
2837.00,98.16
2836.00,98.18
2835.00,98.19
2834.00,98.21
2833.00,98.23
2832.00,98.24
2831.00,98.26
2830.00,98.28
2829.00,98.29
2828.00,98.29
2827.00,98.29
2826.00,98.30
2825.00,98.30
2824.00,98.30
2823.00,98.30
2822.00,98.30
2821.00,98.31
2820.00,98.31
2819.00,98.32
2818.00,98.32
2817.00,98.32
2816.00,98.32
2815.00,98.32
2814.00,98.32
2813.00,98.32
2812.00,98.33
2811.00,98.34
2810.00,98.35
2809.00,98.35
2808.00,98.35
2807.00,98.35
2806.00,98.34
2805.00,98.34
2804.00,98.34
2803.00,98.34
2802.00,98.35
2801.00,98.35
2800.00,98.35
2799.00,98.35
2798.00,98.36
2797.00,98.37
2796.00,98.37
2795.00,98.38
2794.00,98.39
2793.00,98.40
2792.00,98.41
2791.00,98.40
2790.00,98.40
2789.00,98.39
2788.00,98.39
2787.00,98.39
2786.00,98.40
2785.00,98.42
2784.00,98.44
2783.00,98.45
2782.00,98.44
2781.00,98.43
2780.00,98.43
2779.00,98.43
2778.00,98.43
2777.00,98.43
2776.00,98.43
2775.00,98.44
2774.00,98.45
2773.00,98.46
2772.00,98.46
2771.00,98.46
2770.00,98.46
2769.00,98.47
2768.00,98.48
2767.00,98.49
2766.00,98.49
2765.00,98.48
2764.00,98.47
2763.00,98.46
2762.00,98.47
2761.00,98.49
2760.00,98.50
2759.00,98.50
2758.00,98.50
2757.00,98.50
2756.00,98.51
2755.00,98.51
2754.00,98.51
2753.00,98.49
2752.00,98.47
2751.00,98.46
2750.00,98.46
2749.00,98.45
2748.00,98.45
2747.00,98.44
2746.00,98.44
2745.00,98.44
2744.00,98.44
2743.00,98.43
2742.00,98.44
2741.00,98.44
2740.00,98.45
2739.00,98.46
2738.00,98.47
2737.00,98.48
2736.00,98.48
2735.00,98.49
2734.00,98.49
2733.00,98.49
2732.00,98.49
2731.00,98.47
2730.00,98.46
2729.00,98.44
2728.00,98.44
2727.00,98.43
2726.00,98.44
2725.00,98.45
2724.00,98.46
2723.00,98.46
2722.00,98.47
2721.00,98.47
2720.00,98.47
2719.00,98.47
2718.00,98.47
2717.00,98.47
2716.00,98.47
2715.00,98.48
2714.00,98.49
2713.00,98.50
2712.00,98.51
2711.00,98.51
2710.00,98.52
2709.00,98.53
2708.00,98.53
2707.00,98.54
2706.00,98.54
2705.00,98.55
2704.00,98.56
2703.00,98.58
2702.00,98.58
2701.00,98.58
2700.00,98.56
2699.00,98.55
2698.00,98.54
2697.00,98.54
2696.00,98.55
2695.00,98.55
2694.00,98.54
2693.00,98.52
2692.00,98.51
2691.00,98.50
2690.00,98.51
2689.00,98.52
2688.00,98.52
2687.00,98.53
2686.00,98.53
2685.00,98.52
2684.00,98.52
2683.00,98.52
2682.00,98.51
2681.00,98.51
2680.00,98.50
2679.00,98.50
2678.00,98.49
2677.00,98.48
2676.00,98.46
2675.00,98.45
2674.00,98.45
2673.00,98.46
2672.00,98.47
2671.00,98.47
2670.00,98.47
2669.00,98.46
2668.00,98.46
2667.00,98.47
2666.00,98.48
2665.00,98.48
2664.00,98.48
2663.00,98.47
2662.00,98.46
2661.00,98.45
2660.00,98.44
2659.00,98.44
2658.00,98.43
2657.00,98.42
2656.00,98.40
2655.00,98.38
2654.00,98.37
2653.00,98.36
2652.00,98.35
2651.00,98.35
2650.00,98.35
2649.00,98.35
