Created as New Dataset,126 Shaw Industries (Green)
cm-1,%T
2894.00,87.84
2893.00,88.09
2892.00,88.25
2891.00,88.35
2890.00,88.39
2889.00,88.37
2888.00,88.31
2887.00,88.23
2886.00,88.12
2885.00,87.98
2884.00,87.81
2883.00,87.60
2882.00,87.35
2881.00,87.09
2880.00,86.83
2879.00,86.60
2878.00,86.43
2877.00,86.36
2876.00,86.36
2875.00,86.41
2874.00,86.45
2873.00,86.43
2872.00,86.33
2871.00,86.15
2870.00,85.93
2869.00,85.72
2868.00,85.60
2867.00,85.66
2866.00,85.97
2865.00,86.55
2864.00,87.40
2863.00,88.44
2862.00,89.57
2861.00,90.66
2860.00,91.64
2859.00,92.44
2858.00,93.06
2857.00,93.52
2856.00,93.82
2855.00,94.00
2854.00,94.07
2853.00,94.03
2852.00,93.91
2851.00,93.72
2850.00,93.44
2849.00,93.07
2848.00,92.60
2847.00,92.03
2846.00,91.37
2845.00,90.64
2844.00,89.85
2843.00,89.05
2842.00,88.29
2841.00,87.63
2840.00,87.13
2839.00,86.86
2838.00,86.87
2837.00,87.19
2836.00,87.81
2835.00,88.68
2834.00,89.72
2833.00,90.84
2832.00,91.94
2831.00,92.94
2830.00,93.82
2829.00,94.56
2828.00,95.16
2827.00,95.63
2826.00,96.01
2825.00,96.31
2824.00,96.57
2823.00,96.81
2822.00,97.02
2821.00,97.21
2820.00,97.36
2819.00,97.49
2818.00,97.62
2817.00,97.73
2816.00,97.83
2815.00,97.92
2814.00,97.99
2813.00,98.06
2812.00,98.13
2811.00,98.19
2810.00,98.25
2809.00,98.31
2808.00,98.38
2807.00,98.46
2806.00,98.55
2805.00,98.64
2804.00,98.72
2803.00,98.79
2802.00,98.85
2801.00,98.91
2800.00,98.96
2799.00,99.00
2798.00,99.04
2797.00,99.07
2796.00,99.10
2795.00,99.14
2794.00,99.18
2793.00,99.23
2792.00,99.27
2791.00,99.31
2790.00,99.34
2789.00,99.37
2788.00,99.40
2787.00,99.44
2786.00,99.48
2785.00,99.53
2784.00,99.57
2783.00,99.60
2782.00,99.63
2781.00,99.65
2780.00,99.66
2779.00,99.66
2778.00,99.66
2777.00,99.67
2776.00,99.70
2775.00,99.74
2774.00,99.78
2773.00,99.80
2772.00,99.80
2771.00,99.81
2770.00,99.82
2769.00,99.84
2768.00,99.86
2767.00,99.88
2766.00,99.89
2765.00,99.90
2764.00,99.90
2763.00,99.89
2762.00,99.89
2761.00,99.90
2760.00,99.90
2759.00,99.90
2758.00,99.90
2757.00,99.91
2756.00,99.91
2755.00,99.92
2754.00,99.92
2753.00,99.93
2752.00,99.93
2751.00,99.93
2750.00,99.93
2749.00,99.92
2748.00,99.91
2747.00,99.92
2746.00,99.92
2745.00,99.92
2744.00,99.91
2743.00,99.89
2742.00,99.87
2741.00,99.86
2740.00,99.84
2739.00,99.82
2738.00,99.79
2737.00,99.76
2736.00,99.74
2735.00,99.72
2734.00,99.72
2733.00,99.72
2732.00,99.69
2731.00,99.65
2730.00,99.61
2729.00,99.57
2728.00,99.54
2727.00,99.50
2726.00,99.45
2725.00,99.40
2724.00,99.37
2723.00,99.36
2722.00,99.37
2721.00,99.41
2720.00,99.45
2719.00,99.51
2718.00,99.56
2717.00,99.61
2716.00,99.65
2715.00,99.69
2714.00,99.72
2713.00,99.75
2712.00,99.78
2711.00,99.80
2710.00,99.83
2709.00,99.84
2708.00,99.85
2707.00,99.87
2706.00,99.89
2705.00,99.91
2704.00,99.92
2703.00,99.94
2702.00,99.96
2701.00,99.98
2700.00,100.00
2699.00,100.02
2698.00,100.03
2697.00,100.03
2696.00,100.03
2695.00,100.04
2694.00,100.05
2693.00,100.04
2692.00,100.02
2691.00,100.01
2690.00,100.01
2689.00,100.01
2688.00,100.01
2687.00,100.01
2686.00,100.01
2685.00,100.00
2684.00,100.00
2683.00,100.00
2682.00,100.00
2681.00,99.99
2680.00,99.98
2679.00,99.97
2678.00,99.97
2677.00,99.98
2676.00,100.00
2675.00,100.01
2674.00,100.02
2673.00,100.03
2672.00,100.03
2671.00,100.03
2670.00,100.01
2669.00,100.01
2668.00,100.01
2667.00,100.02
2666.00,100.03
2665.00,100.03
2664.00,100.02
2663.00,100.00
2662.00,99.99
2661.00,99.98
2660.00,99.97
2659.00,99.96
2658.00,99.94
2657.00,99.93
