Created as New Dataset,Natural Brown Fiber
cm-1,%T
3037.00,94.55
3036.00,94.56
3035.00,94.56
3034.00,94.58
3033.00,94.60
3032.00,94.63
3031.00,94.65
3030.00,94.68
3029.00,94.70
3028.00,94.72
3027.00,94.74
3026.00,94.76
3025.00,94.77
3024.00,94.78
3023.00,94.79
3022.00,94.80
3021.00,94.83
3020.00,94.86
3019.00,94.88
3018.00,94.90
3017.00,94.92
3016.00,94.94
3015.00,94.96
3014.00,94.98
3013.00,94.99
3012.00,95.00
3011.00,95.01
3010.00,95.02
3009.00,95.03
3008.00,95.05
3007.00,95.06
3006.00,95.07
3005.00,95.07
3004.00,95.08
3003.00,95.09
3002.00,95.11
3001.00,95.13
3000.00,95.13
2999.00,95.13
2998.00,95.13
2997.00,95.14
2996.00,95.15
2995.00,95.16
2994.00,95.16
2993.00,95.16
2992.00,95.16
2991.00,95.17
2990.00,95.18
2989.00,95.18
2988.00,95.18
2987.00,95.17
2986.00,95.15
2985.00,95.12
2984.00,95.10
2983.00,95.09
2982.00,95.09
2981.00,95.09
2980.00,95.09
2979.00,95.07
2978.00,95.03
2977.00,94.99
2976.00,94.95
2975.00,94.90
2974.00,94.85
2973.00,94.80
2972.00,94.75
2971.00,94.70
2970.00,94.66
2969.00,94.63
2968.00,94.59
2967.00,94.56
2966.00,94.54
2965.00,94.54
2964.00,94.53
2963.00,94.52
2962.00,94.50
2961.00,94.47
2960.00,94.43
2959.00,94.40
2958.00,94.36
2957.00,94.32
2956.00,94.28
2955.00,94.24
2954.00,94.21
2953.00,94.17
2952.00,94.13
2951.00,94.07
2950.00,94.02
2949.00,93.96
2948.00,93.90
2947.00,93.85
2946.00,93.81
2945.00,93.77
2944.00,93.74
2943.00,93.71
2942.00,93.68
2941.00,93.65
2940.00,93.62
2939.00,93.59
2938.00,93.57
2937.00,93.54
2936.00,93.49
2935.00,93.45
2934.00,93.40
2933.00,93.35
2932.00,93.29
2931.00,93.22
2930.00,93.14
2929.00,93.05
2928.00,92.97
2927.00,92.89
2926.00,92.80
2925.00,92.71
2924.00,92.60
2923.00,92.47
2922.00,92.34
2921.00,92.19
2920.00,92.04
2919.00,91.90
2918.00,91.79
2917.00,91.73
2916.00,91.72
2915.00,91.73
2914.00,91.76
2913.00,91.79
2912.00,91.83
2911.00,91.86
2910.00,91.89
2909.00,91.90
2908.00,91.88
2907.00,91.85
2906.00,91.81
2905.00,91.77
2904.00,91.73
2903.00,91.69
2902.00,91.66
2901.00,91.66
2900.00,91.67
2899.00,91.70
2898.00,91.74
2897.00,91.77
2896.00,91.80
2895.00,91.82
2894.00,91.83
2893.00,91.85
2892.00,91.88
2891.00,91.91
2890.00,91.97
2889.00,92.03
2888.00,92.08
2887.00,92.12
2886.00,92.16
2885.00,92.20
2884.00,92.24
2883.00,92.29
2882.00,92.34
2881.00,92.39
2880.00,92.42
2879.00,92.45
2878.00,92.47
2877.00,92.50
2876.00,92.52
2875.00,92.53
2874.00,92.53
2873.00,92.54
2872.00,92.56
2871.00,92.59
2870.00,92.62
2869.00,92.65
2868.00,92.67
2867.00,92.69
2866.00,92.72
2865.00,92.75
2864.00,92.79
2863.00,92.81
2862.00,92.82
2861.00,92.83
2860.00,92.84
2859.00,92.84
2858.00,92.85
2857.00,92.85
2856.00,92.84
2855.00,92.82
2854.00,92.77
2853.00,92.71
2852.00,92.65
2851.00,92.61
2850.00,92.62
2849.00,92.70
2848.00,92.84
