Created as New Dataset,4.3 Shoemaker's thread
cm-1,%T
2927.00,65.90
2926.00,63.71
2925.00,61.34
2924.00,58.80
2923.00,56.11
2922.00,53.32
2921.00,50.50
2920.00,47.79
2919.00,45.40
2918.00,43.61
2917.00,42.71
2916.00,42.92
2915.00,44.24
2914.00,46.47
2913.00,49.26
2912.00,52.24
2911.00,55.12
2910.00,57.76
2909.00,60.08
2908.00,62.07
2907.00,63.77
2906.00,65.22
2905.00,66.46
2904.00,67.53
2903.00,68.47
2902.00,69.30
2901.00,70.06
2900.00,70.78
2899.00,71.48
2898.00,72.16
2897.00,72.84
2896.00,73.50
2895.00,74.17
2894.00,74.84
2893.00,75.51
2892.00,76.19
2891.00,76.87
2890.00,77.55
2889.00,78.25
2888.00,78.97
2887.00,79.70
2886.00,80.42
2885.00,81.11
2884.00,81.77
2883.00,82.37
2882.00,82.93
2881.00,83.44
2880.00,83.87
2879.00,84.21
2878.00,84.45
2877.00,84.58
2876.00,84.61
2875.00,84.57
2874.00,84.47
2873.00,84.35
2872.00,84.26
2871.00,84.22
2870.00,84.25
2869.00,84.31
2868.00,84.35
2867.00,84.33
2866.00,84.19
2865.00,83.92
2864.00,83.50
2863.00,82.90
2862.00,82.11
2861.00,81.13
2860.00,79.95
2859.00,78.56
2858.00,76.92
2857.00,74.99
2856.00,72.67
2855.00,69.84
2854.00,66.41
2853.00,62.39
2852.00,58.06
2851.00,53.96
2850.00,50.89
2849.00,49.61
2848.00,50.50
2847.00,53.36
2846.00,57.56
2845.00,62.30
2844.00,66.93
2843.00,71.08
2842.00,74.63
2841.00,77.60
2840.00,80.09
2839.00,82.18
2838.00,83.96
2837.00,85.48
2836.00,86.79
2835.00,87.91
2834.00,88.87
2833.00,89.71
2832.00,90.44
2831.00,91.06
2830.00,91.61
2829.00,92.10
2828.00,92.54
2827.00,92.94
2826.00,93.30
2825.00,93.63
2824.00,93.92
2823.00,94.18
2822.00,94.43
2821.00,94.66
2820.00,94.88
2819.00,95.07
2818.00,95.23
2817.00,95.37
2816.00,95.51
2815.00,95.65
2814.00,95.81
2813.00,95.96
2812.00,96.10
2811.00,96.21
2810.00,96.32
2809.00,96.42
2808.00,96.51
2807.00,96.59
2806.00,96.66
2805.00,96.74
2804.00,96.81
2803.00,96.88
2802.00,96.96
2801.00,97.03
2800.00,97.09
2799.00,97.16
2798.00,97.22
2797.00,97.28
2796.00,97.34
2795.00,97.40
2794.00,97.46
2793.00,97.50
2792.00,97.55
2791.00,97.59
2790.00,97.64
2789.00,97.69
2788.00,97.74
2787.00,97.78
2786.00,97.81
2785.00,97.85
2784.00,97.89
2783.00,97.94
2782.00,97.99
2781.00,98.03
2780.00,98.06
2779.00,98.09
2778.00,98.12
2777.00,98.15
2776.00,98.18
2775.00,98.21
2774.00,98.25
2773.00,98.28
2772.00,98.31
2771.00,98.34
2770.00,98.36
2769.00,98.39
2768.00,98.41
2767.00,98.43
2766.00,98.44
2765.00,98.44
2764.00,98.43
2763.00,98.42
2762.00,98.43
2761.00,98.45
2760.00,98.47
2759.00,98.50
2758.00,98.51
2757.00,98.51
2756.00,98.52
2755.00,98.52
2754.00,98.54
2753.00,98.55
2752.00,98.56
2751.00,98.56
2750.00,98.55
2749.00,98.54
2748.00,98.53
