Created as New Dataset,Bio-Couture 100% Lyocell 8/2 (Red)
cm-1,%T
3300.00,80.16
3299.00,80.17
3298.00,80.17
3297.00,80.19
3296.00,80.21
3295.00,80.23
3294.00,80.23
3293.00,80.23
3292.00,80.23
3291.00,80.25
3290.00,80.27
3289.00,80.29
3288.00,80.30
3287.00,80.30
3286.00,80.30
3285.00,80.32
3284.00,80.35
3283.00,80.38
3282.00,80.41
3281.00,80.42
3280.00,80.44
3279.00,80.45
3278.00,80.47
3277.00,80.48
3276.00,80.49
3275.00,80.49
3274.00,80.51
3273.00,80.52
3272.00,80.54
3271.00,80.56
3270.00,80.57
3269.00,80.59
3268.00,80.62
3267.00,80.64
3266.00,80.67
3265.00,80.69
3264.00,80.71
3263.00,80.74
3262.00,80.77
3261.00,80.81
3260.00,80.85
3259.00,80.88
3258.00,80.91
3257.00,80.92
3256.00,80.93
3255.00,80.94
3254.00,80.96
3253.00,80.99
3252.00,81.02
3251.00,81.07
3250.00,81.11
3249.00,81.15
3248.00,81.18
3247.00,81.22
3246.00,81.27
3245.00,81.31
3244.00,81.34
3243.00,81.35
3242.00,81.37
3241.00,81.40
3240.00,81.44
3239.00,81.49
3238.00,81.52
3237.00,81.55
3236.00,81.56
3235.00,81.58
3234.00,81.60
3233.00,81.63
3232.00,81.67
3231.00,81.73
3230.00,81.79
3229.00,81.84
3228.00,81.88
3227.00,81.91
3226.00,81.94
3225.00,81.97
3224.00,82.01
3223.00,82.06
3222.00,82.11
3221.00,82.15
3220.00,82.19
3219.00,82.23
3218.00,82.26
3217.00,82.29
3216.00,82.31
3215.00,82.33
3214.00,82.36
3213.00,82.39
3212.00,82.43
3211.00,82.47
3210.00,82.51
3209.00,82.56
3208.00,82.61
3207.00,82.66
3206.00,82.70
3205.00,82.73
3204.00,82.76
3203.00,82.80
3202.00,82.83
3201.00,82.85
3200.00,82.87
3199.00,82.89
3198.00,82.91
3197.00,82.94
3196.00,82.98
3195.00,83.02
3194.00,83.07
3193.00,83.12
3192.00,83.16
3191.00,83.20
3190.00,83.24
3189.00,83.28
3188.00,83.33
3187.00,83.37
3186.00,83.41
3185.00,83.44
3184.00,83.46
3183.00,83.49
3182.00,83.52
3181.00,83.54
3180.00,83.56
3179.00,83.58
3178.00,83.61
3177.00,83.65
3176.00,83.69
3175.00,83.74
3174.00,83.79
3173.00,83.84
3172.00,83.89
3171.00,83.94
3170.00,83.97
3169.00,84.00
3168.00,84.03
3167.00,84.05
3166.00,84.08
3165.00,84.12
3164.00,84.17
3163.00,84.23
3162.00,84.28
3161.00,84.33
3160.00,84.38
3159.00,84.41
3158.00,84.45
3157.00,84.50
3156.00,84.54
3155.00,84.60
3154.00,84.66
3153.00,84.72
3152.00,84.78
3151.00,84.84
3150.00,84.89
3149.00,84.94
3148.00,84.98
3147.00,85.03
3146.00,85.08
3145.00,85.14
3144.00,85.22
3143.00,85.30
3142.00,85.36
3141.00,85.42
3140.00,85.46
3139.00,85.52
3138.00,85.59
3137.00,85.68
3136.00,85.77
3135.00,85.87
3134.00,85.95
3133.00,86.02
3132.00,86.09
3131.00,86.15
3130.00,86.20
3129.00,86.26
3128.00,86.34
