Created as New Dataset,132. Polyester Albany International
cm-1,%T
2879.00,98.57
2878.00,98.57
2877.00,98.58
2876.00,98.59
2875.00,98.60
2874.00,98.61
2873.00,98.61
2872.00,98.60
2871.00,98.59
2870.00,98.59
2869.00,98.59
2868.00,98.59
2867.00,98.59
2866.00,98.60
2865.00,98.61
2864.00,98.63
2863.00,98.64
2862.00,98.64
2861.00,98.63
2860.00,98.63
2859.00,98.63
2858.00,98.65
2857.00,98.67
2856.00,98.68
2855.00,98.69
2854.00,98.69
2853.00,98.69
2852.00,98.69
2851.00,98.70
2850.00,98.72
2849.00,98.74
2848.00,98.74
2847.00,98.74
2846.00,98.73
2845.00,98.73
2844.00,98.74
2843.00,98.75
2842.00,98.76
2841.00,98.77
2840.00,98.77
2839.00,98.77
2838.00,98.79
2837.00,98.81
2836.00,98.82
2835.00,98.81
2834.00,98.80
2833.00,98.79
2832.00,98.79
2831.00,98.79
2830.00,98.80
2829.00,98.81
2828.00,98.81
2827.00,98.80
2826.00,98.79
2825.00,98.79
2824.00,98.79
2823.00,98.79
2822.00,98.80
2821.00,98.81
2820.00,98.82
2819.00,98.84
2818.00,98.84
2817.00,98.85
2816.00,98.84
2815.00,98.84
2814.00,98.84
2813.00,98.84
2812.00,98.84
2811.00,98.84
2810.00,98.82
2809.00,98.81
2808.00,98.81
2807.00,98.80
2806.00,98.80
2805.00,98.80
2804.00,98.80
2803.00,98.82
2802.00,98.84
2801.00,98.85
2800.00,98.85
2799.00,98.85
2798.00,98.85
2797.00,98.85
2796.00,98.86
2795.00,98.87
2794.00,98.87
2793.00,98.87
2792.00,98.86
2791.00,98.84
2790.00,98.84
2789.00,98.85
2788.00,98.86
2787.00,98.86
2786.00,98.87
2785.00,98.87
2784.00,98.87
2783.00,98.87
2782.00,98.87
2781.00,98.86
2780.00,98.87
2779.00,98.88
2778.00,98.89
2777.00,98.89
2776.00,98.90
2775.00,98.91
2774.00,98.91
2773.00,98.92
2772.00,98.91
2771.00,98.90
2770.00,98.90
2769.00,98.91
2768.00,98.91
2767.00,98.92
2766.00,98.92
2765.00,98.92
2764.00,98.91
2763.00,98.91
2762.00,98.91
2761.00,98.91
2760.00,98.91
2759.00,98.92
2758.00,98.92
2757.00,98.93
2756.00,98.93
2755.00,98.94
2754.00,98.94
2753.00,98.94
2752.00,98.93
2751.00,98.92
2750.00,98.91
2749.00,98.90
2748.00,98.91
2747.00,98.92
2746.00,98.93
2745.00,98.94
2744.00,98.94
2743.00,98.94
2742.00,98.94
2741.00,98.95
2740.00,98.95
2739.00,98.95
2738.00,98.93
2737.00,98.92
2736.00,98.92
2735.00,98.93
2734.00,98.94
2733.00,98.95
2732.00,98.95
2731.00,98.94
2730.00,98.93
2729.00,98.92
2728.00,98.91
2727.00,98.91
2726.00,98.92
2725.00,98.94
2724.00,98.95
2723.00,98.96
2722.00,98.95
2721.00,98.94
2720.00,98.94
2719.00,98.94
2718.00,98.96
2717.00,98.98
2716.00,98.99
2715.00,98.99
2714.00,98.99
2713.00,98.99
2712.00,98.98
2711.00,98.97
2710.00,98.96
2709.00,98.96
2708.00,98.96
2707.00,98.97
2706.00,98.98
2705.00,98.99
2704.00,98.99
2703.00,99.00
2702.00,99.00
2701.00,99.00
2700.00,98.99
2699.00,98.97
2698.00,98.96
2697.00,98.96
2696.00,98.97
2695.00,98.99
2694.00,99.00
2693.00,99.01
2692.00,99.01
2691.00,99.01
2690.00,99.01
2689.00,99.01
2688.00,99.01
2687.00,99.01
2686.00,99.01
2685.00,99.01
2684.00,99.01
2683.00,99.01
2682.00,99.00
2681.00,98.99
2680.00,98.99
2679.00,98.98
2678.00,98.98
2677.00,98.98
2676.00,98.98
2675.00,98.99
2674.00,98.99
2673.00,98.99
2672.00,99.00
2671.00,99.02
2670.00,99.03
2669.00,99.03
2668.00,99.02
2667.00,99.00
2666.00,98.98
2665.00,98.98
2664.00,98.98
2663.00,99.00
2662.00,99.00
2661.00,98.99
2660.00,98.98
2659.00,98.96
2658.00,98.95
2657.00,98.95
2656.00,98.94
2655.00,98.94
2654.00,98.93
2653.00,98.92
2652.00,98.91
2651.00,98.91
2650.00,98.91
2649.00,98.92
2648.00,98.92
2647.00,98.92
2646.00,98.91
2645.00,98.90
2644.00,98.88
2643.00,98.88
2642.00,98.88
2641.00,98.88
2640.00,98.87
2639.00,98.87
2638.00,98.87
2637.00,98.86
2636.00,98.84
2635.00,98.83
2634.00,98.81
2633.00,98.80
2632.00,98.79
2631.00,98.79
2630.00,98.80
2629.00,98.81
2628.00,98.83
2627.00,98.83
2626.00,98.83
2625.00,98.82
2624.00,98.81
2623.00,98.79
2622.00,98.78
2621.00,98.76
2620.00,98.75
2619.00,98.75
2618.00,98.76
2617.00,98.77
2616.00,98.78
2615.00,98.78
2614.00,98.77
2613.00,98.76
2612.00,98.76
2611.00,98.75
2610.00,98.75
2609.00,98.74
2608.00,98.73
2607.00,98.74
2606.00,98.74
2605.00,98.74
2604.00,98.73
2603.00,98.72
2602.00,98.71
2601.00,98.70
2600.00,98.71
2599.00,98.71
2598.00,98.71
2597.00,98.71
2596.00,98.71
2595.00,98.70
2594.00,98.69
2593.00,98.68
2592.00,98.67
2591.00,98.68
2590.00,98.69
2589.00,98.69
2588.00,98.69
2587.00,98.67
2586.00,98.66
2585.00,98.66
2584.00,98.67
2583.00,98.68
2582.00,98.69
2581.00,98.68
2580.00,98.66
2579.00,98.65
2578.00,98.65
2577.00,98.66
2576.00,98.67
2575.00,98.67
2574.00,98.66
2573.00,98.64
2572.00,98.63
2571.00,98.61
2570.00,98.61
2569.00,98.60
2568.00,98.61
2567.00,98.63
2566.00,98.65
2565.00,98.67
2564.00,98.67
2563.00,98.67
2562.00,98.66
2561.00,98.64
2560.00,98.62
2559.00,98.61
2558.00,98.60
2557.00,98.61
2556.00,98.63
2555.00,98.64
2554.00,98.66
2553.00,98.68
2552.00,98.69
2551.00,98.70
2550.00,98.71
2549.00,98.70
2548.00,98.69
2547.00,98.67
2546.00,98.65
2545.00,98.64
2544.00,98.64
2543.00,98.65
2542.00,98.66
2541.00,98.68
2540.00,98.71
2539.00,98.72
2538.00,98.71
2537.00,98.69
2536.00,98.66
2535.00,98.65
2534.00,98.64
2533.00,98.64
2532.00,98.63
2531.00,98.62
2530.00,98.63
2529.00,98.65
2528.00,98.67
2527.00,98.67
2526.00,98.66
2525.00,98.65
2524.00,98.65
2523.00,98.66
2522.00,98.67
2521.00,98.67
2520.00,98.67
2519.00,98.65
2518.00,98.62
2517.00,98.61
2516.00,98.61
2515.00,98.62
2514.00,98.64
2513.00,98.66
2512.00,98.68
2511.00,98.71
2510.00,98.72
2509.00,98.72
2508.00,98.70
2507.00,98.67
2506.00,98.65
2505.00,98.63
2504.00,98.63
2503.00,98.63
2502.00,98.64
2501.00,98.65
2500.00,98.68
2499.00,98.72
2498.00,98.75
2497.00,98.76
2496.00,98.76
2495.00,98.74
2494.00,98.71
2493.00,98.69
2492.00,98.67
2491.00,98.67
2490.00,98.68
2489.00,98.71
2488.00,98.73
2487.00,98.75
2486.00,98.75
2485.00,98.74
2484.00,98.74
2483.00,98.75
2482.00,98.77
2481.00,98.77
2480.00,98.75
2479.00,98.73
2478.00,98.72
2477.00,98.72
2476.00,98.74
2475.00,98.74
2474.00,98.73
2473.00,98.72
2472.00,98.72
2471.00,98.74
2470.00,98.76
2469.00,98.78
2468.00,98.78
2467.00,98.77
2466.00,98.76
2465.00,98.77
2464.00,98.77
2463.00,98.77
2462.00,98.78
2461.00,98.79
2460.00,98.80
2459.00,98.79
2458.00,98.77
