Created as New Dataset,4 FMC American Viscose
cm-1,%T
3325.00,94.96
3324.00,94.97
3323.00,94.99
3322.00,95.02
3321.00,95.04
3320.00,95.04
3319.00,95.03
3318.00,95.02
3317.00,95.03
3316.00,95.05
3315.00,95.07
3314.00,95.08
3313.00,95.08
3312.00,95.08
3311.00,95.09
3310.00,95.10
3309.00,95.11
3308.00,95.09
3307.00,95.07
3306.00,95.05
3305.00,95.05
3304.00,95.07
3303.00,95.10
3302.00,95.12
3301.00,95.12
3300.00,95.12
3299.00,95.11
3298.00,95.11
3297.00,95.11
3296.00,95.11
3295.00,95.10
3294.00,95.09
3293.00,95.09
3292.00,95.10
3291.00,95.11
3290.00,95.12
3289.00,95.13
3288.00,95.15
3287.00,95.16
3286.00,95.17
3285.00,95.18
3284.00,95.20
3283.00,95.20
3282.00,95.20
3281.00,95.20
3280.00,95.19
3279.00,95.19
3278.00,95.19
3277.00,95.19
3276.00,95.18
3275.00,95.18
3274.00,95.18
3273.00,95.20
3272.00,95.22
3271.00,95.25
3270.00,95.27
3269.00,95.28
3268.00,95.28
3267.00,95.26
3266.00,95.26
3265.00,95.26
3264.00,95.27
3263.00,95.29
3262.00,95.30
3261.00,95.31
3260.00,95.31
3259.00,95.31
3258.00,95.30
3257.00,95.30
3256.00,95.30
3255.00,95.30
3254.00,95.31
3253.00,95.32
3252.00,95.32
3251.00,95.33
3250.00,95.33
3249.00,95.33
3248.00,95.34
3247.00,95.34
3246.00,95.34
3245.00,95.33
3244.00,95.31
3243.00,95.31
3242.00,95.31
3241.00,95.33
3240.00,95.34
3239.00,95.36
3238.00,95.37
3237.00,95.36
3236.00,95.35
3235.00,95.34
3234.00,95.34
3233.00,95.35
3232.00,95.37
3231.00,95.38
3230.00,95.39
3229.00,95.39
3228.00,95.38
3227.00,95.38
3226.00,95.38
3225.00,95.39
3224.00,95.40
3223.00,95.41
3222.00,95.41
3221.00,95.41
3220.00,95.42
3219.00,95.43
3218.00,95.43
3217.00,95.43
3216.00,95.43
3215.00,95.44
3214.00,95.46
3213.00,95.46
3212.00,95.46
3211.00,95.45
3210.00,95.44
3209.00,95.44
3208.00,95.45
3207.00,95.46
3206.00,95.48
3205.00,95.49
3204.00,95.50
3203.00,95.50
3202.00,95.50
3201.00,95.51
3200.00,95.53
3199.00,95.54
3198.00,95.55
3197.00,95.55
3196.00,95.55
3195.00,95.55
3194.00,95.56
3193.00,95.58
3192.00,95.58
3191.00,95.58
3190.00,95.57
3189.00,95.56
3188.00,95.56
3187.00,95.57
3186.00,95.59
3185.00,95.59
3184.00,95.59
3183.00,95.59
3182.00,95.61
3181.00,95.63
3180.00,95.64
3179.00,95.65
3178.00,95.64
3177.00,95.62
3176.00,95.61
3175.00,95.61
3174.00,95.61
3173.00,95.62
3172.00,95.61
3171.00,95.60
3170.00,95.60
3169.00,95.61
3168.00,95.63
3167.00,95.64
3166.00,95.66
3165.00,95.67
3164.00,95.67
3163.00,95.67
3162.00,95.66
3161.00,95.65
3160.00,95.64
3159.00,95.64
3158.00,95.65
3157.00,95.66
3156.00,95.67
3155.00,95.68
3154.00,95.68
3153.00,95.69
3152.00,95.69
3151.00,95.68
3150.00,95.68
3149.00,95.69
3148.00,95.72
3147.00,95.75
3146.00,95.77
3145.00,95.78
3144.00,95.77
3143.00,95.76
3142.00,95.75
3141.00,95.73
3140.00,95.72
3139.00,95.72
3138.00,95.72
3137.00,95.73
3136.00,95.74
3135.00,95.75
3134.00,95.75
3133.00,95.75
3132.00,95.75
3131.00,95.75
3130.00,95.76
3129.00,95.78
3128.00,95.80
3127.00,95.81
3126.00,95.83
3125.00,95.84
3124.00,95.83
3123.00,95.83
3122.00,95.82
3121.00,95.81
3120.00,95.80
3119.00,95.79
3118.00,95.77
3117.00,95.77
3116.00,95.78
3115.00,95.79
3114.00,95.81
3113.00,95.82
3112.00,95.83
3111.00,95.82
3110.00,95.82
3109.00,95.81
3108.00,95.81
3107.00,95.82
3106.00,95.82
3105.00,95.83
3104.00,95.83
3103.00,95.83
3102.00,95.83
3101.00,95.83
3100.00,95.83
3099.00,95.82
3098.00,95.82
3097.00,95.82
3096.00,95.82
3095.00,95.83
3094.00,95.83
3093.00,95.84
3092.00,95.84
3091.00,95.83
3090.00,95.83
3089.00,95.82
3088.00,95.82
3087.00,95.81
3086.00,95.82
3085.00,95.83
3084.00,95.83
3083.00,95.83
3082.00,95.83
3081.00,95.83
3080.00,95.85
3079.00,95.86
3078.00,95.87
3077.00,95.86
3076.00,95.84
3075.00,95.83
3074.00,95.84
3073.00,95.84
3072.00,95.85
3071.00,95.85
3070.00,95.84
3069.00,95.83
3068.00,95.83
3067.00,95.83
3066.00,95.84
3065.00,95.84
3064.00,95.84
3063.00,95.84
3062.00,95.84
3061.00,95.83
3060.00,95.84
3059.00,95.84
3058.00,95.84
3057.00,95.84
3056.00,95.83
3055.00,95.82
3054.00,95.82
3053.00,95.82
3052.00,95.82
3051.00,95.82
3050.00,95.82
3049.00,95.82
3048.00,95.81
3047.00,95.80
3046.00,95.78
3045.00,95.77
3044.00,95.77
3043.00,95.77
3042.00,95.77
3041.00,95.78
3040.00,95.77
3039.00,95.76
3038.00,95.75
3037.00,95.75
3036.00,95.76
3035.00,95.76
3034.00,95.74
3033.00,95.73
3032.00,95.71
3031.00,95.69
3030.00,95.67
3029.00,95.66
3028.00,95.65
3027.00,95.65
3026.00,95.64
3025.00,95.63
3024.00,95.63
3023.00,95.62
3022.00,95.61
3021.00,95.59
3020.00,95.58
3019.00,95.58
3018.00,95.58
3017.00,95.57
3016.00,95.56
3015.00,95.55
3014.00,95.54
3013.00,95.54
3012.00,95.55
3011.00,95.56
3010.00,95.56
3009.00,95.56
3008.00,95.55
3007.00,95.54
3006.00,95.52
3005.00,95.51
3004.00,95.49
3003.00,95.48
3002.00,95.46
3001.00,95.44
3000.00,95.42
2999.00,95.40
2998.00,95.38
2997.00,95.36
2996.00,95.35
2995.00,95.35
2994.00,95.34
2993.00,95.33
2992.00,95.31
2991.00,95.29
2990.00,95.27
2989.00,95.25
2988.00,95.25
2987.00,95.25
2986.00,95.26
2985.00,95.27
2984.00,95.27
2983.00,95.25
2982.00,95.22
2981.00,95.19
2980.00,95.16
2979.00,95.13
2978.00,95.10
2977.00,95.07
2976.00,95.04
2975.00,95.01
2974.00,94.98
2973.00,94.93
2972.00,94.89
2971.00,94.84
2970.00,94.79
2969.00,94.72
2968.00,94.66
2967.00,94.60
2966.00,94.54
2965.00,94.50
2964.00,94.46
2963.00,94.42
2962.00,94.39
2961.00,94.36
2960.00,94.33
2959.00,94.31
2958.00,94.30
2957.00,94.29
2956.00,94.27
2955.00,94.25
2954.00,94.22
2953.00,94.18
2952.00,94.14
2951.00,94.10
2950.00,94.07
2949.00,94.04
2948.00,94.03
2947.00,94.03
2946.00,94.02
2945.00,93.98
2944.00,93.94
2943.00,93.89
2942.00,93.86
2941.00,93.85
2940.00,93.86
2939.00,93.87
2938.00,93.88
2937.00,93.87
2936.00,93.86
2935.00,93.85
2934.00,93.84
2933.00,93.86
2932.00,93.89
2931.00,93.92
2930.00,93.94
2929.00,93.97
2928.00,93.99
2927.00,94.01
2926.00,94.03
2925.00,94.05
2924.00,94.07
2923.00,94.10
2922.00,94.14
2921.00,94.18
2920.00,94.21
2919.00,94.23
2918.00,94.25
2917.00,94.27
2916.00,94.31
2915.00,94.35
2914.00,94.37
2913.00,94.38
2912.00,94.38
2911.00,94.37
2910.00,94.37
2909.00,94.37
2908.00,94.38
2907.00,94.39
2906.00,94.39
2905.00,94.39
2904.00,94.39
2903.00,94.40
2902.00,94.41
2901.00,94.42
2900.00,94.42
2899.00,94.41
2898.00,94.40
2897.00,94.39
2896.00,94.39
2895.00,94.39
2894.00,94.39
2893.00,94.38
2892.00,94.39
2891.00,94.39
2890.00,94.40
2889.00,94.40
2888.00,94.40
2887.00,94.40
2886.00,94.40
