Created as New Dataset,6. Acrylic Asahi Chemical Co
cm-1,%T
3108.00,99.03
3107.00,99.03
3106.00,99.01
3105.00,98.99
3104.00,98.97
3103.00,98.96
3102.00,98.97
3101.00,98.99
3100.00,99.00
3099.00,99.01
3098.00,99.01
3097.00,99.01
3096.00,98.99
3095.00,98.97
3094.00,98.95
3093.00,98.94
3092.00,98.94
3091.00,98.94
3090.00,98.94
3089.00,98.96
3088.00,98.98
3087.00,98.99
3086.00,98.99
3085.00,98.97
3084.00,98.94
3083.00,98.92
3082.00,98.89
3081.00,98.87
3080.00,98.86
3079.00,98.86
3078.00,98.87
3077.00,98.88
3076.00,98.89
3075.00,98.90
3074.00,98.90
3073.00,98.91
3072.00,98.92
3071.00,98.92
3070.00,98.91
3069.00,98.89
3068.00,98.88
3067.00,98.88
3066.00,98.88
3065.00,98.88
3064.00,98.89
3063.00,98.89
3062.00,98.89
3061.00,98.88
3060.00,98.88
3059.00,98.87
3058.00,98.87
3057.00,98.88
3056.00,98.89
3055.00,98.90
3054.00,98.91
3053.00,98.91
3052.00,98.89
3051.00,98.88
3050.00,98.86
3049.00,98.86
3048.00,98.86
3047.00,98.87
3046.00,98.88
3045.00,98.88
3044.00,98.88
3043.00,98.87
3042.00,98.87
3041.00,98.88
3040.00,98.89
3039.00,98.88
3038.00,98.87
3037.00,98.86
3036.00,98.85
3035.00,98.85
3034.00,98.84
3033.00,98.83
3032.00,98.82
3031.00,98.80
3030.00,98.79
3029.00,98.78
3028.00,98.76
3027.00,98.76
3026.00,98.78
3025.00,98.79
3024.00,98.81
3023.00,98.81
3022.00,98.80
3021.00,98.79
3020.00,98.76
3019.00,98.75
3018.00,98.74
3017.00,98.74
3016.00,98.74
3015.00,98.74
3014.00,98.74
3013.00,98.73
3012.00,98.72
3011.00,98.71
3010.00,98.68
3009.00,98.66
3008.00,98.65
3007.00,98.66
3006.00,98.67
3005.00,98.68
3004.00,98.68
3003.00,98.66
3002.00,98.65
3001.00,98.63
3000.00,98.61
2999.00,98.60
2998.00,98.59
2997.00,98.59
2996.00,98.58
2995.00,98.57
2994.00,98.56
2993.00,98.55
2992.00,98.55
2991.00,98.54
2990.00,98.53
2989.00,98.51
2988.00,98.50
2987.00,98.49
2986.00,98.47
2985.00,98.46
2984.00,98.45
2983.00,98.43
2982.00,98.42
2981.00,98.41
2980.00,98.40
2979.00,98.39
2978.00,98.39
2977.00,98.39
2976.00,98.39
2975.00,98.38
2974.00,98.37
2973.00,98.35
2972.00,98.33
2971.00,98.31
2970.00,98.29
2969.00,98.28
2968.00,98.27
2967.00,98.25
2966.00,98.22
2965.00,98.17
2964.00,98.12
2963.00,98.07
2962.00,98.04
2961.00,98.01
2960.00,97.98
2959.00,97.94
2958.00,97.90
2957.00,97.85
2956.00,97.82
2955.00,97.79
2954.00,97.77
2953.00,97.74
2952.00,97.71
2951.00,97.69
2950.00,97.66
2949.00,97.64
2948.00,97.60
2947.00,97.56
2946.00,97.53
2945.00,97.49
2944.00,97.45
2943.00,97.40
2942.00,97.35
2941.00,97.32
2940.00,97.30
2939.00,97.29
2938.00,97.28
2937.00,97.27
2936.00,97.25
2935.00,97.24
2934.00,97.24
2933.00,97.24
2932.00,97.24
2931.00,97.23
2930.00,97.21
2929.00,97.20
2928.00,97.19
2927.00,97.18
2926.00,97.17
2925.00,97.15
2924.00,97.14
2923.00,97.14
2922.00,97.14
2921.00,97.14
2920.00,97.15
2919.00,97.17
2918.00,97.21
2917.00,97.27
2916.00,97.34
2915.00,97.41
2914.00,97.48
2913.00,97.55
2912.00,97.63
2911.00,97.71
2910.00,97.79
2909.00,97.85
2908.00,97.91
2907.00,97.96
2906.00,98.02
2905.00,98.08
2904.00,98.12
2903.00,98.13
2902.00,98.14
2901.00,98.14
2900.00,98.16
2899.00,98.19
2898.00,98.22
2897.00,98.25
2896.00,98.26
2895.00,98.27
2894.00,98.29
2893.00,98.31
2892.00,98.33
2891.00,98.35
2890.00,98.37
2889.00,98.39
2888.00,98.40
2887.00,98.41
2886.00,98.42
2885.00,98.43
2884.00,98.43
2883.00,98.43
2882.00,98.42
2881.00,98.42
2880.00,98.41
2879.00,98.39
2878.00,98.37
2877.00,98.36
2876.00,98.34
2875.00,98.33
2874.00,98.33
2873.00,98.33
2872.00,98.34
2871.00,98.35
2870.00,98.36
2869.00,98.37
2868.00,98.38
2867.00,98.40
2866.00,98.41
2865.00,98.42
2864.00,98.42
2863.00,98.42
2862.00,98.42
2861.00,98.41
2860.00,98.41
2859.00,98.41
2858.00,98.41
2857.00,98.41
2856.00,98.40
2855.00,98.39
2854.00,98.37
2853.00,98.35
2852.00,98.33
2851.00,98.33
2850.00,98.34
2849.00,98.36
2848.00,98.41
2847.00,98.45
2846.00,98.50
2845.00,98.55
2844.00,98.59
2843.00,98.63
2842.00,98.66
2841.00,98.68
2840.00,98.70
2839.00,98.72
2838.00,98.73
2837.00,98.74
2836.00,98.76
2835.00,98.77
2834.00,98.79
2833.00,98.81
2832.00,98.81
2831.00,98.81
2830.00,98.79
2829.00,98.77
2828.00,98.76
2827.00,98.77
2826.00,98.78
2825.00,98.78
2824.00,98.77
2823.00,98.76
2822.00,98.76
2821.00,98.77
2820.00,98.78
2819.00,98.80
2818.00,98.80
2817.00,98.79
2816.00,98.77
2815.00,98.77
2814.00,98.77
2813.00,98.77
2812.00,98.78
2811.00,98.79
2810.00,98.79
2809.00,98.80
2808.00,98.79
2807.00,98.79
2806.00,98.79
2805.00,98.79
2804.00,98.80
2803.00,98.80
2802.00,98.81
2801.00,98.81
2800.00,98.81
2799.00,98.80
2798.00,98.79
2797.00,98.78
2796.00,98.76
2795.00,98.76
2794.00,98.77
2793.00,98.79
2792.00,98.81
2791.00,98.81
2790.00,98.80
2789.00,98.79
2788.00,98.78
2787.00,98.78
2786.00,98.79
2785.00,98.81
2784.00,98.82
2783.00,98.83
2782.00,98.84
2781.00,98.84
2780.00,98.85
2779.00,98.85
2778.00,98.85
2777.00,98.85
2776.00,98.84
2775.00,98.83
2774.00,98.83
2773.00,98.84
2772.00,98.85
2771.00,98.85
2770.00,98.84
2769.00,98.82
2768.00,98.81
2767.00,98.82
2766.00,98.83
2765.00,98.84
2764.00,98.84
2763.00,98.83
2762.00,98.81
2761.00,98.81
2760.00,98.81
2759.00,98.81
2758.00,98.80
2757.00,98.80
2756.00,98.81
2755.00,98.82
2754.00,98.83
2753.00,98.84
2752.00,98.83
2751.00,98.82
2750.00,98.79
2749.00,98.78
2748.00,98.78
2747.00,98.79
2746.00,98.80
2745.00,98.80
2744.00,98.79
2743.00,98.78
2742.00,98.77
2741.00,98.78
2740.00,98.79
2739.00,98.80
2738.00,98.80
2737.00,98.80
2736.00,98.80
2735.00,98.81
2734.00,98.81
2733.00,98.81
2732.00,98.81
2731.00,98.80
2730.00,98.80
2729.00,98.79
2728.00,98.80
2727.00,98.81
2726.00,98.82
2725.00,98.82
2724.00,98.82
2723.00,98.82
2722.00,98.81
2721.00,98.81
2720.00,98.80
2719.00,98.80
2718.00,98.80
2717.00,98.81
2716.00,98.83
2715.00,98.84
2714.00,98.83
2713.00,98.82
2712.00,98.80
2711.00,98.80
2710.00,98.80
2709.00,98.80
2708.00,98.80
2707.00,98.80
2706.00,98.80
2705.00,98.80
2704.00,98.80
2703.00,98.80
2702.00,98.81
2701.00,98.81
2700.00,98.81
2699.00,98.81
2698.00,98.80
2697.00,98.79
2696.00,98.78
2695.00,98.78
2694.00,98.78
2693.00,98.77
2692.00,98.77
2691.00,98.76
2690.00,98.76
2689.00,98.76
2688.00,98.77
2687.00,98.78
2686.00,98.78
2685.00,98.78
2684.00,98.78
2683.00,98.77
2682.00,98.77
2681.00,98.77
2680.00,98.78
2679.00,98.79
2678.00,98.81
2677.00,98.81
2676.00,98.81
2675.00,98.81
2674.00,98.79
2673.00,98.78
2672.00,98.77
2671.00,98.77
2670.00,98.78
2669.00,98.79
2668.00,98.79
2667.00,98.78
2666.00,98.78
2665.00,98.78
2664.00,98.77
2663.00,98.76
2662.00,98.74
2661.00,98.72
2660.00,98.70
2659.00,98.68
2658.00,98.67
2657.00,98.65
2656.00,98.64
2655.00,98.64
2654.00,98.64
2653.00,98.64
2652.00,98.64
2651.00,98.64
2650.00,98.64
2649.00,98.65
2648.00,98.65
2647.00,98.63
2646.00,98.62
2645.00,98.61
2644.00,98.60
2643.00,98.60
2642.00,98.59
2641.00,98.57
2640.00,98.55
2639.00,98.55
2638.00,98.56
2637.00,98.58
2636.00,98.60
2635.00,98.61
2634.00,98.61
2633.00,98.59
2632.00,98.57
2631.00,98.54
2630.00,98.52
2629.00,98.51
2628.00,98.51
2627.00,98.52
2626.00,98.52
2625.00,98.51
2624.00,98.50
2623.00,98.50
2622.00,98.51
2621.00,98.51
2620.00,98.51
2619.00,98.49
2618.00,98.47
2617.00,98.46
2616.00,98.47
2615.00,98.49
2614.00,98.51
2613.00,98.50
2612.00,98.49
2611.00,98.49
2610.00,98.49
2609.00,98.49
2608.00,98.48
2607.00,98.47
2606.00,98.46
2605.00,98.45
2604.00,98.44
2603.00,98.44
2602.00,98.44
2601.00,98.44
2600.00,98.44
2599.00,98.42
2598.00,98.41
2597.00,98.40
2596.00,98.40
2595.00,98.40
2594.00,98.41
2593.00,98.41
2592.00,98.40
2591.00,98.40
2590.00,98.40
2589.00,98.39
2588.00,98.38
2587.00,98.36
2586.00,98.34
2585.00,98.33
2584.00,98.33
2583.00,98.33
2582.00,98.34
2581.00,98.34
2580.00,98.35
2579.00,98.35
2578.00,98.33
2577.00,98.33
2576.00,98.33
2575.00,98.35
2574.00,98.37
2573.00,98.38
2572.00,98.38
2571.00,98.37
2570.00,98.36
2569.00,98.35
2568.00,98.35
2567.00,98.34
2566.00,98.32
2565.00,98.31
2564.00,98.31
2563.00,98.32
2562.00,98.32
2561.00,98.31
2560.00,98.28
2559.00,98.26
2558.00,98.24
2557.00,98.25
2556.00,98.27
2555.00,98.29
2554.00,98.30
2553.00,98.31
2552.00,98.31
2551.00,98.30
2550.00,98.29
2549.00,98.28
2548.00,98.28
2547.00,98.29
2546.00,98.30
2545.00,98.30
2544.00,98.30
2543.00,98.29
2542.00,98.27
2541.00,98.25
2540.00,98.23
2539.00,98.24
2538.00,98.26
2537.00,98.26
2536.00,98.25
2535.00,98.24
2534.00,98.22
2533.00,98.22
2532.00,98.22
2531.00,98.24
2530.00,98.26
2529.00,98.27
2528.00,98.26
2527.00,98.24
2526.00,98.22
2525.00,98.21
2524.00,98.22
2523.00,98.23
2522.00,98.25
2521.00,98.26
2520.00,98.28
2519.00,98.30
2518.00,98.32
2517.00,98.33
2516.00,98.33
2515.00,98.32
2514.00,98.32
2513.00,98.31
2512.00,98.29
2511.00,98.27
2510.00,98.26
2509.00,98.27
2508.00,98.29
2507.00,98.29
2506.00,98.29
2505.00,98.29
2504.00,98.29
2503.00,98.29
2502.00,98.28
2501.00,98.27
2500.00,98.25
2499.00,98.24
2498.00,98.22
2497.00,98.21
2496.00,98.20
2495.00,98.21
2494.00,98.23
2493.00,98.27
2492.00,98.31
2491.00,98.32
2490.00,98.33
2489.00,98.32
2488.00,98.31
2487.00,98.30
2486.00,98.29
2485.00,98.29
2484.00,98.28
2483.00,98.28
2482.00,98.28
2481.00,98.28
2480.00,98.28
2479.00,98.28
2478.00,98.28
2477.00,98.27
2476.00,98.26
2475.00,98.24
2474.00,98.24
2473.00,98.25
2472.00,98.26
2471.00,98.28
2470.00,98.28
2469.00,98.26
2468.00,98.24
2467.00,98.24
2466.00,98.25
2465.00,98.27
2464.00,98.28
2463.00,98.28
2462.00,98.27
