Created as New Dataset,16.4 Dyed (red colour)
cm-1,%T
3394.00,94.76
3393.00,94.76
3392.00,94.76
3391.00,94.76
3390.00,94.75
3389.00,94.74
3388.00,94.71
3387.00,94.69
3386.00,94.67
3385.00,94.66
3384.00,94.64
3383.00,94.62
3382.00,94.59
3381.00,94.55
3380.00,94.52
3379.00,94.48
3378.00,94.46
3377.00,94.43
3376.00,94.41
3375.00,94.39
3374.00,94.38
3373.00,94.37
3372.00,94.37
3371.00,94.37
3370.00,94.36
3369.00,94.34
3368.00,94.30
3367.00,94.25
3366.00,94.21
3365.00,94.17
3364.00,94.15
3363.00,94.15
3362.00,94.14
3361.00,94.13
3360.00,94.09
3359.00,94.04
3358.00,93.99
3357.00,93.95
3356.00,93.91
3355.00,93.87
3354.00,93.82
3353.00,93.76
3352.00,93.70
3351.00,93.65
3350.00,93.62
3349.00,93.58
3348.00,93.55
3347.00,93.50
3346.00,93.45
3345.00,93.39
3344.00,93.35
3343.00,93.31
3342.00,93.28
3341.00,93.23
3340.00,93.17
3339.00,93.10
3338.00,93.02
3337.00,92.96
3336.00,92.89
3335.00,92.83
3334.00,92.77
3333.00,92.71
3332.00,92.64
3331.00,92.56
3330.00,92.46
3329.00,92.36
3328.00,92.27
3327.00,92.18
3326.00,92.11
3325.00,92.04
3324.00,91.97
3323.00,91.89
3322.00,91.79
3321.00,91.70
3320.00,91.61
3319.00,91.51
3318.00,91.40
3317.00,91.28
3316.00,91.17
3315.00,91.07
3314.00,90.97
3313.00,90.88
3312.00,90.78
3311.00,90.68
3310.00,90.56
3309.00,90.44
3308.00,90.31
3307.00,90.19
3306.00,90.08
3305.00,90.00
3304.00,89.92
3303.00,89.83
3302.00,89.73
3301.00,89.61
3300.00,89.49
3299.00,89.38
3298.00,89.28
3297.00,89.19
3296.00,89.09
3295.00,88.98
3294.00,88.87
3293.00,88.77
3292.00,88.68
3291.00,88.61
3290.00,88.54
3289.00,88.46
3288.00,88.38
3287.00,88.32
3286.00,88.29
3285.00,88.28
3284.00,88.26
3283.00,88.23
3282.00,88.19
3281.00,88.16
3280.00,88.14
3279.00,88.13
3278.00,88.13
3277.00,88.14
3276.00,88.16
3275.00,88.19
3274.00,88.25
3273.00,88.31
3272.00,88.38
3271.00,88.44
3270.00,88.51
3269.00,88.58
3268.00,88.65
3267.00,88.72
3266.00,88.79
3265.00,88.86
3264.00,88.94
3263.00,89.03
3262.00,89.12
3261.00,89.21
3260.00,89.29
3259.00,89.38
3258.00,89.46
3257.00,89.53
3256.00,89.60
3255.00,89.68
3254.00,89.76
3253.00,89.85
3252.00,89.92
3251.00,89.99
3250.00,90.05
3249.00,90.12
3248.00,90.20
3247.00,90.28
3246.00,90.37
3245.00,90.45
3244.00,90.52
3243.00,90.58
3242.00,90.63
3241.00,90.69
3240.00,90.75
3239.00,90.81
3238.00,90.86
3237.00,90.92
3236.00,90.98
3235.00,91.05
3234.00,91.12
3233.00,91.17
3232.00,91.22
3231.00,91.26
3230.00,91.30
3229.00,91.35
3228.00,91.39
3227.00,91.45
3226.00,91.51
3225.00,91.56
3224.00,91.60
3223.00,91.65
3222.00,91.71
3221.00,91.78
3220.00,91.84
3219.00,91.88
3218.00,91.92
3217.00,91.96
3216.00,92.00
3215.00,92.05
3214.00,92.09
3213.00,92.12
3212.00,92.16
3211.00,92.19
3210.00,92.23
3209.00,92.27
3208.00,92.30
3207.00,92.33
3206.00,92.37
3205.00,92.40
3204.00,92.45
3203.00,92.50
3202.00,92.54
3201.00,92.59
3200.00,92.63
3199.00,92.68
3198.00,92.73
3197.00,92.78
3196.00,92.82
3195.00,92.87
3194.00,92.92
3193.00,92.97
3192.00,93.02
3191.00,93.06
3190.00,93.09
3189.00,93.11
3188.00,93.14
3187.00,93.17
3186.00,93.21
3185.00,93.27
3184.00,93.33
3183.00,93.38
3182.00,93.43
3181.00,93.47
3180.00,93.49
3179.00,93.51
3178.00,93.54
3177.00,93.56
3176.00,93.59
3175.00,93.64
3174.00,93.69
3173.00,93.74
3172.00,93.79
3171.00,93.82
3170.00,93.84
3169.00,93.85
3168.00,93.87
3167.00,93.89
3166.00,93.94
3165.00,94.00
3164.00,94.05
3163.00,94.09
3162.00,94.12
3161.00,94.16
3160.00,94.19
3159.00,94.21
3158.00,94.23
3157.00,94.23
3156.00,94.25
3155.00,94.27
3154.00,94.30
3153.00,94.33
3152.00,94.37
3151.00,94.41
3150.00,94.44
3149.00,94.47
3148.00,94.50
3147.00,94.53
3146.00,94.56
3145.00,94.58
3144.00,94.60
3143.00,94.63
3142.00,94.65
3141.00,94.66
3140.00,94.67
3139.00,94.68
3138.00,94.69
3137.00,94.71
3136.00,94.73
3135.00,94.74
3134.00,94.75
3133.00,94.76
3132.00,94.75
3131.00,94.75
3130.00,94.75
3129.00,94.76
3128.00,94.78
3127.00,94.80
3126.00,94.82
3125.00,94.84
3124.00,94.86
3123.00,94.87
3122.00,94.87
3121.00,94.87
3120.00,94.85
3119.00,94.83
3118.00,94.82
3117.00,94.83
3116.00,94.84
3115.00,94.85
3114.00,94.85
3113.00,94.84
3112.00,94.82
3111.00,94.81
3110.00,94.81
3109.00,94.80
3108.00,94.80
3107.00,94.80
3106.00,94.79
3105.00,94.80
3104.00,94.80
3103.00,94.81
3102.00,94.81
3101.00,94.80
3100.00,94.77
3099.00,94.74
3098.00,94.73
3097.00,94.72
3096.00,94.71
3095.00,94.70
3094.00,94.67
3093.00,94.65
3092.00,94.62
3091.00,94.61
3090.00,94.61
3089.00,94.62
3088.00,94.63
3087.00,94.62
3086.00,94.59
3085.00,94.57
3084.00,94.57
3083.00,94.57
3082.00,94.57
3081.00,94.56
3080.00,94.55
3079.00,94.54
3078.00,94.53
3077.00,94.53
3076.00,94.52
3075.00,94.51
3074.00,94.50
3073.00,94.50
3072.00,94.51
3071.00,94.53
3070.00,94.55
3069.00,94.56
3068.00,94.56
3067.00,94.56
3066.00,94.55
3065.00,94.57
3064.00,94.59
3063.00,94.62
3062.00,94.64
3061.00,94.66
3060.00,94.67
3059.00,94.69
3058.00,94.71
3057.00,94.73
3056.00,94.75
3055.00,94.78
3054.00,94.80
3053.00,94.83
3052.00,94.87
3051.00,94.90
3050.00,94.93
3049.00,94.96
3048.00,94.99
3047.00,95.02
3046.00,95.04
3045.00,95.06
3044.00,95.08
3043.00,95.12
3042.00,95.17
3041.00,95.23
3040.00,95.27
3039.00,95.30
3038.00,95.31
3037.00,95.31
3036.00,95.32
3035.00,95.33
3034.00,95.35
3033.00,95.38
3032.00,95.40
3031.00,95.42
3030.00,95.44
3029.00,95.45
3028.00,95.47
3027.00,95.48
3026.00,95.49
3025.00,95.50
3024.00,95.52
3023.00,95.54
3022.00,95.56
3021.00,95.59
3020.00,95.61
3019.00,95.63
3018.00,95.64
3017.00,95.65
3016.00,95.66
3015.00,95.68
3014.00,95.69
3013.00,95.70
3012.00,95.71
3011.00,95.71
3010.00,95.72
3009.00,95.72
3008.00,95.72
3007.00,95.72
3006.00,95.71
3005.00,95.70
3004.00,95.69
3003.00,95.67
3002.00,95.64
3001.00,95.61
3000.00,95.58
2999.00,95.57
2998.00,95.57
2997.00,95.58
2996.00,95.58
