Created as New Dataset,56 Lenzing
cm-1,%T
2978.00,98.35
2977.00,98.35
2976.00,98.35
2975.00,98.34
2974.00,98.32
2973.00,98.29
2972.00,98.27
2971.00,98.25
2970.00,98.24
2969.00,98.24
2968.00,98.24
2967.00,98.23
2966.00,98.23
2965.00,98.22
2964.00,98.20
2963.00,98.18
2962.00,98.15
2961.00,98.13
2960.00,98.11
2959.00,98.10
2958.00,98.09
2957.00,98.07
2956.00,98.05
2955.00,98.03
2954.00,98.02
2953.00,98.01
2952.00,98.00
2951.00,98.00
2950.00,97.99
2949.00,97.97
2948.00,97.95
2947.00,97.91
2946.00,97.86
2945.00,97.81
2944.00,97.76
2943.00,97.73
2942.00,97.70
2941.00,97.67
2940.00,97.64
2939.00,97.59
2938.00,97.55
2937.00,97.51
2936.00,97.47
2935.00,97.43
2934.00,97.40
2933.00,97.37
2932.00,97.34
2931.00,97.33
2930.00,97.31
2929.00,97.31
2928.00,97.30
2927.00,97.30
2926.00,97.27
2925.00,97.24
2924.00,97.20
2923.00,97.17
2922.00,97.15
2921.00,97.14
2920.00,97.14
2919.00,97.13
2918.00,97.10
2917.00,97.07
2916.00,97.03
2915.00,96.98
2914.00,96.94
2913.00,96.91
2912.00,96.89
2911.00,96.86
2910.00,96.83
2909.00,96.78
2908.00,96.73
2907.00,96.67
2906.00,96.62
2905.00,96.58
2904.00,96.55
2903.00,96.53
2902.00,96.52
2901.00,96.52
2900.00,96.52
2899.00,96.52
2898.00,96.51
2897.00,96.50
2896.00,96.48
2895.00,96.46
2894.00,96.44
2893.00,96.43
2892.00,96.42
2891.00,96.42
2890.00,96.42
2889.00,96.43
2888.00,96.44
2887.00,96.44
2886.00,96.45
2885.00,96.46
2884.00,96.48
2883.00,96.50
2882.00,96.51
2881.00,96.53
2880.00,96.54
2879.00,96.56
2878.00,96.58
2877.00,96.60
2876.00,96.62
2875.00,96.64
2874.00,96.66
2873.00,96.67
2872.00,96.68
2871.00,96.69
2870.00,96.71
2869.00,96.74
2868.00,96.78
2867.00,96.83
2866.00,96.88
2865.00,96.92
2864.00,96.96
2863.00,97.00
2862.00,97.04
2861.00,97.06
2860.00,97.08
2859.00,97.09
2858.00,97.10
2857.00,97.13
2856.00,97.17
2855.00,97.21
2854.00,97.25
2853.00,97.29
2852.00,97.31
2851.00,97.33
2850.00,97.36
2849.00,97.40
2848.00,97.44
2847.00,97.46
2846.00,97.48
2845.00,97.50
2844.00,97.51
2843.00,97.53
2842.00,97.56
2841.00,97.60
2840.00,97.64
2839.00,97.68
2838.00,97.71
2837.00,97.72
2836.00,97.73
2835.00,97.73
2834.00,97.74
2833.00,97.75
2832.00,97.76
2831.00,97.77
2830.00,97.79
2829.00,97.82
2828.00,97.85
2827.00,97.87
2826.00,97.88
2825.00,97.89
2824.00,97.90
2823.00,97.90
2822.00,97.92
2821.00,97.93
2820.00,97.95
2819.00,97.96
2818.00,97.97
2817.00,97.97
2816.00,97.97
2815.00,97.98
2814.00,97.98
2813.00,97.99
2812.00,98.00
2811.00,98.01
2810.00,98.02
2809.00,98.04
2808.00,98.07
2807.00,98.09
2806.00,98.11
2805.00,98.11
2804.00,98.11
2803.00,98.11
2802.00,98.11
2801.00,98.11
2800.00,98.11
2799.00,98.11
2798.00,98.12
2797.00,98.14
2796.00,98.15
2795.00,98.16
2794.00,98.17
2793.00,98.18
2792.00,98.20
2791.00,98.22
2790.00,98.23
2789.00,98.24
2788.00,98.24
2787.00,98.24
2786.00,98.25
2785.00,98.25
2784.00,98.26
2783.00,98.26
2782.00,98.27
2781.00,98.28
2780.00,98.30
2779.00,98.31
2778.00,98.31
2777.00,98.30
2776.00,98.30
2775.00,98.31
2774.00,98.31
2773.00,98.32
2772.00,98.33
2771.00,98.34
2770.00,98.36
2769.00,98.37
2768.00,98.38
2767.00,98.38
2766.00,98.38
2765.00,98.39
2764.00,98.40
2763.00,98.41
2762.00,98.42
2761.00,98.43
2760.00,98.45
2759.00,98.46
2758.00,98.47
2757.00,98.47
2756.00,98.46
2755.00,98.45
2754.00,98.44
2753.00,98.43
2752.00,98.44
2751.00,98.44
2750.00,98.44
2749.00,98.43
2748.00,98.41
2747.00,98.40
2746.00,98.41
2745.00,98.44
2744.00,98.46
2743.00,98.46
2742.00,98.46
2741.00,98.46
2740.00,98.46
2739.00,98.45
2738.00,98.44
2737.00,98.44
2736.00,98.44
2735.00,98.46
2734.00,98.47
2733.00,98.47
2732.00,98.46
2731.00,98.45
2730.00,98.44
2729.00,98.44
2728.00,98.45
2727.00,98.46
2726.00,98.46
2725.00,98.46
2724.00,98.45
2723.00,98.45
2722.00,98.45
2721.00,98.47
2720.00,98.50
2719.00,98.52
2718.00,98.54
2717.00,98.54
2716.00,98.54
2715.00,98.53
2714.00,98.53
2713.00,98.54
2712.00,98.55
2711.00,98.55
2710.00,98.55
2709.00,98.56
2708.00,98.56
2707.00,98.57
2706.00,98.58
2705.00,98.59
2704.00,98.59
2703.00,98.60
2702.00,98.61
2701.00,98.61
2700.00,98.60
2699.00,98.59
2698.00,98.58
2697.00,98.58
2696.00,98.58
2695.00,98.58
2694.00,98.58
2693.00,98.57
2692.00,98.57
2691.00,98.57
2690.00,98.58
2689.00,98.59
2688.00,98.60
2687.00,98.61
2686.00,98.62
2685.00,98.62
2684.00,98.62
2683.00,98.62
2682.00,98.63
2681.00,98.65
2680.00,98.66
2679.00,98.67
2678.00,98.67
2677.00,98.67
2676.00,98.66
2675.00,98.66
2674.00,98.66
2673.00,98.66
2672.00,98.66
2671.00,98.66
2670.00,98.66
2669.00,98.66
2668.00,98.67
2667.00,98.68
2666.00,98.70
2665.00,98.71
2664.00,98.71
2663.00,98.71
2662.00,98.70
2661.00,98.70
2660.00,98.69
2659.00,98.68
2658.00,98.67
2657.00,98.67
2656.00,98.67
2655.00,98.66
2654.00,98.66
2653.00,98.66
2652.00,98.66
2651.00,98.66
2650.00,98.66
2649.00,98.66
2648.00,98.66
2647.00,98.67
2646.00,98.67
2645.00,98.68
2644.00,98.68
2643.00,98.68
2642.00,98.68
2641.00,98.68
2640.00,98.67
2639.00,98.66
2638.00,98.65
2637.00,98.65
2636.00,98.66
2635.00,98.67
2634.00,98.68
2633.00,98.69
2632.00,98.68
2631.00,98.68
2630.00,98.67
2629.00,98.66
2628.00,98.65
2627.00,98.64
2626.00,98.63
2625.00,98.63
2624.00,98.64
2623.00,98.64
2622.00,98.65
2621.00,98.66
2620.00,98.68
2619.00,98.70
2618.00,98.70
2617.00,98.71
2616.00,98.71
2615.00,98.72
2614.00,98.72
2613.00,98.70
2612.00,98.67
2611.00,98.64
2610.00,98.62
2609.00,98.62
2608.00,98.62
2607.00,98.63
2606.00,98.63
2605.00,98.64
2604.00,98.65
2603.00,98.66
2602.00,98.65
2601.00,98.65
2600.00,98.65
2599.00,98.65
2598.00,98.65
2597.00,98.64
2596.00,98.63
2595.00,98.63
2594.00,98.62
2593.00,98.62
2592.00,98.61
2591.00,98.60
2590.00,98.60
2589.00,98.59
2588.00,98.58
2587.00,98.57
2586.00,98.58
2585.00,98.60
2584.00,98.62
2583.00,98.63
2582.00,98.64
2581.00,98.63
2580.00,98.63
2579.00,98.62
2578.00,98.63
2577.00,98.64
2576.00,98.65
2575.00,98.64
2574.00,98.61
2573.00,98.59
2572.00,98.59
2571.00,98.61
2570.00,98.65
2569.00,98.67
2568.00,98.68
2567.00,98.68
2566.00,98.67
2565.00,98.66
2564.00,98.64
2563.00,98.62
2562.00,98.61
2561.00,98.62
2560.00,98.63
2559.00,98.64
2558.00,98.64
2557.00,98.65
2556.00,98.64
2555.00,98.64
2554.00,98.63
2553.00,98.63
2552.00,98.62
2551.00,98.62
2550.00,98.62
2549.00,98.64
2548.00,98.65
2547.00,98.66
2546.00,98.65
2545.00,98.64
2544.00,98.64
2543.00,98.65
2542.00,98.66
2541.00,98.66
