Created as New Dataset,121 Hercules Inc.
cm-1,%T
3122.00,99.75
3121.00,99.76
3120.00,99.75
3119.00,99.75
3118.00,99.75
3117.00,99.76
3116.00,99.76
3115.00,99.76
3114.00,99.76
3113.00,99.76
3112.00,99.76
3111.00,99.75
3110.00,99.74
3109.00,99.74
3108.00,99.74
3107.00,99.74
3106.00,99.74
3105.00,99.75
3104.00,99.76
3103.00,99.77
3102.00,99.78
3101.00,99.78
3100.00,99.78
3099.00,99.78
3098.00,99.79
3097.00,99.80
3096.00,99.80
3095.00,99.80
3094.00,99.78
3093.00,99.76
3092.00,99.75
3091.00,99.75
3090.00,99.75
3089.00,99.76
3088.00,99.76
3087.00,99.76
3086.00,99.76
3085.00,99.77
3084.00,99.76
3083.00,99.74
3082.00,99.73
3081.00,99.72
3080.00,99.72
3079.00,99.73
3078.00,99.74
3077.00,99.76
3076.00,99.76
3075.00,99.75
3074.00,99.72
3073.00,99.69
3072.00,99.67
3071.00,99.66
3070.00,99.67
3069.00,99.68
3068.00,99.71
3067.00,99.73
3066.00,99.75
3065.00,99.76
3064.00,99.76
3063.00,99.76
3062.00,99.75
3061.00,99.74
3060.00,99.74
3059.00,99.74
3058.00,99.74
3057.00,99.73
3056.00,99.72
3055.00,99.72
3054.00,99.71
3053.00,99.71
3052.00,99.71
3051.00,99.70
3050.00,99.70
3049.00,99.69
3048.00,99.69
3047.00,99.68
3046.00,99.68
3045.00,99.69
3044.00,99.72
3043.00,99.74
3042.00,99.74
3041.00,99.74
3040.00,99.73
3039.00,99.73
3038.00,99.73
3037.00,99.74
3036.00,99.73
3035.00,99.73
3034.00,99.72
3033.00,99.70
3032.00,99.68
3031.00,99.68
3030.00,99.68
3029.00,99.68
3028.00,99.67
3027.00,99.65
3026.00,99.62
3025.00,99.60
3024.00,99.59
3023.00,99.58
3022.00,99.57
3021.00,99.56
3020.00,99.53
3019.00,99.51
3018.00,99.50
3017.00,99.49
3016.00,99.47
3015.00,99.45
3014.00,99.43
3013.00,99.40
3012.00,99.37
3011.00,99.34
3010.00,99.32
3009.00,99.30
3008.00,99.29
3007.00,99.28
3006.00,99.27
3005.00,99.26
3004.00,99.24
3003.00,99.20
3002.00,99.15
3001.00,99.09
3000.00,99.03
2999.00,98.97
2998.00,98.91
2997.00,98.86
2996.00,98.80
2995.00,98.74
2994.00,98.67
2993.00,98.59
2992.00,98.49
2991.00,98.39
2990.00,98.30
2989.00,98.21
2988.00,98.10
2987.00,97.97
2986.00,97.82
2985.00,97.64
2984.00,97.43
2983.00,97.21
2982.00,96.96
2981.00,96.69
2980.00,96.39
2979.00,96.06
2978.00,95.69
2977.00,95.28
2976.00,94.81
2975.00,94.28
2974.00,93.69
2973.00,93.04
2972.00,92.32
2971.00,91.52
2970.00,90.65
2969.00,89.69
2968.00,88.66
2967.00,87.57
2966.00,86.43
2965.00,85.29
2964.00,84.18
2963.00,83.15
2962.00,82.25
2961.00,81.50
2960.00,80.93
2959.00,80.51
2958.00,80.20
2957.00,79.96
2956.00,79.73
2955.00,79.49
2954.00,79.23
2953.00,79.00
2952.00,78.86
2951.00,78.90
2950.00,79.17
2949.00,79.72
2948.00,80.55
2947.00,81.62
2946.00,82.84
2945.00,84.12
2944.00,85.34
2943.00,86.42
2942.00,87.29
2941.00,87.92
2940.00,88.31
2939.00,88.47
2938.00,88.43
2937.00,88.21
2936.00,87.83
2935.00,87.30
2934.00,86.65
2933.00,85.90
2932.00,85.07
2931.00,84.21
2930.00,83.32
2929.00,82.42
2928.00,81.56
2927.00,80.76
2926.00,80.02
2925.00,79.34
2924.00,78.68
2923.00,78.02
2922.00,77.38
2921.00,76.78
2920.00,76.27
2919.00,75.91
2918.00,75.73
2917.00,75.75
2916.00,75.95
2915.00,76.29
2914.00,76.73
2913.00,77.22
2912.00,77.72
2911.00,78.20
2910.00,78.65
2909.00,79.09
2908.00,79.53
2907.00,80.00
2906.00,80.51
2905.00,81.07
2904.00,81.65
2903.00,82.26
2902.00,82.87
2901.00,83.49
2900.00,84.10
2899.00,84.70
2898.00,85.26
2897.00,85.77
2896.00,86.23
2895.00,86.62
2894.00,86.94
2893.00,87.21
2892.00,87.43
2891.00,87.60
2890.00,87.72
2889.00,87.81
2888.00,87.84
2887.00,87.84
2886.00,87.78
2885.00,87.68
2884.00,87.53
2883.00,87.35
2882.00,87.14
2881.00,86.92
2880.00,86.71
2879.00,86.52
2878.00,86.38
2877.00,86.30
2876.00,86.29
2875.00,86.31
2874.00,86.34
2873.00,86.34
2872.00,86.29
2871.00,86.21
2870.00,86.10
2869.00,86.01
2868.00,86.01
2867.00,86.16
2866.00,86.54
2865.00,87.16
2864.00,87.98
2863.00,88.94
2862.00,89.94
2861.00,90.87
2860.00,91.69
2859.00,92.36
2858.00,92.88
2857.00,93.25
2856.00,93.49
2855.00,93.62
2854.00,93.65
2853.00,93.59
2852.00,93.44
2851.00,93.20
2850.00,92.88
2849.00,92.48
2848.00,91.99
2847.00,91.40
2846.00,90.72
2845.00,89.99
2844.00,89.21
2843.00,88.42
2842.00,87.65
2841.00,86.96
2840.00,86.43
2839.00,86.12
2838.00,86.08
2837.00,86.34
2836.00,86.90
2835.00,87.72
2834.00,88.72
2833.00,89.82
2832.00,90.93
2831.00,91.96
2830.00,92.86
2829.00,93.61
2828.00,94.22
2827.00,94.72
2826.00,95.13
2825.00,95.48
2824.00,95.77
2823.00,96.02
2822.00,96.23
2821.00,96.41
2820.00,96.57
2819.00,96.72
2818.00,96.86
2817.00,96.96
2816.00,97.05
2815.00,97.12
2814.00,97.19
2813.00,97.26
2812.00,97.33
2811.00,97.41
2810.00,97.48
2809.00,97.56
2808.00,97.62
2807.00,97.68
2806.00,97.73
2805.00,97.78
2804.00,97.84
2803.00,97.90
2802.00,97.96
2801.00,98.03
2800.00,98.09
2799.00,98.15
2798.00,98.19
2797.00,98.22
2796.00,98.24
2795.00,98.27
2794.00,98.30
2793.00,98.34
2792.00,98.39
2791.00,98.42
2790.00,98.46
2789.00,98.50
2788.00,98.54
2787.00,98.58
2786.00,98.62
2785.00,98.66
2784.00,98.70
2783.00,98.73
2782.00,98.76
2781.00,98.79
2780.00,98.82
2779.00,98.86
2778.00,98.89
2777.00,98.92
2776.00,98.94
2775.00,98.95
2774.00,98.96
2773.00,98.97
2772.00,98.97
2771.00,98.97
2770.00,98.98
2769.00,98.99
2768.00,98.99
2767.00,99.00
2766.00,99.01
2765.00,99.03
2764.00,99.06
2763.00,99.07
2762.00,99.09
2761.00,99.10
2760.00,99.10
2759.00,99.10
2758.00,99.10
2757.00,99.10
2756.00,99.11
2755.00,99.12
2754.00,99.12
2753.00,99.10
2752.00,99.09
2751.00,99.07
2750.00,99.06
2749.00,99.06
2748.00,99.07
2747.00,99.07
2746.00,99.08
2745.00,99.08
2744.00,99.08
2743.00,99.06
2742.00,99.04
2741.00,99.02
2740.00,98.99
2739.00,98.97
2738.00,98.94
2737.00,98.91
2736.00,98.90
2735.00,98.88
2734.00,98.87
2733.00,98.85
2732.00,98.82
2731.00,98.79
2730.00,98.77
2729.00,98.74
2728.00,98.71
2727.00,98.66
2726.00,98.61
2725.00,98.56
2724.00,98.53
2723.00,98.52
2722.00,98.54
2721.00,98.58
2720.00,98.63
2719.00,98.68
2718.00,98.73
2717.00,98.76
2716.00,98.79
2715.00,98.83
2714.00,98.87
2713.00,98.92
2712.00,98.96
2711.00,98.98
2710.00,99.00
2709.00,99.02
2708.00,99.04
2707.00,99.06
2706.00,99.08
2705.00,99.09
2704.00,99.09
2703.00,99.10
2702.00,99.11
2701.00,99.12
2700.00,99.13
2699.00,99.14
2698.00,99.14
2697.00,99.15
2696.00,99.16
2695.00,99.17
2694.00,99.18
2693.00,99.17
2692.00,99.16
2691.00,99.15
2690.00,99.13
2689.00,99.13
2688.00,99.14
2687.00,99.15
2686.00,99.16
2685.00,99.17
2684.00,99.16
2683.00,99.16
2682.00,99.15
2681.00,99.15
2680.00,99.14
2679.00,99.14
2678.00,99.14
2677.00,99.14
2676.00,99.14
2675.00,99.14
2674.00,99.13
2673.00,99.13
2672.00,99.13
2671.00,99.13
2670.00,99.14
2669.00,99.15
2668.00,99.17
2667.00,99.17
2666.00,99.17
2665.00,99.16
2664.00,99.14
2663.00,99.13
2662.00,99.12
2661.00,99.11
2660.00,99.11
2659.00,99.11
2658.00,99.10
2657.00,99.09
2656.00,99.08
2655.00,99.07
2654.00,99.06
2653.00,99.05
2652.00,99.03
2651.00,99.02
2650.00,99.02
2649.00,99.01
2648.00,99.00
2647.00,99.01
2646.00,99.01
2645.00,99.02
2644.00,99.02
2643.00,99.02
2642.00,99.01
2641.00,99.00
2640.00,98.97
2639.00,98.95
2638.00,98.93
2637.00,98.94
2636.00,98.95
2635.00,98.95
2634.00,98.93
2633.00,98.90
2632.00,98.87
2631.00,98.86
2630.00,98.87
2629.00,98.89
2628.00,98.90
2627.00,98.91
2626.00,98.90
2625.00,98.87
2624.00,98.84
2623.00,98.82
2622.00,98.81
2621.00,98.82
2620.00,98.84
2619.00,98.85
2618.00,98.84
2617.00,98.82
2616.00,98.80
2615.00,98.78
2614.00,98.76
2613.00,98.74
2612.00,98.73
2611.00,98.74
2610.00,98.75
2609.00,98.77
2608.00,98.78
2607.00,98.78
2606.00,98.77
2605.00,98.75
2604.00,98.75
2603.00,98.76
2602.00,98.78
2601.00,98.78
2600.00,98.78
2599.00,98.77
2598.00,98.76
2597.00,98.75
2596.00,98.74
2595.00,98.71
2594.00,98.69
2593.00,98.67
2592.00,98.66
2591.00,98.65
2590.00,98.64
2589.00,98.63
2588.00,98.61
2587.00,98.59
2586.00,98.58
2585.00,98.58
2584.00,98.56
2583.00,98.55
2582.00,98.53
2581.00,98.51
2580.00,98.50
2579.00,98.50
2578.00,98.51
2577.00,98.54
2576.00,98.55
2575.00,98.57
2574.00,98.57
2573.00,98.57
2572.00,98.57
2571.00,98.59
2570.00,98.61
2569.00,98.64
2568.00,98.65
2567.00,98.65
2566.00,98.64
2565.00,98.64
2564.00,98.64
2563.00,98.64
2562.00,98.64
2561.00,98.64
2560.00,98.64
2559.00,98.64
2558.00,98.63
2557.00,98.62
2556.00,98.63
2555.00,98.65
2554.00,98.67
2553.00,98.68
2552.00,98.68
2551.00,98.68
2550.00,98.69
2549.00,98.70
2548.00,98.70
2547.00,98.70
2546.00,98.70
2545.00,98.69
2544.00,98.68
2543.00,98.68
2542.00,98.67
2541.00,98.66
2540.00,98.66
2539.00,98.65
2538.00,98.64
2537.00,98.64
2536.00,98.65
2535.00,98.67
2534.00,98.68
2533.00,98.69
2532.00,98.69
2531.00,98.70
2530.00,98.70
2529.00,98.71
2528.00,98.72
2527.00,98.73
2526.00,98.75
2525.00,98.76
2524.00,98.77
2523.00,98.77
2522.00,98.76
2521.00,98.73
2520.00,98.71
2519.00,98.69
2518.00,98.69
2517.00,98.69
2516.00,98.70
2515.00,98.70
2514.00,98.69
2513.00,98.67
2512.00,98.66
2511.00,98.67
2510.00,98.68
2509.00,98.69
2508.00,98.69
2507.00,98.67
2506.00,98.67
2505.00,98.67
2504.00,98.69
2503.00,98.70
2502.00,98.71
2501.00,98.73
2500.00,98.74
2499.00,98.76
2498.00,98.79
2497.00,98.80
2496.00,98.80
2495.00,98.79
2494.00,98.78
2493.00,98.76
2492.00,98.74
2491.00,98.72
2490.00,98.71
2489.00,98.72
2488.00,98.74
2487.00,98.75
2486.00,98.75
2485.00,98.75
2484.00,98.75
2483.00,98.75
2482.00,98.75
2481.00,98.75
2480.00,98.75
2479.00,98.75
2478.00,98.74
2477.00,98.73
2476.00,98.73
2475.00,98.74
2474.00,98.76
2473.00,98.76
2472.00,98.75
2471.00,98.72
2470.00,98.70
2469.00,98.70
2468.00,98.71
2467.00,98.73
2466.00,98.75
2465.00,98.76
2464.00,98.77
2463.00,98.77
2462.00,98.78
2461.00,98.77
2460.00,98.76
2459.00,98.76
2458.00,98.75
