Created as New Dataset,17.4 Tussah frrom India
cm-1,%T
2941.00,99.50
2940.00,99.47
2939.00,99.45
2938.00,99.42
2937.00,99.41
2936.00,99.39
2935.00,99.38
2934.00,99.37
2933.00,99.34
2932.00,99.31
2931.00,99.28
2930.00,99.26
2929.00,99.26
2928.00,99.28
2927.00,99.31
2926.00,99.33
2925.00,99.35
2924.00,99.35
2923.00,99.35
2922.00,99.36
2921.00,99.37
2920.00,99.39
2919.00,99.42
2918.00,99.44
2917.00,99.47
2916.00,99.52
2915.00,99.57
2914.00,99.62
2913.00,99.67
2912.00,99.70
2911.00,99.74
2910.00,99.77
2909.00,99.80
2908.00,99.82
2907.00,99.84
2906.00,99.85
2905.00,99.86
2904.00,99.88
2903.00,99.89
2902.00,99.91
2901.00,99.93
2900.00,99.94
2899.00,99.96
2898.00,99.97
2897.00,99.98
2896.00,99.99
2895.00,100.00
2894.00,100.02
2893.00,100.03
2892.00,100.03
2891.00,100.04
2890.00,100.05
2889.00,100.06
2888.00,100.08
2887.00,100.08
2886.00,100.08
2885.00,100.07
2884.00,100.06
2883.00,100.05
2882.00,100.04
2881.00,100.03
2880.00,100.04
2879.00,100.05
2878.00,100.05
2877.00,100.04
2876.00,100.02
2875.00,100.00
2874.00,100.00
2873.00,100.00
2872.00,100.01
2871.00,100.02
2870.00,100.03
2869.00,100.04
2868.00,100.05
2867.00,100.06
2866.00,100.07
2865.00,100.08
2864.00,100.09
2863.00,100.10
2862.00,100.10
2861.00,100.09
2860.00,100.08
2859.00,100.08
2858.00,100.08
2857.00,100.08
2856.00,100.07
2855.00,100.07
2854.00,100.07
2853.00,100.07
2852.00,100.07
2851.00,100.08
2850.00,100.11
2849.00,100.15
2848.00,100.19
2847.00,100.24
2846.00,100.28
2845.00,100.32
2844.00,100.35
2843.00,100.38
2842.00,100.39
2841.00,100.40
2840.00,100.41
2839.00,100.42
2838.00,100.44
2837.00,100.45
2836.00,100.45
2835.00,100.46
2834.00,100.47
2833.00,100.48
2832.00,100.49
2831.00,100.50
2830.00,100.50
2829.00,100.50
2828.00,100.50
2827.00,100.50
2826.00,100.50
2825.00,100.51
2824.00,100.52
2823.00,100.53
2822.00,100.52
2821.00,100.52
2820.00,100.51
2819.00,100.52
2818.00,100.53
2817.00,100.53
2816.00,100.53
2815.00,100.54
2814.00,100.54
2813.00,100.55
2812.00,100.54
2811.00,100.54
2810.00,100.55
2809.00,100.55
2808.00,100.55
2807.00,100.55
2806.00,100.55
2805.00,100.55
2804.00,100.56
2803.00,100.57
2802.00,100.60
2801.00,100.62
2800.00,100.64
2799.00,100.64
2798.00,100.63
2797.00,100.62
2796.00,100.60
2795.00,100.60
2794.00,100.60
2793.00,100.62
2792.00,100.63
2791.00,100.65
2790.00,100.65
2789.00,100.65
2788.00,100.64
2787.00,100.62
2786.00,100.62
2785.00,100.62
2784.00,100.62
2783.00,100.64
2782.00,100.66
2781.00,100.68
2780.00,100.69
2779.00,100.69
2778.00,100.68
2777.00,100.67
2776.00,100.67
2775.00,100.67
2774.00,100.67
2773.00,100.68
2772.00,100.69
2771.00,100.69
2770.00,100.69
2769.00,100.69
2768.00,100.68
2767.00,100.68
2766.00,100.69
2765.00,100.71
2764.00,100.72
2763.00,100.72
2762.00,100.72
2761.00,100.71
2760.00,100.71
2759.00,100.71
