Created as New Dataset,75 Nylon Allied Signal Fibers
cm-1,%T
3285.00,95.02
3284.00,95.06
3283.00,95.09
3282.00,95.12
3281.00,95.14
3280.00,95.18
3279.00,95.23
3278.00,95.30
3277.00,95.35
3276.00,95.40
3275.00,95.44
3274.00,95.48
3273.00,95.53
3272.00,95.60
3271.00,95.67
3270.00,95.73
3269.00,95.78
3268.00,95.83
3267.00,95.87
3266.00,95.92
3265.00,95.98
3264.00,96.06
3263.00,96.15
3262.00,96.24
3261.00,96.31
3260.00,96.36
3259.00,96.41
3258.00,96.47
3257.00,96.54
3256.00,96.61
3255.00,96.68
3254.00,96.74
3253.00,96.80
3252.00,96.87
3251.00,96.96
3250.00,97.05
3249.00,97.14
3248.00,97.22
3247.00,97.29
3246.00,97.37
3245.00,97.44
3244.00,97.50
3243.00,97.56
3242.00,97.61
3241.00,97.66
3240.00,97.72
3239.00,97.79
3238.00,97.87
3237.00,97.95
3236.00,98.02
3235.00,98.06
3234.00,98.09
3233.00,98.12
3232.00,98.15
3231.00,98.20
3230.00,98.25
3229.00,98.29
3228.00,98.32
3227.00,98.34
3226.00,98.36
3225.00,98.41
3224.00,98.46
3223.00,98.51
3222.00,98.54
3221.00,98.56
3220.00,98.58
3219.00,98.60
3218.00,98.63
3217.00,98.67
3216.00,98.71
3215.00,98.73
3214.00,98.74
3213.00,98.74
3212.00,98.74
3211.00,98.75
3210.00,98.78
3209.00,98.83
3208.00,98.87
3207.00,98.91
3206.00,98.91
3205.00,98.91
3204.00,98.90
3203.00,98.90
3202.00,98.92
3201.00,98.95
3200.00,98.98
3199.00,99.00
3198.00,99.02
3197.00,99.04
3196.00,99.05
3195.00,99.06
3194.00,99.08
3193.00,99.10
3192.00,99.12
3191.00,99.14
3190.00,99.16
3189.00,99.18
3188.00,99.21
3187.00,99.23
3186.00,99.26
3185.00,99.28
3184.00,99.30
3183.00,99.31
3182.00,99.33
3181.00,99.35
3180.00,99.38
3179.00,99.40
3178.00,99.42
3177.00,99.43
3176.00,99.45
3175.00,99.48
3174.00,99.52
3173.00,99.56
3172.00,99.61
3171.00,99.64
3170.00,99.65
3169.00,99.66
3168.00,99.66
3167.00,99.67
3166.00,99.68
3165.00,99.70
3164.00,99.72
3163.00,99.75
3162.00,99.78
3161.00,99.81
3160.00,99.83
3159.00,99.84
3158.00,99.86
3157.00,99.88
3156.00,99.90
3155.00,99.93
3154.00,99.95
3153.00,99.96
3152.00,99.95
3151.00,99.94
3150.00,99.93
3149.00,99.93
3148.00,99.94
3147.00,99.96
3146.00,99.96
3145.00,99.96
3144.00,99.95
3143.00,99.95
3142.00,99.96
3141.00,99.97
3140.00,99.98
3139.00,99.98
3138.00,99.98
3137.00,99.96
3136.00,99.95
3135.00,99.94
3134.00,99.94
3133.00,99.95
3132.00,99.95
3131.00,99.95
3130.00,99.95
3129.00,99.95
3128.00,99.94
3127.00,99.94
3126.00,99.93
3125.00,99.92
3124.00,99.91
3123.00,99.90
3122.00,99.89
3121.00,99.89
3120.00,99.88
3119.00,99.86
3118.00,99.83
3117.00,99.81
3116.00,99.81
3115.00,99.81
3114.00,99.80
3113.00,99.79
3112.00,99.75
3111.00,99.72
3110.00,99.68
3109.00,99.65
3108.00,99.62
3107.00,99.59
3106.00,99.55
3105.00,99.51
3104.00,99.47
3103.00,99.45
3102.00,99.42
3101.00,99.40
3100.00,99.38
3099.00,99.36
3098.00,99.35
3097.00,99.32
3096.00,99.29
3095.00,99.25
3094.00,99.21
3093.00,99.17
3092.00,99.14
3091.00,99.13
3090.00,99.12
3089.00,99.11
3088.00,99.11
3087.00,99.10
3086.00,99.10
3085.00,99.08
3084.00,99.05
3083.00,99.03
3082.00,99.01
3081.00,99.00
3080.00,99.01
3079.00,99.02
3078.00,99.04
3077.00,99.05
3076.00,99.06
3075.00,99.07
3074.00,99.08
3073.00,99.10
3072.00,99.11
3071.00,99.12
3070.00,99.12
3069.00,99.13
3068.00,99.14
3067.00,99.16
3066.00,99.19
3065.00,99.22
3064.00,99.25
3063.00,99.27
3062.00,99.28
3061.00,99.30
3060.00,99.34
3059.00,99.38
3058.00,99.43
3057.00,99.46
3056.00,99.48
3055.00,99.50
3054.00,99.53
3053.00,99.57
3052.00,99.62
3051.00,99.66
3050.00,99.70
3049.00,99.74
3048.00,99.77
3047.00,99.81
3046.00,99.83
3045.00,99.85
3044.00,99.86
3043.00,99.87
3042.00,99.89
3041.00,99.90
3040.00,99.91
3039.00,99.93
3038.00,99.95
3037.00,99.99
3036.00,100.03
3035.00,100.07
3034.00,100.09
3033.00,100.09
3032.00,100.10
3031.00,100.11
3030.00,100.13
3029.00,100.16
3028.00,100.19
3027.00,100.21
3026.00,100.22
3025.00,100.22
3024.00,100.21
3023.00,100.21
3022.00,100.21
3021.00,100.21
3020.00,100.22
3019.00,100.22
3018.00,100.23
3017.00,100.24
3016.00,100.26
3015.00,100.27
3014.00,100.27
3013.00,100.26
3012.00,100.26
3011.00,100.25
3010.00,100.25
3009.00,100.26
3008.00,100.26
3007.00,100.27
3006.00,100.28
3005.00,100.28
3004.00,100.28
3003.00,100.27
3002.00,100.26
3001.00,100.23
3000.00,100.22
2999.00,100.22
2998.00,100.23
2997.00,100.23
2996.00,100.21
2995.00,100.20
2994.00,100.18
2993.00,100.17
2992.00,100.16
2991.00,100.14
2990.00,100.11
2989.00,100.08
2988.00,100.06
2987.00,100.03
2986.00,100.01
2985.00,99.99
2984.00,99.97
2983.00,99.95
2982.00,99.92
2981.00,99.88
2980.00,99.82
2979.00,99.75
2978.00,99.68
2977.00,99.62
2976.00,99.57
2975.00,99.51
2974.00,99.44
2973.00,99.35
2972.00,99.24
2971.00,99.15
2970.00,99.06
2969.00,98.99
2968.00,98.91
2967.00,98.83
2966.00,98.73
2965.00,98.62
2964.00,98.50
2963.00,98.38
2962.00,98.26
2961.00,98.13
2960.00,97.99
2959.00,97.84
2958.00,97.71
2957.00,97.58
2956.00,97.46
2955.00,97.34
2954.00,97.20
2953.00,97.05
2952.00,96.89
2951.00,96.74
2950.00,96.58
2949.00,96.43
2948.00,96.27
2947.00,96.11
2946.00,95.95
2945.00,95.81
2944.00,95.68
2943.00,95.56
2942.00,95.44
2941.00,95.33
2940.00,95.21
2939.00,95.09
2938.00,95.00
2937.00,94.92
2936.00,94.87
2935.00,94.83
2934.00,94.80
2933.00,94.77
2932.00,94.75
2931.00,94.73
2930.00,94.72
2929.00,94.74
2928.00,94.78
2927.00,94.84
2926.00,94.90
2925.00,94.96
2924.00,95.03
2923.00,95.11
2922.00,95.21
2921.00,95.32
2920.00,95.44
2919.00,95.56
2918.00,95.67
2917.00,95.78
2916.00,95.90
2915.00,96.01
2914.00,96.13
2913.00,96.24
2912.00,96.35
2911.00,96.44
2910.00,96.54
2909.00,96.63
2908.00,96.72
2907.00,96.80
2906.00,96.88
2905.00,96.95
2904.00,97.01
2903.00,97.08
2902.00,97.14
2901.00,97.21
2900.00,97.26
2899.00,97.32
2898.00,97.39
2897.00,97.46
2896.00,97.54
2895.00,97.62
2894.00,97.69
2893.00,97.76
2892.00,97.81
2891.00,97.85
2890.00,97.88
2889.00,97.91
2888.00,97.94
2887.00,97.96
2886.00,97.97
2885.00,97.96
2884.00,97.94
2883.00,97.92
2882.00,97.88
2881.00,97.83
2880.00,97.76
2879.00,97.68
2878.00,97.58
2877.00,97.47
2876.00,97.36
2875.00,97.25
2874.00,97.13
2873.00,97.01
2872.00,96.91
2871.00,96.81
2870.00,96.71
2869.00,96.61
2868.00,96.52
2867.00,96.44
2866.00,96.37
2865.00,96.31
2864.00,96.25
2863.00,96.21
2862.00,96.18
2861.00,96.16
2860.00,96.16
2859.00,96.19
2858.00,96.23
2857.00,96.29
2856.00,96.38
2855.00,96.50
2854.00,96.63
2853.00,96.75
2852.00,96.88
2851.00,97.02
2850.00,97.19
2849.00,97.39
2848.00,97.61
2847.00,97.82
2846.00,98.03
2845.00,98.23
2844.00,98.43
2843.00,98.61
2842.00,98.78
2841.00,98.92
2840.00,99.04
2839.00,99.13
2838.00,99.21
2837.00,99.28
2836.00,99.34
2835.00,99.40
2834.00,99.45
2833.00,99.51
2832.00,99.56
2831.00,99.62
2830.00,99.67
2829.00,99.70
2828.00,99.73
2827.00,99.75
2826.00,99.77
2825.00,99.79
2824.00,99.80
2823.00,99.82
2822.00,99.83
2821.00,99.85
2820.00,99.87
2819.00,99.90
2818.00,99.92
2817.00,99.93
2816.00,99.93
2815.00,99.92
2814.00,99.92
2813.00,99.93
2812.00,99.95
2811.00,99.98
2810.00,100.01
2809.00,100.03
2808.00,100.06
2807.00,100.08
2806.00,100.10
2805.00,100.11
2804.00,100.12
2803.00,100.13
2802.00,100.13
2801.00,100.13
2800.00,100.13
2799.00,100.12
2798.00,100.12
2797.00,100.14
2796.00,100.16
2795.00,100.18
2794.00,100.19
2793.00,100.19
2792.00,100.18
2791.00,100.16
2790.00,100.16
2789.00,100.16
2788.00,100.17
2787.00,100.18
2786.00,100.19
2785.00,100.20
2784.00,100.22
2783.00,100.23
2782.00,100.24
2781.00,100.25
2780.00,100.25
2779.00,100.26
2778.00,100.27
2777.00,100.29
2776.00,100.31
2775.00,100.32
2774.00,100.33
2773.00,100.33
2772.00,100.33
2771.00,100.33
2770.00,100.33
2769.00,100.33
2768.00,100.33
2767.00,100.34
2766.00,100.34
2765.00,100.33
2764.00,100.34
2763.00,100.34
2762.00,100.36
2761.00,100.37
2760.00,100.39
2759.00,100.40
2758.00,100.41
2757.00,100.42
2756.00,100.41
2755.00,100.40
2754.00,100.38
2753.00,100.37
2752.00,100.37
2751.00,100.37
2750.00,100.38
2749.00,100.38
2748.00,100.38
2747.00,100.38
2746.00,100.38
2745.00,100.39
2744.00,100.40
2743.00,100.41
2742.00,100.41
2741.00,100.40
2740.00,100.39
2739.00,100.38
2738.00,100.37
2737.00,100.37
2736.00,100.38
2735.00,100.39
2734.00,100.40
2733.00,100.41
2732.00,100.42
2731.00,100.43
2730.00,100.43
2729.00,100.42
2728.00,100.41
2727.00,100.41
2726.00,100.42
2725.00,100.42
2724.00,100.42
2723.00,100.43
2722.00,100.44
2721.00,100.45
2720.00,100.46
2719.00,100.46
2718.00,100.46
2717.00,100.47
2716.00,100.47
2715.00,100.47
2714.00,100.48
2713.00,100.47
2712.00,100.46
2711.00,100.46
2710.00,100.46
2709.00,100.46
2708.00,100.46
2707.00,100.47
2706.00,100.47
2705.00,100.49
2704.00,100.50
2703.00,100.50
