Created as New Dataset,16/2 Merc. cotton
cm-1,%T
2617.00,95.32
2616.00,95.32
2615.00,95.32
2614.00,95.32
2613.00,95.33
2612.00,95.34
2611.00,95.35
2610.00,95.34
2609.00,95.33
2608.00,95.32
2607.00,95.31
2606.00,95.31
2605.00,95.32
2604.00,95.34
2603.00,95.35
2602.00,95.36
2601.00,95.36
2600.00,95.36
2599.00,95.36
2598.00,95.36
2597.00,95.35
2596.00,95.33
2595.00,95.32
2594.00,95.30
2593.00,95.30
2592.00,95.29
2591.00,95.30
2590.00,95.32
2589.00,95.34
2588.00,95.36
2587.00,95.37
2586.00,95.36
2585.00,95.35
2584.00,95.33
2583.00,95.32
2582.00,95.31
2581.00,95.31
2580.00,95.33
2579.00,95.34
2578.00,95.34
2577.00,95.34
2576.00,95.32
2575.00,95.31
2574.00,95.30
2573.00,95.31
2572.00,95.34
2571.00,95.35
2570.00,95.33
2569.00,95.30
2568.00,95.27
2567.00,95.25
2566.00,95.25
2565.00,95.27
2564.00,95.27
2563.00,95.28
2562.00,95.28
2561.00,95.29
2560.00,95.30
2559.00,95.32
2558.00,95.33
2557.00,95.34
2556.00,95.33
2555.00,95.31
2554.00,95.29
2553.00,95.28
2552.00,95.28
2551.00,95.29
2550.00,95.31
2549.00,95.33
2548.00,95.35
2547.00,95.34
2546.00,95.32
2545.00,95.28
2544.00,95.26
2543.00,95.24
2542.00,95.23
2541.00,95.23
2540.00,95.23
2539.00,95.25
2538.00,95.27
2537.00,95.28
2536.00,95.26
2535.00,95.23
2534.00,95.21
2533.00,95.22
2532.00,95.24
2531.00,95.26
2530.00,95.28
2529.00,95.29
2528.00,95.30
2527.00,95.31
2526.00,95.32
2525.00,95.32
2524.00,95.31
2523.00,95.31
2522.00,95.30
2521.00,95.30
2520.00,95.30
2519.00,95.30
2518.00,95.30
2517.00,95.29
2516.00,95.29
2515.00,95.31
2514.00,95.34
2513.00,95.35
2512.00,95.36
2511.00,95.37
2510.00,95.37
2509.00,95.36
2508.00,95.34
2507.00,95.32
2506.00,95.31
2505.00,95.32
2504.00,95.33
2503.00,95.35
2502.00,95.34
2501.00,95.33
2500.00,95.32
2499.00,95.33
2498.00,95.36
2497.00,95.39
2496.00,95.40
2495.00,95.40
2494.00,95.40
2493.00,95.39
2492.00,95.39
2491.00,95.39
2490.00,95.40
2489.00,95.40
2488.00,95.39
2487.00,95.38
2486.00,95.37
2485.00,95.36
2484.00,95.36
2483.00,95.38
2482.00,95.39
2481.00,95.40
2480.00,95.39
2479.00,95.37
2478.00,95.37
2477.00,95.39
2476.00,95.42
2475.00,95.44
2474.00,95.46
2473.00,95.46
2472.00,95.45
2471.00,95.42
