Created as New Dataset,133. Allied Signal Fibers
cm-1,%T
3387.00,91.16
3386.00,91.15
3385.00,91.14
3384.00,91.12
3383.00,91.11
3382.00,91.11
3381.00,91.12
3380.00,91.15
3379.00,91.17
3378.00,91.17
3377.00,91.17
3376.00,91.17
3375.00,91.17
3374.00,91.18
3373.00,91.19
3372.00,91.20
3371.00,91.21
3370.00,91.20
3369.00,91.20
3368.00,91.20
3367.00,91.20
3366.00,91.21
3365.00,91.20
3364.00,91.19
3363.00,91.18
3362.00,91.18
3361.00,91.18
3360.00,91.17
3359.00,91.15
3358.00,91.14
3357.00,91.15
3356.00,91.17
3355.00,91.18
3354.00,91.18
3353.00,91.17
3352.00,91.14
3351.00,91.11
3350.00,91.09
3349.00,91.09
3348.00,91.10
3347.00,91.12
3346.00,91.13
3345.00,91.14
3344.00,91.14
3343.00,91.14
3342.00,91.13
3341.00,91.12
3340.00,91.12
3339.00,91.12
3338.00,91.13
3337.00,91.13
3336.00,91.13
3335.00,91.12
3334.00,91.13
3333.00,91.14
3332.00,91.16
3331.00,91.17
3330.00,91.15
3329.00,91.14
3328.00,91.14
3327.00,91.16
3326.00,91.19
3325.00,91.20
3324.00,91.20
3323.00,91.18
3322.00,91.17
3321.00,91.16
3320.00,91.15
3319.00,91.14
3318.00,91.15
3317.00,91.16
3316.00,91.16
3315.00,91.17
3314.00,91.17
3313.00,91.17
3312.00,91.18
3311.00,91.19
3310.00,91.20
3309.00,91.20
3308.00,91.20
3307.00,91.20
3306.00,91.20
3305.00,91.19
3304.00,91.17
3303.00,91.14
3302.00,91.13
3301.00,91.14
3300.00,91.16
3299.00,91.18
3298.00,91.19
3297.00,91.20
3296.00,91.20
3295.00,91.19
3294.00,91.18
3293.00,91.17
3292.00,91.16
3291.00,91.15
3290.00,91.16
3289.00,91.17
3288.00,91.19
3287.00,91.19
3286.00,91.17
3285.00,91.14
3284.00,91.13
3283.00,91.14
3282.00,91.16
3281.00,91.17
3280.00,91.17
3279.00,91.16
3278.00,91.16
3277.00,91.16
3276.00,91.15
3275.00,91.13
3274.00,91.11
3273.00,91.11
3272.00,91.12
3271.00,91.13
3270.00,91.14
3269.00,91.14
3268.00,91.14
3267.00,91.14
3266.00,91.16
3265.00,91.18
3264.00,91.20
3263.00,91.20
3262.00,91.20
3261.00,91.19
3260.00,91.19
3259.00,91.19
3258.00,91.17
3257.00,91.16
3256.00,91.15
3255.00,91.16
3254.00,91.18
3253.00,91.20
3252.00,91.22
