Created as New Dataset,15.2 Red Wool sheep scoured
cm-1,%T
2920.00,88.77
2919.00,88.70
2918.00,88.72
2917.00,88.82
2916.00,89.02
2915.00,89.31
2914.00,89.66
2913.00,90.06
2912.00,90.45
2911.00,90.82
2910.00,91.14
2909.00,91.42
2908.00,91.66
2907.00,91.87
2906.00,92.05
2905.00,92.19
2904.00,92.31
2903.00,92.41
2902.00,92.51
2901.00,92.61
2900.00,92.70
2899.00,92.79
2898.00,92.87
2897.00,92.95
2896.00,93.02
2895.00,93.10
2894.00,93.18
2893.00,93.27
2892.00,93.35
2891.00,93.41
2890.00,93.46
2889.00,93.50
2888.00,93.55
2887.00,93.61
2886.00,93.67
2885.00,93.73
2884.00,93.77
2883.00,93.80
2882.00,93.82
2881.00,93.82
2880.00,93.81
2879.00,93.79
2878.00,93.77
2877.00,93.75
2876.00,93.73
2875.00,93.71
2874.00,93.70
2873.00,93.70
2872.00,93.70
2871.00,93.71
2870.00,93.74
2869.00,93.78
2868.00,93.81
2867.00,93.83
2866.00,93.83
2865.00,93.82
2864.00,93.81
2863.00,93.78
2862.00,93.73
2861.00,93.63
2860.00,93.50
2859.00,93.34
2858.00,93.16
2857.00,92.97
2856.00,92.77
2855.00,92.55
2854.00,92.32
2853.00,92.07
2852.00,91.84
2851.00,91.68
2850.00,91.63
2849.00,91.76
2848.00,92.04
2847.00,92.45
2846.00,92.92
2845.00,93.38
2844.00,93.79
2843.00,94.13
2842.00,94.41
2841.00,94.65
2840.00,94.85
2839.00,95.02
2838.00,95.17
2837.00,95.29
2836.00,95.39
2835.00,95.49
2834.00,95.57
2833.00,95.63
2832.00,95.68
2831.00,95.72
2830.00,95.77
2829.00,95.82
2828.00,95.86
2827.00,95.90
2826.00,95.93
2825.00,95.96
2824.00,95.99
2823.00,96.01
2822.00,96.02
2821.00,96.05
2820.00,96.08
2819.00,96.11
2818.00,96.15
2817.00,96.18
2816.00,96.20
2815.00,96.22
2814.00,96.24
2813.00,96.26
2812.00,96.28
2811.00,96.30
2810.00,96.32
2809.00,96.33
2808.00,96.34
2807.00,96.36
2806.00,96.39
2805.00,96.41
2804.00,96.43
2803.00,96.44
2802.00,96.44
2801.00,96.44
2800.00,96.45
2799.00,96.47
2798.00,96.48
2797.00,96.50
2796.00,96.51
2795.00,96.52
2794.00,96.53
2793.00,96.55
2792.00,96.57
2791.00,96.59
2790.00,96.62
2789.00,96.63
2788.00,96.64
2787.00,96.65
2786.00,96.66
2785.00,96.68
2784.00,96.70
2783.00,96.71
2782.00,96.73
2781.00,96.74
2780.00,96.76
2779.00,96.76
2778.00,96.76
2777.00,96.76
2776.00,96.77
2775.00,96.78
2774.00,96.81
2773.00,96.84
2772.00,96.86
2771.00,96.88
2770.00,96.88
2769.00,96.87
2768.00,96.87
2767.00,96.87
2766.00,96.88
2765.00,96.89
2764.00,96.91
2763.00,96.92
2762.00,96.93
2761.00,96.93
2760.00,96.94
2759.00,96.95
2758.00,96.96
2757.00,96.97
2756.00,96.98
2755.00,96.99
2754.00,97.00
2753.00,97.00
2752.00,97.00
2751.00,96.99
2750.00,96.98
2749.00,96.99
2748.00,97.00
2747.00,97.00
2746.00,97.01
2745.00,97.01
2744.00,97.01
2743.00,97.01
2742.00,97.01
2741.00,97.02
2740.00,97.03
2739.00,97.05
2738.00,97.06
2737.00,97.08
2736.00,97.09
2735.00,97.11
2734.00,97.11
2733.00,97.12
2732.00,97.13
2731.00,97.14
2730.00,97.16
2729.00,97.15
2728.00,97.14
2727.00,97.14
2726.00,97.14
2725.00,97.15
2724.00,97.17
2723.00,97.19
2722.00,97.21
2721.00,97.22
2720.00,97.23
2719.00,97.24
2718.00,97.24
2717.00,97.25
2716.00,97.28
2715.00,97.30
2714.00,97.32
2713.00,97.32
2712.00,97.32
2711.00,97.32
2710.00,97.33
2709.00,97.34
2708.00,97.35
2707.00,97.36
2706.00,97.36
2705.00,97.36
2704.00,97.35
2703.00,97.34
2702.00,97.33
2701.00,97.33
2700.00,97.35
2699.00,97.36
2698.00,97.38
2697.00,97.38
2696.00,97.37
2695.00,97.36
2694.00,97.36
2693.00,97.35
2692.00,97.34
2691.00,97.34
2690.00,97.35
2689.00,97.35
2688.00,97.36
2687.00,97.36
2686.00,97.37
2685.00,97.38
2684.00,97.39
2683.00,97.40
2682.00,97.41
2681.00,97.41
2680.00,97.42
2679.00,97.43
2678.00,97.43
2677.00,97.43
2676.00,97.42
2675.00,97.41
2674.00,97.40
2673.00,97.39
2672.00,97.39
2671.00,97.40
2670.00,97.42
2669.00,97.45
2668.00,97.46
2667.00,97.47
2666.00,97.47
2665.00,97.45
2664.00,97.44
2663.00,97.43
2662.00,97.43
2661.00,97.44
2660.00,97.45
2659.00,97.46
2658.00,97.46
2657.00,97.44
2656.00,97.43
2655.00,97.43
2654.00,97.43
2653.00,97.43
2652.00,97.43
2651.00,97.43
2650.00,97.42
2649.00,97.41
2648.00,97.39
2647.00,97.38
2646.00,97.38
2645.00,97.39
2644.00,97.40
2643.00,97.41
2642.00,97.40
2641.00,97.38
2640.00,97.37
2639.00,97.37
2638.00,97.36
2637.00,97.36
2636.00,97.36
2635.00,97.36
2634.00,97.36
2633.00,97.36
2632.00,97.35
2631.00,97.34
2630.00,97.32
2629.00,97.31
2628.00,97.30
2627.00,97.30
2626.00,97.30
2625.00,97.29
2624.00,97.28
2623.00,97.28
2622.00,97.29
2621.00,97.31
2620.00,97.34
2619.00,97.36
2618.00,97.38
2617.00,97.38
2616.00,97.37
2615.00,97.36
2614.00,97.35
2613.00,97.34
2612.00,97.34
2611.00,97.35
2610.00,97.37
2609.00,97.37
2608.00,97.38
2607.00,97.37
2606.00,97.36
2605.00,97.34
2604.00,97.33
2603.00,97.32
2602.00,97.32
2601.00,97.32
2600.00,97.34
2599.00,97.35
2598.00,97.37
2597.00,97.37
2596.00,97.37
2595.00,97.36
2594.00,97.35
2593.00,97.32
2592.00,97.30
2591.00,97.28
2590.00,97.27
2589.00,97.27
2588.00,97.28
2587.00,97.30
2586.00,97.32
2585.00,97.33
2584.00,97.33
2583.00,97.33
2582.00,97.32
2581.00,97.31
2580.00,97.30
2579.00,97.30
2578.00,97.31
2577.00,97.33
2576.00,97.34
2575.00,97.34
2574.00,97.34
2573.00,97.34
2572.00,97.35
2571.00,97.36
2570.00,97.36
2569.00,97.36
2568.00,97.35
2567.00,97.34
2566.00,97.35
2565.00,97.37
2564.00,97.39
2563.00,97.39
2562.00,97.40
2561.00,97.40
2560.00,97.41
2559.00,97.41
2558.00,97.41
2557.00,97.41
2556.00,97.41
2555.00,97.40
2554.00,97.40
2553.00,97.40
2552.00,97.41
2551.00,97.42
2550.00,97.42
2549.00,97.42
2548.00,97.43
2547.00,97.44
2546.00,97.44
2545.00,97.43
2544.00,97.40
2543.00,97.36
2542.00,97.34
2541.00,97.34
2540.00,97.37
2539.00,97.40
2538.00,97.42
2537.00,97.43
2536.00,97.42
2535.00,97.40
2534.00,97.40
2533.00,97.40
2532.00,97.40
2531.00,97.39
2530.00,97.37
2529.00,97.36
2528.00,97.36
2527.00,97.39
2526.00,97.42
2525.00,97.45
2524.00,97.47
2523.00,97.47
2522.00,97.45
2521.00,97.42
2520.00,97.41
2519.00,97.40
2518.00,97.41
2517.00,97.42
2516.00,97.43
2515.00,97.44
2514.00,97.45
2513.00,97.45
2512.00,97.45
2511.00,97.45
2510.00,97.47
2509.00,97.49
2508.00,97.51
2507.00,97.50
2506.00,97.48
2505.00,97.47
2504.00,97.45
2503.00,97.45
2502.00,97.45
2501.00,97.46
2500.00,97.47
2499.00,97.49
2498.00,97.50
2497.00,97.50
2496.00,97.49
2495.00,97.46
2494.00,97.43
2493.00,97.41
2492.00,97.40
2491.00,97.42
2490.00,97.45
2489.00,97.48
2488.00,97.50
2487.00,97.50
2486.00,97.50
2485.00,97.49
2484.00,97.48
2483.00,97.48
2482.00,97.49
2481.00,97.51
2480.00,97.54
2479.00,97.55
2478.00,97.55
2477.00,97.54
2476.00,97.52
2475.00,97.52
2474.00,97.54
2473.00,97.55
2472.00,97.57
2471.00,97.56
2470.00,97.54
2469.00,97.51
2468.00,97.48
2467.00,97.48
2466.00,97.50
2465.00,97.51
2464.00,97.51
2463.00,97.50
2462.00,97.49
2461.00,97.50
